,index,Unnamed: 0,남산부정단어리뷰,index,단어
380,380,4512,"Absolutely love this hike with the kids (4 & 6 yr olds). We started off at the crossroads by Hilton Millennium Hotel and hiked up the stairs. The kids enjoyed themselves and the scenary. My husband who is not fit at all, didn't soo much mind the hike as well. Granted the air quality wasn't so great that day but it was good quality time. I've jogged up the never ending road a few times for a good cardio workout but if you're looking for a good leisurely hike to enjoy with the family highly recommend it.  Getting to the actual tower is a disappointment. Once at the top we couldn't really see much past the US Army base at the foot of the hill because the pollution was bad. We weren't too happy about the condition of the tourist area...looks like the cleaning crew from the night didn't do anything as trash was all over the place. It seemed very dirty in the seated viewing area. We were there at 8am, so perhaps they only do cleaning later in the morning...but for a place that attracts a lot of tourists highly recommend they have it presentable all the time.  Would have given it high rating if it was cleaner. So i'm giving it only very good rating for only the actual hike.",380,much
381,381,4531,"If you like to have a view of Seoul in overall, you might like this place. Remember to check the weather forecast to avoid rainy day. There's love bridge alike section where people hang their locks on it for wish. My advise is, bring your own lock because it might be costly to purchase there. Go to the observatory tower only your travel budget allow because there's nothing much fun except that you can view the scenery in higher position. It is recommended to go there in the evening before the sun goes down, then you can view the scenery of Seoul in day and night time. However, it will be crowded there at that time because many people prefer that moment of time too.",381,much
382,382,4547,We went probably on the wrong day. Saturday evening there were far too many people. Buying the tickets took over 45 minutes and helpfully the lady at the counter told us that the trip to the tower would take another 90 minutes of waiting. And there are not much places to wait! About 2 hours later we were called to board the lift to the observation deck on the top floor. By this time it had started raining and the view was hindered by the water drops on the glass panes of the observatory. So not sure if it was worth the wait.,382,much
383,383,4563,"the view was just okay, so dont expect too much. I spend most of my time choosing and writing postcards n send to my friends. Plus point: You can post ur postcards just in the tower. So lovely!",383,much
384,384,4572,"Wow! This is a must to do adventure while visiting Seoul. I would recommend that you take the public transportation (bus) and plan about 4 hours (includes the bus trip) for your trip to the tower. It was definitely more interesting than I thought it would be to see how densely populated and the number of high rise apartment and office buildings make up Seoul and with almost every flat piece of land having a high rise on it. I am glad I arrived early in the day (9:45am) as many more people were arriving when I left. This is great way to get your bearings and understand the layout of Seoul. Also important for you to know that they take everyones picture before you step in the elevators and sell them to you at the top at the observation deck. The park like setting on the walk up the hill is very nice. I was also surprised to see the many love locks connected to the fences and other areas at this site. This was made popular by a Korean soap opera and considered very romantic thing to do...which I agree is.  Tips -go early -bring a camera -bring two locks; one for you and your loved one, to add to the many already there...very romantic -purchase the ticket with the popcorn/drink --best deal -plan to eat lunch in downtown Seoul as the food choices are much better",384,much
385,385,4576,"The weather was not so good and it was little cold BUT Seoul Tower is definately worth a visit. So much beauty up there, the view was great and we stopped by for a nice Long Island Ice tea and some burgers at the restaurants up on the mountain. Excellent attraction and well worth the visit",385,much
386,386,4579,"We didn't go up as it was very expensive and there was a set of stairs up a hill pretty much next to the tower which offered a very similar view for free. I would also say it is not the worth the trip to see just the tower, there are a few parks and recreational rooms (karoake, pc rooms, bars etc. ) nearby to make going to this part of Seoul worth it.",386,much
387,387,4596,I liked the visiting of the Tower very much. The way to it was spectacular. You can walk and relax. Once there you can enjoy the fontain which breezes you with almost invisible drops - lovely feeling. Than there is good choice of restaurants or bistros to eat. The tower itself is very difficult to observe if you are staying just underneath. And of course the funicular experience added a very nice atmosphere to that relaxed visit.,387,much
388,388,4602,"During most of my trip to Korea, the sky was very smoggy or overcast looking. So we didn't really have much choice of when we went. So all I can say is that on an overcast kinda day, I would just walk around the grounds and maybe do all the FREE things. Going all the way up to the top was nice, but we didn't really get a good view. After we got back down, we realized there was a place for us to walk up to (the deck with all the love locks) and that provided the same kinda of view from up top considering the condition of the sky. So we kinda regretted even paying.",388,much
389,389,4607,"Got lost trying to get here the first time (by bus) and gave up, but found it much easier the second time on the metro. The walk up is nice and the views are great if it's a clear day but no point with smog/haze. Worth a trip once to see it.",389,much
390,390,4608,"Walked to the top, but might want to take the cable car. the view is nice, and could be great but so much haze, distance you can see if very limited. I didn't bother going up the tower because of this (same view from there as the base given this). Several eateries at the base, and gift shop. As a couple, you can leave a love lock to in numerous areas as part of eternal love - a romantic thing to do. Would rate attraction much high had their not been so much smog. At night might be better? But if at day, pick a clear day (or windy so it blows the smog off).",390,much
391,391,4609,"I visited here last Christmas. Don't bring your car. Super annoying parking lot. Here is so crowded. But when you get your seat or space, then much better.",391,much
392,392,4628,"Everywhere I go I see couples everywhere, including the place on the street in a movie theartre or even under the long pathway under the bridge.  The Tower it self is quite beautiful, yet there are much more romance per se, which you ought to find out, about the Locks hanging on the rails. Couple used to lock the lock together, then throwing the locks down the deck, immortalizing the love relationship for eternity, long while ago this activity was a famous attraction. Now, I think it's prohibited.  Inside the tower, there are some Museums you can totally check it out.",392,much
393,393,4629,"The weather was cloudy when we took a cable car ride up to the tower. The views were not as beautiful as I expected. We got there at the wrong time. If you want to enjoy the most beautiful views of Seoul, you should go to the tower when the sky is clear. There was a layer of dust on the glass. The view would have been much better if the glass was sparkling clean.  Would you like to leave a love message there? You could firstly buy a love message tile, write you message on it and stick it on the love message block. Some visitors even stuck photos on the tiles. There are clear instructions which teach you how to do it.",393,much
394,394,4649,"To be honest the climb isn't so special, I just prefer to walk up things if the option's there, but it's not difficult. Views from the top are great, but check the weather in advance - if it's rainy, foggy, smoggy etc. you won't see much.",394,much
395,395,4652,"This is one of the must see attractions in Seoul. I went in the afternoon but despite being a smoggy day, the views were spectacular. I decided to take a taxi to the CBD but walked to the tower, being an avid walker, and toured much of the surrounding area which also had some other fascinating attractions. Price was what you would expect and food was reasonable as well. I had a coffee at the top while taking in the great views of the city.",395,much
396,396,4655,"To save yourself some troubles...There are buses that travel up to Seoul Tower at Myeongdong Station. I made the mistake of taking a taxi and I am pretty sure that cabby screwed me over because I was a foreigner. Let's just say on our departure I had some choice words with the other cabbies that tried to charge a set fee of ₩20,000 but we found out that Myeongdong Station was literally down the hill from the Lift Cars by walking so duckies saved.  I suggest going at night because the view of Seoul is breath taking. It is amazing to see how much Seoul changed from my time as a kid in the '80s until now. I wish the Army would allow me to stay longer but unfortunately that is not an option.  Check out the Bear Museum inside. I know the kids will get a kick out of it and don't forget the skydeck. Been here once in the day and night so the block has been checked off.",396,much
397,397,4657,"The tower itself doesn't give me breathtaking view, it's quite normal view from the top. but still good for you who like to take a seat and take a high view over the city. What tick my curiosity is the ""Love Lock"" below the tower, many couple comes here to buy a lock, write your wish with your couple, and lock it together. It's like a lucky charm and simbolic of eternal love, Simlar to the one in the bridge where we can find in some of the places in the world. Well, not much to say, but still it's a great place to go when you have some spare time with your couple or family. :D",397,much
398,398,4658,"Although the stairs represent a strenuious exercise for a cubicle dweller, I'm 65 and managed the climb with one rest period. The good news is that for 6300 won, you can take the cable car to the top, almost.  If you choose the stairs, athletic or hiking shoes are suggested although I did see some Asian women climbing the stairs with 4 inch heels. I also saw one man in his upper 80's making the climb.  The pollution in Seoul isn't publicised as much as some other Asian venues but is worth considering, although some great views are available, a bad pollution day makes short range photography manageable but city view shots may be entirely obscured.  There are multiple restaurants, grab joints, beverages, trinket shops, and a view from the top of the tower available but it was too polluted when I visited to merit going up the tower and there are 360 degree views available from the plaza at the base of the tower.",398,much
399,399,4660,"Easy to go by Taxi or if you want to walk (A little steep hill to climb from MyeongDong Subway exit)  If you are travelling with elders or seniors, better just get a cab up the hill to the Cable Car place where you will pay a return trip for the cable car to bring you up to NSeoul Tower.  Great view on top of it, make sure the weather is clear. Yes it's very cold during winter.  You can have your Lunch or Dinner there, there's a Burger bar and some casual food court. Ice-cream place and an official Teddy Bear korea store.  The ticketing is easy, very straight forward and so far their english is ok and no problem buying tickets.  Once arrived to N Seoul Tower up the hill by cable car (Takes 5min or so, very quick and easy) Like in KDrama, lots of Padlocks with love messages which you wouldn't spend much time if you're solo or with your family. Vending machines for drinks and hot drinks.  There's an Alive Museum which you can when you go to Insadong or Insadong's Samzigil.  To conclude, It won't cost too much to pay a visit to this unique and must go place, yes it will not take you too long to come back down since there's nothing much to do unless you plan to have a good date there then it's perfect, chill and nice atmosphere.  If I'm not mistaken, the opening hours are till late 11pm.",399,much
400,400,4662,"Just another one of those tall towers where you can go up and see the view. Unfortunately was a cloudy day, so nothing much to see. No difference than Taipei101, Empire State Building or Eiffel Tower when you're up there, but lack the class and status to be on the same level as the abovementioned though.",400,much
401,401,4681,"Nice enough views but not worth queuing too long for! Nice touch to have the compass direction on the walls. Went around 7pm, in winter so got there without too much wait...there were signs for where the 70 min wait point was for the cable car. If you are able/ have time, probably worth walking up.",401,much
402,402,4703,"The construction and decoration are quite modern. You can find different famous brands or restaurant. It is a good place for luxury shopping. Because of the long queue for visiting the observatory, I highly recommend you to prepare much time for waiting.",402,much
403,403,4715,"Unlike some of the reviews here, we did not encounter any crowd at all. Maybe it was coz it was a freezing -5 deg that day. Or that a harsh wind was blowing. Or that it was 11am in the morning. Whatever the reason, there was hardly anyone waiting for the cable car or the Namsan elevator. However, the cable car is overpriced, the entrance to the top of the tower is overpriced, the shops are overpriced. Nothing very interesting about this place. There's this whole lot of weird locks around the area and they sell cheapo locks at such horrendous prices I wonder why in the world would anyone buy them! I suggest going for a hike at Mt Bugkaksan and the view and fresh air there is so much more worth it than fighting to take pix with pushing and shoving rude nationals from you-know-where. Totally not worth the time, money and effort to go there",403,much
404,404,4727,We went to N Seoul tower in September at night. The area is very beautiful (the love locks and everything) but I don't recommend going up as it is so so to me. It's just another viewing deck. It's not very big as well. If you are into that kind of thing that it might be amazing to you. Tokyo Tower is much better. I'd say it's better to just stroll&sit around the area without going up. Very long line for the cable car but it's very quick.,404,much
405,405,4730,"I was told that it's better to visit the tower at night to view the night scenery and I wasn't disappointed. The Christmasy atmosphere was enhanced when it suddenly snowed. There was a steep climb on a slope and it was quite tiring for someone who does not exercise much. Reaching the top of the tower in an elevator within 26 seconds, there isn't much to do up there except view the night scene and visit the souvenir shop.",405,much
406,406,4749,"The tower can be planned as part of your visit if you have covered most of the places in Seoul since apart from the view from top there is nothing much. Since the top of the tower is closed with glass enclosure (unlike in say, Eiffel tower ) you feel a bit disconnected from the view.  To reach the tower you will have to walk around half KM from nearest bus stop and metro.  You can either walk all the way to the top, which can be bit taxing. Or take the option that I took, of taking cable car from mid way of the hill to the tower.  Do note that cable car entry may become crowded and will require you to wait for getting your turn.  Once in the tower complex you need to collect ticket for going to top of the tower in lift. View from is great, though you get a feeling that they have tried a bit to replicate Eiffel tower.  Best would be to visit in evening so that you can view the town before sun set and after dark.",406,much
407,407,4773,"Seoul N Tower has a great view of the old city center if the weather is clear like in Autumn. The tower is already located on a mountain. Hence, there's no need to go up to the top of the tower to see any better view since it is pretty much the same on the ground level. Lovers' lockers are crazy all around the safety barriers. It used to be more beautiful, but it became too much of it everywhere. Nothing much unless you are so romantic to add yours.  I personally recommend everyone to take a cable to go up because only cable cars, yellow public shuttles and climbing are possible. Private cars and cabs are not allowed in the mountain. When you go back to the city, I recommend to walk down as it is quite easy walk for about an hour and has a good view point on the way. Personally, I'd say night view seems way better than day one.",407,much
408,408,4778,"You can either hike or simply take the cable car up (8000 won per person). To avoid super long queue please go on a weekday which I did. Due to the cold season, the peak was a little foggy. The scenery will be much nicer if it is spring or summer. Don't forget to bring along marker and a padlock to lock your love messages. Though you can always purchase them at the sourvenirs shop but at an escalated price. We spent around 2hrs on top and really enjoyed the nice scenery and the fresh air. There are a few eateries and cafes so no worries about where to get drinks and food. I must say that this place is a must go when you're in Seoul. Furthermore after you're done, you can always make your way to Insadong (shopping for more sourvenirs and food) which is like 10 - 15mins walk.",408,much
409,409,4786,"Seoul tower is not just a tower you can enjoy park , nice weather , hiking and even cable car experience , the only problem they charge u too much , return ticket for cable car 9 dollar for going up to tower 10 bucks and you will spending more money than u expect .",409,much
410,410,4805,"N Seoul Tower is a much loved Seoul landmark, the night we visited their was a light art show on the tower which was entertaining. If you go to Seoul this is one place you need to visit. The view was spectacular; N Grill restaurant offered reasonable service, staff were attentive and polite; food was just okay, the location and the view are the selling points, a little unfortunate the food didn't reach those heights.",410,much
411,411,4823,"Either by day or by night, no matter if you are in Seoul for the first time or if you're an old friend in this city, it is a place with surprising views! The tower and observation deck are at the top of a hill in the middle of the city. You can climb the hill by car, using the stairs and enjoy the greenery. My favorite way: the cable car. At the top, you have many options: cafes, a museum, souvenir shops, a wall where couples put padlocks with their names or any promise, and much more. It is definitely a romantic place but has a lot to offer if you come with family or alone. There is a good restaurant up in the tower, serving French and international cuisine, that I personally recommend, the food is up to par and the views are great. It is an excellent and romantic option for a dinner with that special someone.",411,much
412,412,4827,"I had initially intended on taking a bus to the tower, however somehow I got lost and there was no obvious stop at the bottom of the road up to the tower. So I ended up hiking the 3km trail to the top in the middle of July - if you do this make sure you bring lots of water as it is both hot and humid!  The hike itself was really nice, and there were many different flowers and trees bordering the trail. Unfortunately, the view wasn't so spectacular since it was so humid and foggy the day that I went.  At the top, they definitely play up the love theme with heart flower arrangements, the chance to buy lover's locks (if you didn't bring your own) and attach it to the lock trees, and the benches are slanted inwards so that you sit closer to your loved one. I went to the restaurant on the main floor which was a bit pricey (also decided going up wasn't worth the $$ since you already can see out at the main level).  I think that other times during the year (Spring or Fall when it isn't so muggy) the view would be much nicer, or even at night when the tower is lit up. Regardless though, it still was an enjoyable attraction that CAN be free if you hike to the top and forego the extra lift to the top.",412,much
413,413,4836,"I like the cherry blossom very much. Also, there were plenty of flowers and trees. What's more, the air was fresh and I felt rather relaxed there.",413,much
414,414,4841,"My second visit of N Seoul Tower was better than the first because I actually went up to take in the view. I am wary of city towers because of the crowds but N Seoul was not too busy when I got there and maybe better organized than many similar structures. The view was stunning, but I actually enjoyed the fun atmosphere with people taking selfies, just hanging out or ogling the famous love padlocks area below. It is a popular stop for most Seoul visitors with good reason. On a sunny day photos do come out very well. The food options here are not great but serviceable enough with burgers and fast food. The souvenir shops are nice and service efficient. The ride up Namsan was quite good. I appreciated the fact that Seoul is still pretty much a hilly kind of city, and you are never too far from nature and lots of greenery. N Seoul Tower and Namsan can be a pleasant change of pace from the furious shopping most do when visiting the city.",414,much
415,415,4848,"The Seoul Tower is located on the South Mountain, and supposedly you could command a spectacular view of the Seoul skyline. The reality, however; left much to be desired.  1. the line: there was a huge line to buy tickets, and to wait for the lift, and again to come back down the mountain, mostly by local tourists and chinese tourists who come as groups or individually. a wildly popular korean drama had some scenes here, so i suppose that's the main reason for the upsurge in popularity. i came here with my girlfriend late at night, around 9PM (the lifts close at ten), hoping to avoid the crowds, but still managed to wait for over an hour all together to go up and come down. We spent no more than 15 min on the top.  2. the prices were expensive, you pay for the cable car, as well as the elevator in the tower, which is only 200 something meters, furthermore, the Seoul skyline isn't all that attractive to be honest, don't get me wrong, i love the city's youthful energy and friendly people, its just that as a city, it is nowhere near NYC, HK, Shanghai, or Paris in terms of grandeur or overall aesthetic effect on the eye. For me, it was really just a bunch of high rises in the distance and tourists and souvenir stalls next to me. So unfortunately, I was left rather disappointed by the visit.",415,much
416,416,4849,"(Arrival) You have to stay calm because of the crowd. I went in the evening, so did many others. The prospect of viewing Seoul's night lights seem enticing. I faced about an hour's wait to go into the lift to bring the visitors up the observatory. I don't mind the wait, but there were not enough seats or rest areas for people who were waiting. Some, just made themselves comfortable on the floor. For me, i found an air con draft and stood at the same spot for almost 1 hour. Note: If you are coming by bus, there is a steep hill for you to conquer, so advisable to have comfortable walking shoes on.  (Wait is over.. or is it...) The lift ride simulated, somewhat like a rocket taking off, with effects and all. Frankly, I din enjoy it that much because we were all packed like sardines in the lift. SO instead of going ""wow.. look at the cool effects on the ceiling of the lift.."".. I was hoping the lift ride will end ASAP.  (View from the top) The view from the observatory was great. Crowds get into your face sometimes. Some will hog the glass panels and rest themselves at the panels / selfies etc. so STAY CALM.. and wait or walk around before coming back. They have the signs that will point in the direction of you hometown, stating the distance you are away from home. There is a mailbox at the souvenir shop. Apparently, it's the 'highest' postbox or something. Many people were trying to send postcards (purchased from the shop) back home to their loved ones. Do have a pen with you if you intend on doing so.  (Final comments) Interesting experience, but my wait and travel is much longer than the time i spend there. Nice scenery but I won't be going back if i return to Seoul.",416,much
417,417,4850,N tower is one of the best place to chill out make sure u take the bus to go up. taxi only will take you to the bottom of the hill entrance. u need to walk up which will take about 30-40 minutes other alternative is take their cable car. unless u like to walk so much! very nice show at nite,417,much
418,418,4873,"The tower is extremely busy. We queued for about 15 minutes to get the lift. There was a bit of jostling from some Koreans who thought it was fine to shove in as well.  Once up at the top, via a very speedy lift, we were treated to good views over Seoul. It was a clear day with no smog over the city. Unfortunately, the top is very busy a d many visitors smear their hands over the windows meaning you cannot really get good shots of the cityscape. Also, because of the huge footfall there are no comfy chairs to sit and relax up there.  The floor just below the top is less busy and for the men you can pee with a view. On this floor there is more information on the windows as to what you are looking at but again the windows are dirty. On this floor there is a coffee shop but the queue for the lift winds its way through the seating area.  We had good views but the huge number of people and dirty windows meant you couldn't really appreciate the cityscape as much as you would want. It costs 9,000 won per adult to visit. We walked up through the nature trails behind the tower. They are not clearly narked but if you just head in the direction of the tower you'll be fine. There were only a handful of people here. There is a main route up from Myeong-Dong that goes up parallel to the cable car.",418,much
419,419,4882,"After paying to take the cable car to the tower, there is an additional (and quite exorbitant fee) to go to the top of the tower itself. The grounds are quite small and clearly cater to tourists or young couples on a date. Not much to do, so we walked back down.",419,much
420,420,4888,Love the view on top which is a rotation restaurant. foods are expensive though but you're not obliged to buy anything but you will have to pay for the elevator ride and access to the rotating view deck. fare is not that much so it's ok.,420,much
421,421,4891,Took the cable car ride to and from the tower.There were many people so the queues were abit long.The vies of seoul in the early evening was worth visit.A large area to lounge and take pictures of the scenic seoul skyline.Carry your own snacks and drinks as there is no much option.,421,much
422,422,4901,"It's so fun when u go with your loved ones. I walked from Myeongdong station exit 4 to namsam cable car. Since it's on weekday, not much ppl queuing for cable car ride. The climb to the tower is awesome and the view is breathtaking. Must visit in seoul.",422,much
423,423,4911,"We went there in the morning. Up the tower is fun as you look up to ceiling of elevator to see a small show. The tower give you a bird eye view of the city. However, smog was there in the morning and I guess it would be better to go later until they are gone. I would definitely go in the evening as the neon light look much better for photograph!",423,much
424,424,4912,"I went to N Seoul Tower three times. And each time was different, but great! The love locks are great. The view is nice. If you choose to, the walk up is nice...and steep. The food is overpriced. But what I love most is that there is always a new event happening up there.  I went first August 2012. It was nighttime. The lights were beautiful. The second I went was around Chuseok September 2012. A bit quieter since it was around the holidays, but they had traditional crafts and such. The third time I went was January 2013. It was freeezing, but there was so much to do! There was jump roping, traditional games, street artists, bands...it was amazing.  If you're in Seoul you have to come to N Seoul Tower. Enjoy the festivities that await you. There is a lovely italian spot and cartoon museum on the walk back down too.",424,much
425,425,4916,"I went to the The N Seoul Tower with the simple intention of viewing the urban sprawl from the observation deck above, but it was its famous collection of 'love locks' below that roused my senses the most.  I’d read about the locks in my guidebook but it simply described the sight as being ‘trees’ covered with padlocks which symbolise eternal love. I knew to expect a few of these trees, but much to my surprise, I was greeted with an entire kaleidoscopic fence full of padlocks, key rings, phone cases, tags, hearts and toys - there was such an array of dazzling paraphernalia attached to the railings!  I spent nearly an hour taking in the sight before me, reading through the many names & notes appearing on the locks. Some of the messages were concise & to the point; others had a lifetime of thought & emotion put into them; all amounted to an astonishing display of collective happiness in the form of symbolic expression.  As for the view from the top of the tower? Well, it was pretty neat, but a little too smoggy to be considered spectacular. The monochrome picture from the heavens didn’t quite match the vividity of the scene below.  Promise me you visit the love locks if you ever find yourself at N Seoul Tower!  Perhaps you can even fasten one to the fence yourself?",425,much
426,426,4928,"If you like hassle-free way to go to N Seoul Tower, you may take Seoul city tour bus (take the morning tour as I went on night tour too but the bus only stop there for bout 5 minutes?!) but it might take awhile before you arrive as this place is the 16th or 17th stop for the bus tour if I'm not mistaken. You may also take a bus or cable car to go there.  If you take a bus, you will have to walk uphill bout 10 minutes (depends). Other attractions nearby, such as Alive Museum and famous love-locks place are worth visiting if you have extra time to spend. You'll have to buy the ticket before proceeds to observation deck.  Basic costs: Heart love-lock set: KRW12000 (split two with my friend so KRW6000 each) Seoul morning tour bus: KRW10000 (you may hop in and off at most Seoul's attractions until 7 pm) Admission ticket for adult: approx. KRW15000 (observatory deck + Alive Museum) Sending postcard from observation deck: approx. KRW1000++ with stamp  It's such a nice place for photo sessions (despite it was really windy when we went there). The love-lock thing is so fun to do, and the view of Seoul from observation deck is just mesmerizing. I heard it is much fun at night, but I prefer morning as the view is clearer. Nothing to brag bout Alive Museum, just skip it if you dislike taking pictures. You need to come here if you're in Seoul, the air, the nature is amazing!",426,much
427,427,4934,"I lived in Korea for a year, and this is the most overrated touristy thing in the city. The view is nice, I admit, but you don't even need to go to the top of the tower for the view. The prices are also outrageous. This is to be expected, considering as how touristy it is, but it's not worth it.  You will pay about $9 per person just to go up the tower. Of course, you have to get to the tower first, which can vary in price and time, depending on if you take a bus, the (expensive) lift system or walk the whole way (not recommended unless you have a lot of time in Seoul). The food at the top is also expensive, so eat in advance, or bring snacks during your time at the tower.  I recommend taking a hike on one of the mountains in Seoul instead. It is a great way to get some exercise, spend some time with your friends or family, and the view is much better. Trust me. You will appreciate the scenery much more on the mountains. Bring a lunch, join the Korean locals, and make a day of it. You will not regret it.",427,much
428,428,4968,Tho it is a must to place to go if you are 1st timer to Seoul but sorry to say there is really nothing interesting there unless you wanna visit the art museum (no more teddy bear museum) which is the same as trickeye museum.  Unfortunately for me there isn't much scenery for me to see as it was too foggy also there were soo many people up there where you dont really have a chance to take a good picture plus the most important area which is the edge where u see the scenery is under renovation.,428,much
429,429,4972,"It's boring to visit. Not much to see during daytime, it's just a view from top looking at buildings and mountains around the tower. There were stalls in the tower selling souvenirs of the N-seoul tower. The food at the bottom of the tower was good though.",429,much
430,430,4973,"There's really not much to see in the daytime because of the foggy view. Also the observation deck is enclosed unlike Victoria peak in Hong Kong where you can idle around and enjoy the breeze and view. The price of the observation deck is not worth it. If you insist on going, you may want to take the bus (no. 05) instead of the cable car. It's much cheaper. Also, when you get there go straight to the ticket office downstairs. Don't bother with the combo packages.",430,much
431,431,4976,The N Seoul Tower is like any other high point city tower...but if you are in Seoul I would recommend going. We visited the tower in the evening on a Friday night so it was full of teenage couples searching for a romantic spot..so plan accordingly. We were fortunate to see Seoul during daylight on the way up and then stuck around until sundown to go back down - I would recommend doing the same but be prepared for a crowd. We walked from Myeong dong to the cable car office which was much more of a walk than we anticipated so I recommend cabbing it to save energy.,431,much
432,432,4979,"Go on a clear night and you'll get a decent view of the Han River and Seoul. Keep your expectations low and be prepared to pay too much and endure crowds and long waiting times going up and back down, though.",432,much
433,433,4990,"This was my second visit to Seoul tower and the first was by far superior. It was quite smoggy this visit, which greatly limited the view of the city. Truly, I think you gain just as much an idea of the expanse of Seoul from the observation at the base of the tower as you do from paying the 9000 Won to go up the tower. I find the tower crowded and more of a souvenir shop than anything else. Still, it is a fun visit, just wait for a clear day.",433,much
434,434,4992,"It's a tower, you can see quite how spread out Seoul is, there's a cable car, not much else to say really",434,much
435,435,4997,"nice walk up, but much easier to catch #3 bus (Itaewon was my access). Great views as you would expect of any tall perch! I did not eat in the restaurant, look elsewhere for reviews there. Twenty minutes is plenty at the top, the walk from the bus stop to the elevators is tough on bad legs, don't bother as it will only hurt you. If you are able to walk a couple of hundred yards up to the elevators, it is great! Spring or fall would be spectacular as Korea has so many beautiful trees! We were in the dead of winter and still enjoyed the view.",435,much
436,436,5006,"It's a tourist trap, but it's worth seeing at least once. I'd recommend going for the sunset, and it's probably most beautiful in autumn. The view of Seoul is quite incredible, you wouldn't believe form up there you can't even see the end of the city. I'd recommend walking through namsan Park if you can and are willing to (it's quite a bit of exercise). Otherwise just go there once, enjoy the view as much as you can, it's worthwhile one time. Cheers :)",436,much
437,437,5039,"Basically, there is nothing special about this place. But there is a Teddy Bear museum here and I think if you are not be able to visit Jeju Island for original Teddy Bear museum, this place is a great choice. I don't really recommend going up N Seoul Tower because there is a place which is much nicer than N Seoul Tower and it is 63 Building. Instead of N Seoul Tower, I think 63 Building has a much nicer view to see (especially night view). However, if you do have time, try to visit both places and compare it yourself.",437,much
438,438,5050,"Came here after our visit to Namsamgol Hanok Village. There were a few direct city bus from the village to Mt Namsan. From there, a manageable steep accent to the tower. I find the tickets way overpriced. There is nothing much on top and it was over-crowded and noisy. Apparently those who went up hang around (with the steep price, I can understand why) and it was hard to properly enjoy the view. I went there while the sun was setting and it was nice to see the sunset hues and then quickly turning dark (it was winter time). It was a good way to appreciate the city though ... Seoul is really huge...and the roads are all glittering with cars stuck in the jam :)",438,much
439,439,5052,"I've been to a few towers such as the one in Taipei. I think its different. Some people comment on the view but lets be honest here, the view is very subjective and also it depends on the city.  Anyway, the N Seoul Tower. I went both at night and day time. It really depends when you go. I took the cable car at night around 8pm, i didn't need to wait that long. I think maybe around 10~15mins time. The cable car is a bit pricey i thought but its an experience and most tourist will never know until they took it. Alternatively, you can take the bus there at a much lower cost.  I think one of the attractions was the safe/lock thing where many couples, friends and family (me included) purchased a lock and lock there. Of course some would say its not worth it and stuff like that but what I can tell you is that it really depends what your looking for. For me, i do it as an experience and memory so i think its worth it. Even if you don't purchase a lock and lock it there, its an experience to see how many people visited Seoul.  Overall, yes go and have a look and see what Seoul is from up high!",439,much
440,440,5055,"I cheated, took the cable car, which I do not recommend. The waiting time was about one and a half hours, way too much, you could have easily climbed it in the mean time. Up there at night a beautiful view over the hilly area, nice lights from the city, had a good view. Then took the stairs down, easy way, careful when wet or icy. many love locks on top, amazing to see.",440,much
441,441,5056,"The tower itself is not at the same level as others through the Asian region (we went to Shanghai Tower last week which was much better). Saying that still worth a visit, takes a few hours. Definitely take the return cable car (not much of a view, but avoids the walk). You do get charged for the cable car and then the tower entry seperate.  Whilst the tower was ok, would recommend the pancakes from the base level restaurant on the outer (and add a milkshake from the burger restaurant). Food was clearly the highlight of the trip!!!  Cable car view is not great, view from tower is good, albeit we had a fairly foggy day.  Would recommend allowing 2 hours for a visit, but wouldn't make it a prioirity on a 2 or 3 day visit.",441,much
442,442,5068,"I visited N tower 1st time. I think you must take a photo from outside area is better. The bus will park at the base of Namsan mountain. And then everybody must walk to the top around 500 m. On the top, I recommend to buy a package ticket and prepare a key to show your lovely couple. Don't forget to visit Teddy bear museum also. So much Enjoy there!!!",442,much
443,443,5075,"I found that the best pictuires I took was from outside of the tower, i went there at night to have beautiful views and pictures. Views, ok, pictures, not so much as inside the tower, you got all the reflections of the windows in your pictures.",443,much
444,444,5090,"Nothing much to see. Its the usual overlooking of the surroundings. We paid less than 10,000 won each to ride the cable car. Well, its not those small type of cable car that can be occupied by 4-6 people. Its those group type cable.  What's worst was the wat to the tower. We had to walk up and its pretty high so not good for o,d people (or oldsters as they term it). You can see the teddy bear museum inside. So if you're a teddybear lover, this is a must go. They got big size teddy bears in costumes a d small sizes that moves. They used teddy bears to show korean traditions like weddings and other feast. (Have to pay separate,y for Teddy bear museum).",444,much
445,445,5110,"South Korea had fairly newer attractions, this is a tower much like the others, I would say that the tower in Malaysia and Paris were much better, because of their height, but can visit once if in South Korea",445,much
446,446,5118,"I always enjoy towers in the cities that have them and this one is top end. One large hill so high high high. Cable car up to base is alot of fun and in a park area so nice green start. Go early or crowds start to grow, but if so, go 1 flight stairs down to departure area where much less people. Views are totally wow and city forever.",446,much
447,447,5126,"You can enjoy the scenery of Seoul. I love the locks which can be found around the tower, before going up. If it is too hazy, save your money since you are not able to see much things there. Just enjoy the scenery from below the tower.",447,much
