,index,Unnamed: 0,경복궁부정단어리뷰,index,단어
154,49,685,"This palace is actually a reconstruction of the one that used to stand here. The original dates to the Joseon Dynasty. It is only one of several in Seoul, but it was the only one that I had a chance to visit. The architecture and the decorative art inside the buildings were beautiful. As you enter, you can pick up a very thorough pamphlet which explains the purpose of each of the buildings. This was you can tour yourself around and make sure you know what you are looking for at each of the many courtyards. Pamphlets are available in many languages, including English, and are quite informative. Behind the museum is the National Folklore Museum which was well worth the visit alone. You can enter the museum only from the western palace gate. The museum is free of charge, though there is a fee for the palace. The museum gives an excellent overview of the history of people on the Korean peninsula, dating back to prehistoric times. The signs in Gallery 1 all have good English translations, so it is really easy to understand what you are looking at and make sense of the timeline of Korea's past. Gallery 2 consists mostly of artifacts, which are displayed nicely but do not have as much information in English, so I enjoyed this section of the museum less.",154,much
155,50,702,There is free hanbok wearing at the souvenir shop which was such a memorable experience! Each person has only 10 minutes to wear the hanbok as the line gets pretty much long. I suggest you go and patiently wait in front of the souvenir shop at lunch time (like what we did) so you get to be first in line when they open up. Ask someone to take your photo standing in front of the nearest palace so you have a great background.,155,much
156,51,705,"The changing of the guards is worth seeing. It takes place in a massive empty square and the guards move around it, so you get good views of the whole thing. It's very colourful and makes for good pictures. Besides that, there is not much else to see besides the buildings, and the main gate.",156,much
157,52,706,"If I have to compare, I would prefer Deoksugung Palace than Gyeongbokgung palace to visit during holiday. Why? Gyeongbokgung is too crowded since it's the main center of the palace to be visited by the tourists. The main attraction would be the changing of the guards, the history of the palace, the national folk museum and the national museum.  However the last time I came here I can't enjoy it that much since it's very crowded with people. Even the pictures that I took were not as beautiful as ones I took at Deoksugung. Perhaps, one suggestion, come to Gyeongbokgung during weekdays, and not in a spring, winter, or summer break. People are coming not only from Seoul but also China and Japan. I really find it unattractive in a huge commotion like that.  Nevertheless, for 3000won, this area is really worth to visit. This palace area is so huge that even 3 hours will last like a flash. And make sure, you're not coming during holiday. It'll be an awful experience.You can't really enjoy the scenery since it's too noisy and crowded.",157,much
158,53,723,"We did a three-hour morning tour which included this palace complex. We watched the colourful changing of the guard procession at 10.00am.  The complex contains beautiful ornate buildings set against the majestic mountain backdrop and with a serene man-made lake in the middle.  Unfortunately there wasn’t much to see inside the palace buildings as everything has been removed.  Nevertheless, something not to miss on your Seoul holiday.  Also in the complex is the National Folk Museum of Korea which we were only permitted to pay a fleeting visit to due to time constraints. It looks full of interesting exhibits and will definitely merit a longer visit when we next visit Seoul.",158,much
159,54,748,Not much to see in buildings. There are free english guidances but the english speaking is not very undertandable.,159,much
160,55,751,"Definitely a place to go specially if you don't have much time to visit Seoul. It will give you an idea of Korean culture. The site is beautiful and you can walk around the parks. Close to the subway, free guides in different languages at set times.",160,much
161,56,755,"I was not much interested about this place before going to this palace.Once we reached there,I rented an Hanbok for ₩9000/2hrs and hair braid ₩5000.Then that's it,you are ready to capture shots. It was raining heavily when we were there but still it was good.You could hire a guide there so that you will understand the history and culture of that palace.You will find museum which is free entry in the same compound.You can spend around 2hrs in that museum.Overall it was good.",161,much
162,57,771,"I would say this is the largest and most grand palace in Seoul. The grounds are enormous with much to see. We went in the morning to see the changing of the guards, which my kids found fascinating. They even had a roped off section for children to sit so they could see better. If you could only see one palace this is the one.",162,much
163,58,786,Gyeongbokgung Palace itself was easy to find! (Stop at gyeongbokgung station). Rent a hanbok and you are able to enter for free !! I must say the palace is big and beautiful😍 As for me i really want to visit the palace as i always seen it on tv so seeing it in real life is amazing! Its big that you need 2 hours to explore the whole area and there’s alot of pretty spots where you can take photos with your hanbok!! Definitely recommend to visit with your hanbok because you’ll feel like you are a princess/prince!! But of course there will be alot of tourist so come early so there not much people!,163,much
164,59,802,A really great day out with English speaking tours! There was so much to see and learn about and we were lucky enough to visit whilst a guard ceremony was taking place.,164,much
165,60,824,As I was travelling for business I did not have much time to sight see. My colleague took me to the palace to breathe in some Korean heritage. It was a lovely experience and I learned a lot about Korean history in a short (1 hour) time. Glad I didn't miss out!,165,much
166,61,825,"We went on a Thursday morning in May and it was not too crowded. This is the largest of the Seoul palaces and there is much to see in this restored palace compound. The changing of the guard ceremony is in the area where the tickets are sold and happens at 10:00 and 2:00. It is quite colorful and is more than just a changing of the guard. Inside the grounds is the National Folk Museum and it is included with the palace admission. It also is a large space and we only got half way through. One could really spend a lot of time in this palace area. For us, a half day was enough but it was quite nice.",166,much
167,62,839,"Rather impressive and you can wander for ages. Would be a great place to let the kids run. Be warned, not much in washroom facilities. Could be improved be have period enactors.",167,much
168,63,873,"With a group of people who rent hanbok, we entered this palace and it's free if you wear hanbok (Korean Traditional Dress). This is the 2nd time I have visited here. The palace is so big, and we didn't get to walk around much area. It's unique that you wear hanbok and take photos in here, seems like you are really living here. You have to experience it at least once.",168,much
169,64,876,It was an amazing view to visit this palace and to admire the historical story behind was really mesmerizing. The building was neatly maintained and clean. There is a museum inside which is very much interesting to see.,169,much
170,65,879,"We were fortunate to visit here while the guards were being changed and the ceremony exceeds any other such ceremony that one typically can witness. Much grander of a scale, much more pageantry.  But even if you don't get to see that take place, the Palace grounds and buildings are impressive enough to warrant a visit here for sure.",170,much
171,66,881,"A beautiful palace, which unfortunately got caught in a fire in the 1800’s then was ruled by the Japanese for about 50 years. The Japanese tore it all down but fortunately stored a lot of the structures. They have spent the last 30 years, restoring and repair the palace, so not much of it looks very old but it is amazing when you read the history. The changing of the guard is a nice ceremony to watch. It is great to visit during cherry blossom as it all looks so pretty.",171,much
172,67,896,"I have visited Gyeongbukgung twice, once in the summer and once in the winter time. I personally hate cold weather, but, Gyeongbukgung is so much better in the winter time. With less tourist and less heat, you can wear the Korean traditional clothes comfortably during the winter time.",172,much
173,68,901,"This is my second visit. Once in summer (no shade and very hot so I didn’t walk around much). This time in winter, I was able to walk around more. The changing of the guards is every hour, on the hour and is worth seeing. It’s free. The costumes are colourful and the drums are cool. The palace entrance is 3000 won. The grounds are expansive and besides the pavilions and buildings, it’s pretty sparse. There were plenty of people in traditional costumes taking photos. There is a folk museum too but I didn’t go in.",173,much
174,69,905,"My wife and I love attending palaces, museums etc in the countries we visit. We attended the palace and partook in the free tour. It was extremely informative and we really enjoyed it. Further more there was no request for tips or any form of payment. As the tour ended our guide thanked us for our time, wished us all the best on our holiday and then walked off. She was extremely polite and informative the entire tour and I actually felt like I wanted to tip her given how brilliant she was.  I would highly recommend taking the free tour as you get so much more out of it that just walking around yourself",174,much
175,70,909,"Definitely worth while to visit, staff very friendly to answer any question. Unfortunately lot of the pavilions are closed, so not much tonsee, other palace is better for this, bit nice grounds to walk around. Changing of the guards is not authentic and very touristic unfortunately.",175,much
176,71,913,"Simply, you are not visiting Seoul if you do not visit Gyeongbukgung Palace together with Gwanghwamun Gate. This palace carries so much history that it is a must for all visitors to visit. Make sure you catch the guard changing ceremony.",176,much
177,72,919,"Nothing much except that’s it’s really big. Went during winter, lots of space to walk around but nothing really fascinating",177,much
178,73,922,We arrived Gyeongbokgung Palace around 11am and the ticket can be purchased easily when arrived. The ticket queue seems much longer in the afternoon when we're about to leave so start early if you can. Most of the visitors were dressed up in Hanbok costume (traditional Korean dress) where you can rent it. Do note that the guard changing ceremony is at 10am and 2pm. There's a free English Guided tour at 11am but I believe there're other timings in the afternoon as well.,178,much
179,74,936,"I would suggest to go early. So that you can get your insta-worthy shots without too much background distractions. We reached the palace around 10am-11am and it is already packed. It might be due to that I visited the palace on Sunday. Such a shame that I didn't get to watch the guard changing ceremony. Good thing that our tour guide is well versed with the history of the palace, so we don't have to use the tour provided by the palace.",179,much
180,75,944,"We enjoyed visiting Gyeongbokgung Palace very much. We were, unfortunately, there during a rainy patch. It would have been a lot more fun on a sunny day. Many visitors show up in traditional Korean dress and take photographs, which adds to the ambiance.",180,much
181,76,951,"We took the train and came out on the opposite end and hence we didnt know there was another exit where you will see rows of rentals of hanbok. We went into the palace expecting to rent hanbok for the children and realized they were outside (we saw many of them when we left). Would be nice if there is a notice board or something where they can inform us where to go for the rental. If you are coming out of the palace, turn to your left towards the station. when you hit the first traffic light, you will see lots of rental shops opposite. That's the place to rent your hanbok for photo taking. The palace itself was nice but probably I was expecting more. The palaces look pretty much alike and nothing much to see for us. Probably they do not have a richer and older history as China. We practically walk everywhere in the compound and our last stop was the library where you will have to take your shoes off and be real quiet! I don't think I enjoyed unless there was an event there. If not, I think its worth to skip it unless you really want to dress in your hanbok and walk under the hot sun (yes we went in June)!",181,much
182,77,1000,We spent a few hours walking around the palace grounds. It was much bigger than we expected but the architecture was beautiful and well kept. We had a 3 year old with us and he loved exploring the countless pathways until he got tired and opted to ride in the stroller. They had many ramps around the palace so the stroller was not a problem. Overall a very worthwhile place to tour in Seoul for a step back in to history.,182,much
183,78,1002,"Compared to most our palace visit, this was uninspiring. I thought it would be much bigger, but the King's palace is very small. I don't get the barrier around the pond with windows to peek through to see the Pagoda, looks abandon.  Aside from the entrance guards, there are nothing to interact with after the guards, just a few old buildings, you can walk through this in about an hour, will be bored after the palace.  The most interesting thing was seeing all the Chinese tourists dressed in traditional attire walking around, we took pictures with a few.  Need signage to describe what we are looking at, I rented the audio guide, without that, one would be clueless on what they are looking at.",183,much
184,79,1006,"The Royal palace in Seoul is a great attraction to visit, much has been written about the palace on TA. This is a huge complex of buildings and outdoor areas to explore, that is why I highly recommend taking one of the free guided tours which are offered daily in four languages, English, Korean, Japanese and Chinese, then after the tour wander around on your own. The tour lasts between 1-1.5 hours depending on the size of the group and the guide. Our guide was most informative as she lead our group of about twenty five around the complex. We were told many interesting stories and facts about the life in the Royal Palace, about family members, details of the architecture and general life in the palace. The Palace is inexpensive to visit, 3000 won/adult, but I believe if you come dressed in traditional Korean costume you can get in for free.",184,much
185,80,1009,"Many of the historical sites in S. Korea are rebuilt or refurbished, but they are beautiful all the same. They have a strong cultural tradition, much like their food traditions -- that are interesting and rich.",185,much
186,81,1020,"This place is huge and a lot of walking. There was a ceremony for about 10 mins and it was nice. I don’t know how much would it cost for the entrance, since our tour guide got it for us. A lot of people, but since the place so big that people were at diff places. Overall, great place to visit if you’re in Seoul.",186,much
187,82,1030,"Since the japanese destroyed all,it was rebuild.Notting much left inside but fancy woodwork.frankly i wasnt impressed much! If you skip it you wont miss much",187,much
188,83,1052,"Nice to see a palace from Joseon Dynasty, I watched Korean drama and Joseon Era is always shown. Nothing much to see inside, the fee was $3; some people dressed up in hanbok dresses and walked around the palace and take pictures. The change of guards was great to see, they do it every half hour.",188,much
189,84,1063,"If you have been to the Forbidden City in Beijing, you will be more tolerant of this rebuilt collection of buildings that is the Gyeongbokgung Palace. Some reviewers complain there isn't much to see here. But I guess it depends upon what your goals are.Yes, the buildings are mostly closed or empty. But the way the palace is built with exposure to weather with unheated buildings, it is understandable why they won't be full of ancient artifacts. You'll find those in museums nearby. I have been here probably five times going back over 30 years, and I never cease to find it a place to calmly reflect on Korea's ancient and interesting history as a keystone located in the heart of East Asia. Additionally, you will find two great museums within its boundary. A great place for leisurely walks and quiet thinking (except on Korean holidays!).",189,much
190,85,1073,It is worth the visit if you go early morning to catch the 1st changing guard ceremony. If not there is not much to see inside just many buildings and they are all the same.,190,much
191,86,1083,Great to visit if you do the guided tour. It is a large compound and you do not get as much out of it walking around on your own without the guide.,191,much
192,87,1087,"Enjoy the palace on snowy days, I think it is more beautiful that way. Atleast what my family & I did!  Only 4- because there is not much to see. When you are inside there may be a second museum which holds different event for different seasons. There you have to pay aswell, nothing is free in this world my sons.",192,much
193,88,1093,"There is so much history in this palace. Take the audio tour and if you get the chance, watch the changing of the guards!",193,much
194,89,1118,"The Guards change ceremony was much better than the one at Deoksugung palace. We bought the royal pass (10,000 won for adult, 5000 won for kids) which includes admission tickets for Deoksugung palace, Gyeongbokgung palace, Changdeokgung palace (inclusive of secret garden admission), Changgyeonggung palace and Jongmyo Shrine. If you have time for only one palace, go to Gyeongbokgung palace if you would like to see the Guards exchange ceremony and experience a traditional Korean tea and snacks served the royal style.",194,much
195,90,1131,"This in some ways has some of the strengths of the forbidden city, without the traffic and air quality woes. Unfortunately they do not have the nice displays of palace furniture, art objects and treasures that the forbidden city has. Still impressive, but could be so much more. Perhaps these items are in other museums? If so they should be repatriated for the Korean people",195,much
196,91,1138,"Similar in style to other Seoul palaces, Gyeongbokgung differs in size and the extensive complex of palace buildings and compounds. There is much to see here so it is best to allow at least two hours to explore. I recommend entering through the main gate and exiting at the rear of the grounds to ensure you don't miss the beautiful book room and final home complex of the revered empress. The walk back from the rear of the grounds takes you past a number of small art galleries. Avoid the weekend if possible as there are many tour groups.",196,much
197,92,1140,"A visit to Gyeongbokgung Palace is one of those things you do in a lifetime that stick in your memory for the rest of your life. What a stunning palace and what an amazing opportunity for anyone to learn so much about a country's history that no school would ever teach. Visiting this palace was one of the best things I have ever done for myself. This visit made me realize just how little we learn about Asian history in the West and I lamented this but welcomed and enjoyed the opportunity to remedy this sad reality at least a little by learning as much as I could.  I was so impressed by the meticulous care of this historical place. Authorities in Seoul ought to be applauded for their exceptional care of this historical jewel. This is not a place you can visit in just an hour or two. Take your time! See all the details, read everything, learn and enjoy! It'll transport you to ancient times long gone and to such a different culture and world you could never imagine unless you went there yourself. We spent an entire day here and loved everything, from the unique and delicate gardens, to the royal chambers of the king, the superb collections of antiques that show different times in Korean history. The pagodas are exquisite, the details of the architecture, even the small village of their servants provided a clear contrast that showed how differently their servants lived within the palace. We also marveled at the great contrast between this ancient structure next The the modern city surrounding it. Absolutely magnificent!",197,much
198,93,1143,"I really enjoyed going to Gyeongbokgung. I actually met up with a friend there that I had met on a language exchange app but never met in real life, and we had so much fun! Because that friend insisted on paying for my ticket for me, I don't actually know how much it costs. But I found out from people there that if you go to one of the Hanbok (traditional Korean clothing) stores nearby and pay to rent Hanbok (which you can do, prices vary depending on the outfit you choose and how long you want to borrow it, I borrowed the ""cheap"" outfit for 2 hours and it was 20,000 Won (~$20)) you can enter the palace for free. So it was quite cool, as we walked around the palace, there were people everywhere wearing the traditional Korean palace clothing! Bless their hearts though, that day was HOT. If you come to the palace in the summer, be prepared for that... I was not... lol. Overall it's a gorgeous place to visit and a lovely walk during the day. There's a mini museum/cafe/information center/gift shop near the main building of the palace, so you can go there and enjoy some A/C if you're dying in the heat (like I was). There are also a lot of cute cafes and restaurants nearby that you can go to, with delicious food! Overall, I would recommend visiting this palace, but it's more fun if you go with a friend or a group for sure. :)",198,much
199,94,1146,"Rented a handbook for 2 hrs for 10,000won. From a shop just across the road. Rented the cheapest so the design was much simpler than the more expensive ones at 30,000won. Both female and male handbook available.  Once you wear a handbook, entrance is free!!! Great time to photo shoot. Even locals wanted a picture with us may be because we were wearing our hijab with the Hanbok. The weather was hot and we were perspiring a lot in that thick and heavy hanbok. Bring your bottle of water along coz there isn't any shops inside the palace.  The palace is so huge, took us 2 hours to explore most of it. Taking into account our endless.phototaking hahaha.There's the exterior part, with a beautiful pond and am.overview of the mountain at the back.",199,much
200,95,1152,"We spent a Sunday afternoon visiting the palace on an English guided tour. The tour lasted around an hour and towards the end we decided to break away from the Group as we had seen as much as we wanted to see. We found the Palace interesting in terms of its history and the tour, buildings, artwork, decorations made the visit worthwhile despite it being very hot, humid and wet.",200,much
201,96,1155,"The palace is one of the must visit sites for tourist coming to Seoul. To get the full traditional Korean experience, you can rent Hanbok (traditional Korean clothing) from many stores near the palace. During the summer, I recommend visiting the palace at night. You'll need to make reservation online, but the hassle is worth it. The views are much more scenic at night and the summer heat become more bearable (especially if you are wearing Hanbok).",201,much
202,97,1158,Not worth your time if you don't have that much time in Seoul. It is a replica most of the palace stuff have been reproduced.,202,much
203,98,1182,"Suggest to go visit during the morning or later in the afternoon. We went just after lunch and it was a really hot day at 30 degree Celsius. We were so tired and thirsty and have to rest every now and then after 30mins walking or so. Bring a cap/hat, sunglasses and water if you do go during summer or hot day!  Palace is huge and will be even more pretty I believe during the Autumn period. One can spend at least 3 hours covering the whole palace so it will be good to go during a cooler day. We did not wait for the guided tour as we did expect to spend more than 2 hours in the palace which in the end we did due to much walking and resting!",203,much
204,99,1196,Wonderful palace to see. Take a guide as you will miss so much without one. Went into the King court and bumped my head on the curved rock for the doorway. Please watch out for the as my head still hurts.,204,much
205,100,1222,"I appreciate Korean Palaces so much because it shows how much they treasure their history. It was well preserved and strictly kept clean, and thus it has become a highly respected place. I wish the Philippines valued its history as much as Koreans did. :(",205,much
206,101,1223,Go there for a good morning walk.Nothing much to see. Very empty palace. Lucky the entrance fee is not expensive.,206,much
207,102,1239,"We went to this beautiful landmark early in the morning to avoid the crowd. We only have a little time left in Seoul so we did our tour inside quickly. Many tourist in groups often stop near the entrance taking pics etc blocking your way lol so to skip this, keep on walking inside as the palace is huge. Not much description written on each room in the palace, or maybe we just had to take the guide book or something at the entrance. We did the whole palace in 1 hour by keep on walking and taking pics quickly.",207,much
208,103,1265,"The first attraction we visited upon arrival to Seoul. It was winter so it was not crowded at all (though, I've never been there during the other seasons) so you can take time in taking photos and just walk. Just as the other tourist attractions in South Korea, the palace is well maintained, toilets and surroundings are clean, tourist information areas are present, and English tourist maps and guides are provided.  Admission fee is KRW3000 but you can get a discount if you're visiting in group of at least 10. Good thing is, if you have enough time, there is an integrated ticket which you can purchase for KRW10,000 and entitles you to visit the other major palaces and temples in Seoul.  The best thing about the attractions in Seoul is the location. The attractions are pretty much close to each other, hence they are easy to find, especially if your using the subway. The National Folk Museum is located just next to Gyeongbokgung, and you can visit the place for free. You can visit other nearby Museums after, head to Bukchon Hanok Village and stroll at Insadong and Samcheongdong afterwards. Then you can take pictures at the Gwanghwamun gate as you head off to the subway on your way home (what we did, since we entered the Gwanghwamun Subway Station as we got back home).  **If you don't mind long walks, it's better to walk from one attraction to next. **Just make sure to wear your winter clothes to keep you warm as it gets really cold especially when it's windy. Bet you don't wanna spoil your tour when you're busy keeping yourself warm. :)  If you plan to visit Changdeokgung, I suggest you alot another day for that to appreciate, then you can go to Jongmyo Shrine after. You can also exchange Changdeokgung and Gyeongbokgung. Both are near Bukchon Hanok and Insadong-Samcheongdong",208,much
209,104,1266,"Went there about 4 times in summer, winter and spring. winter visit isn't giving the palace any charm as it is cold and not colorful. When spring arrive, the palace take it's color and is much more welcoming",209,much
210,105,1267,"Did a solo trip to the palace, which is conveniently located near a subway station.  There is a change of traditional palace guard parade that had explanations in English, Mandarin and Japanese; very interesting to watch and understand.  The palace itself is quite a big compound and well preserved and restored. I would have preferred that there were more directional signages and explanations of the various locations of the palace. I did not see any maps for visitors to take along (maybe I missed it), hence, some places that I walked had nothing much to view. The lack of explanation boards at the various locations made my visit a purely sightseeing trip, so for those who want some history, either get a guide book or a guided tour.",210,much
211,106,1271,"There are free tours of the palace grounds at certain times of the day (in English, Mandarin, and other languages). Make sure you join one of these - it will say in the information pamphlet what time and where the guide will be waiting. We found the experience to be much more enriching with the tour.",211,much
212,107,1277,"Gyeongbokgung Palace has to be one of the most budget friendly tourist attractions I've ever been to - at 3000krw it is a bargain.  One piece of advice I have is to arrive about 15 mins to the hour - this way it will give you enough time to buy tickets and watch the guards changing (happens on the hour) which will then give you ample time to roam the very spacious palatial grounds. This way you don't have to rush to the entrance if you are somewhere else in the compound to watch the change of guards.  I very much enjoyed the palace - we went in the morning and would recommend you do this to avoid the crowds as this is a tourist hot spot. This way you can get lots of photos without people in the way. Having said that the Gyeongbokgung Palace is HUGE - we just avoided the crowds by walking around the outside first where you can admire all the foyer and ceiling art followed by walks next to the water gardens which are a lovely place to admire the wildlife among the water lilies.  If you can allocate at least two hours to walk around the grounds - it's very scenic and clean - if I lived in Seoul I would come here for the peace and quiet alone, not to mention it is a great workout if you visit every part of the compound.  A must-see and notable attraction if you have time on your trip - it's easily accessible by Subway and not far from other hot spots in the city.",212,much
213,108,1291,"We spend time in Seoul for 4 nights , first day we visited here with my family and my friend We purchased the tickets and walk around to the palace. It's like in the Korean series that I like very much. Felt like being shown on the series lol. Palace pretty much a source of this country. And I can even walk to the back of the palace as well.I really fall in love this county . The people are very help full",213,much
214,109,1292,An area much larger than you imagine on walking towards it. In winter closes at 4pm. Lots of buildings and a pond to look at as you walk about. Some steps but it is an easy relaxing walk and central to the city so you can walk on Metro there easily. A popular attraction in the peak season so look at getting in early in the high season.,214,much
215,110,1301,"I went during Chuseok, which I recommend to everyone because of the broad array of events which were planned for the holiday. Gyeongbokgung Palace is just beautiful and a nice sunny day made the whole experience that much better.",215,much
216,111,1311,"We booked a complimentary tour through Visit Korea's website and met at the ticket office at 10am on the day of visit. Our guide was a lovely lady who was a volunteer. It's impressive that locals would volunteer their time and energy to introduce their city to foreigners. She was very enthusiastic and spoke decent English. We started at the main entrance and walked our way through the whole palace. Extremely beautiful place with lots of history and unique architecture. Our wonderful guide explained the architectural aspects, history of the structures, and even some present day local affairs! We wouldn't have been able to understand so much without her. Time well spent and a must-visit in Seoul!",216,much
217,112,1321,"We visited this palace, the largest of the 5 palaces within Seoul, in the morning and it was already teeming with tourists. There is so much history to absorb both in visual and audible form. The details on the decor, roof structure & building design are awe inspiring. Each detail, whether it be the shape of the roof, the colour combination of the ceiling beams, the setting of rooms (with heating options), is so meaningful. Like the other palaces, this is meticulously restored. You can almost feel the presence of royals and the troops within the palace. The place however seems squeezed by the sprawling metropolis though once within its perimeter, one can enjoy the peaceful and serene atmosphere. One thing notable is that unlike Changdeokgung Palace, which is of Korean architecture (entrance walkway is crooked), this palace is of Chinese design (entrance walkway is straight).",217,much
218,113,1327,"The palace itself is not so much to see. On a sunny weekend, you can find citizens/tourists wearing Hanbok in it, as if it is a movie studio. It's great to get some Korean vibe. Also, do visit the palace at night! The palace is glowing with some lights on. There are some beautiful pine trees besides the park.",218,much
219,114,1338,"Gyeongbokgung Palace is part of the itinerary of all the day tours in Seoul, which tells you that it is worth seeing, but as my husband and I discovered, it is an easy 20 minute walk from the City Hall neighbourhood where our hotel was located. In other words, it is possible to see come of the city's rich history even if you don't have much time to spare. The palace is an commanding structure and gives a real sense of the wealth and sophistication of Korea at the time when Europe was still emerging from the Middle Ages. But, the thing that we found most impressive was the pride and patriotism shown by the Korean people, many of whom were dressed in colourful, traditional costume. Gyeongbokgung Palace is the perfect solution if you are in Seoul on business and don't have much time but still want a taste of the country's history.",219,much
220,115,1345,"This place is breathing with history, which contrasts so much with tall modern buildings in the background. Met lots of local girls in traditional costumes here. In hot weather you'll feel like being barbecued here;)",220,much
221,116,1357,"The area is very big and alot to see. But it's hard to take a good picture at the gate because it's always full of people. The sightseeing inside much more tranquil. I was in there at 11a.m and got a chance to see the guard changing. They only walked a few feet long so if you want to take picture, you have to be very quick",221,much
222,117,1368,"The grounds here are beautiful and the structures are as well. The insides, the ceilings particularly are very intricate and colorful but nothing is original because 90% of it was torn down during Japanese occupation which is a shame. The restoration and rebuilding of the structures is very nice, so it is nice to imagine how it would have looked. There are also plaques all around that explain the buildings and it is worth looking up online before you go, but I wouldn't pay for a tour. I was teaching in Seoul and took my family (who was visiting) here in July of 2015 and they enjoyed it but once you have seen one palace in Korea you have seen them all. Doing the hop-on-hop-off bus tour is your best bet! Then you can spend as much time as you would like and move on.",222,much
223,118,1373,I like this place very much. Learned about Korean history. It was very pretty and well kept. It was huge and exactly what we expected to see since I have watch lots of Korean movies and see the palace on screen before,223,much
224,119,1375,"This is one of the Seoul ""Top 10"" attractions, but the reviews on Trip Advisor are not unanimously good - so I went wondering if it would be enjoyable, or a bit of a let-down. Well I'm pleased to be able to report that I thoroughly enjoyed it. I had a good walk around Gyeongbokgung Palace and also popped in to the Korean Museum of Folk Culture next door.  I found the Palace very interesting and rather impressive (I did not do a guided tour, I just walked round by myself). Entry is 3000 Won (around US$3, GBP£2) which is absolutely excellent value for money. There were quite a lot of locals there in traditional and very colorful dress, which really brightened the experience.  It took me 2 hours to have a really good look around and take my photos. The Folk Museum I mentioned earlier I do not recommend. I spent just 5-10 minutes in there and it will certainly be of much more interest to Koreans than to visitors. Nevertheless, entry was free so I'm not complaining... just advising!  I notice more than one review comparing Gyeongbokgung Palace with the Forbidden City in Beijing. Gyeongbokgung Palace is much smaller (although still occupying quite a large area) but quite similar in its layout and appearance. Please don't go to Gyeongbokgung Palace hoping or expecting to find an equal of the Forbidden City, but I think you will find something equally as interesting although rather less dramatic in scale.  The day I visited the weather was sunny. I would not advise going on a rainy day, I think that would totally spoil your visit.  Overall, very highly recommended.",224,much
225,120,1379,"Sept-2016) Great palace. It was a little too much walking for our my 8-yr old in addition to taking subway both ways...but he loved it.  We got the audio guide for 3,000 won.  The subway exit off line 5 (purple line) is gorgeous. You exit by Admiral Yi's statuei (?)...lots of photo ops.",225,much
226,121,1382,"This is really an incredible palace that is set right in the middle of the city. It's crazy how the palace just keeps going and going, much more than it appears from the outside. It's pretty cool to see the changing of the guard as well.",226,much
227,122,1391,"Ok, so this is a nice place to visit and is really interesting to see such history in the middle of the city. There are very many people walking around, but I never felt too crowded as the ground are really large. The buildings are all very similar (as was the theme of the other palaces we visited), same architecture, colors, etc. there were so many little rooms which had no explanation. The grounds of the palace were mostly gravel, with the exception of the building in the middle of the water, but we could not figure out how to enter it. Nice experience, but I would not spend too much time there.",227,much
228,123,1407,"First of all, this place should be called 'Gyeongbokgung' not 'Gyeongbokgung Palace'. 'gung' means palace in Korea.  I think that Gyeongbokgung is must-see place if someone never had an experience to visit. It's a full package of Korean traditional culture. The palace is beautifully designed and technically built. If you can borrow audio service device, try one. You won't regret it. It's much more interesting when you know the background. Its admission fee is reasonable like KRW 3000(= USD $2), but it's free if you wear Korean traditional custom. There are many rental shop near the palace. Don't miss it. There are few shade to hide from sun outside. If it's hot outside, visit this place some other time.",228,much
229,124,1409,"I would recommend entering at the front gate during the changing of the guards. I can't remember exact time it happens. But was a great experience to see the whole ceremony. Once inside, there is so much to see. So be prepared to walk a lot and take lots of pictures. Really beautiful palace.",229,much
230,125,1411,"OK, where to start. Allow min half day or more. Come bright and early for the changing of the guards ceremony. Bring plenty of food and water, don't forget to charge your camera and good shoes. Not much refreshments available on the premises so come prepared. If you want to wear a hanbok dress, there are plenty of shops where you can hire them for 1.5hrs - 2 hrs outside the palace. I believe the prices start on 15000 KWR for 1.5hrs. It's a great opportunity to take your pictures in this wonderful setting and ""IN style"" throughout the complex. Definitely worth a visit is also the Folklore Museum with its wonderful restorations of Korean past. The Korean Folklore village's reconstruction is very illustrative and worth a visit for every foreigner. The museum is within a complex and the entry is free. If you need to wind down, there is a small garden towards the north of the complext where you can e.g. let the kids to let some steam out. It's very tranquil there and with offers lovely views. Free 1hr long guided tours are offered on the hour at the entrance. We left the palace by one of the side entrances and enjoyed a well deserved meal in a small restaurant in Bukchon. Great day out.",230,much
231,126,1415,Th building is beautiful and has a lot of history - not very much liked by the Japanese because of the way they treated the koreans in the past.,231,much
232,127,1418,"The site, the palace structures and the gardens were beautiful. However, I would say there wasn't much to see. Most of the palace housings were locked and those that were open had few or no exhibits within. Going free and easy without a guide will not give you much insight into the Korean traditions or palace life.  However, if you wear a hanbok to the palace, you will be granted free entry. There is a hanbok rental a few minutes walk from the train station. If the weather permits, wearing a hanbok would be a really good idea as you can be assured that your pictures will turn out fabulous. There is no need to feel embarassed as well as many visitors do that :)",232,much
233,128,1425,"This is the bigger of the 2 imperial palaces. Personally, I like the other one. Go see this one just because that's what you do; just like one visits the Statue of Liberty in nyc because that's what you do when you are in nyc. Just a bunch of buildings that very much resemble Chinese palaces. One cannot go in the building, just stand outside and look in through the openings. They do try to make up for it by having re enactments and ""changing of the guard"" type ceremony.",233,much
234,129,1426,Booked a free Seoul walking tour for this palace. There were a lot of people over the weekend. However the palace is beautiful. The tour enhanced the palace experience adding much depth to the visual experience of this place. Although this palace was restored it doesn't diminish its importance to Korea and how crucial it has been to the existence of this nation.  The changing of guard ceremony is something not to be missed. It provides an experiential bridge to its glorious past and is one of the highlights of this palace visit.,234,much
