,index,Unnamed: 0,북촌한옥마을부정단어리뷰,index,단어
110,110,2713,"If you like ancient architecture and buildings, you will enjoy the Bukchon Hanok Village. Don't except too much as you can only admire from the outside and not the inside as it is the actual residential area. There are also signs for you not to disturb the resident. Fair enough. Still nice to go and have a look, but I wouldn't say it is a must go.",110,inside
111,111,2725,"If you want to see small houses on a very steep hill with lots of time to kill, here is a suitable place. This used to be a rundown and cramped lower middle class area which failed to draw attention by the destroy-anything-old syndrome of the 1970's and 80's building craze in Seoul. Most of the grand mansions down below on more habitable flat ground were long gone even before that period. Now there are only two homes worth mentioning in the area. One belonged to former President Yun--a 99-unit home in traditional Korean style. The other is at the summit of Bukchon--a genuine Victorian home. In any case, both homes are privately owned and not open to the public.  The small houses in Bukchon are also privately owned and are not possible to visit inside. Those few that are open to the public, you have to pay an entrance fee! Why on earth would anyone be interested in visiting a claustrophobic home that somehow avoided demolition decades ago? Bear in mind, they may be well-maintained now but are not homes built two, three centuries ago. It is shameful and embarrassing that there isn't a single area of grand old residential homes surviving in Seoul.  If quaint charm is what you are looking for, try Hannoversch Münden in Germany with homes more than 600 years old. Or Dinkelsbühl. Or San Gimignano in Italy. A bigger city? Try Florence. Bigger? There is always Paris.",111,inside
112,112,2740,If you wanna lost yourself in the hide and seek of a old village inside the city. Escape to Bukchon. First get yourself a guided map at the Bukchon cultural center then seek out the treasures. Its a maze.,112,inside
113,113,2754,"This is a nice place to visit for a quick walk around and some sight seeing. We spend all of about an hour here, but it was nice to walk around the streets and see the old houses (hanoks) framed against the skyscrapers in the background.  There are a few hanoks that operate as tea houses and B&Bs now, so there is an option to get inside if you like (we did not).  I'd recommend not driving through here. It's tight and crowded with tourists. We saw one car get quite damaged trying to turn around.",113,inside
114,114,2802,"What a time we had trying to find the place! Once there we could talk to the red uniformed guides (at tourst places around the city and always in pairs) who spoke English and were friendly. One house was available at 10,000 won to go inside but not much to see other than exteriors unless you took the invitation.",114,inside
115,115,2809,"Nothing more than a common city block. Traditional house are all private own and you can go in to look inside. Take photo to the roof is the only option. Road is slope and deep high, not recommend for elder and small child",115,inside
116,116,2810,"If you walk the small allies of the village, you can feel of 1980's Seoul. most of Korean ""well-living"" class used to live those kinds of houses. You can also have a look inside of Korean guest houses where many tourists stay to have cultural experiences.",116,inside
117,0,109,This village is super chill and extremely photogenic but please remember to refrain from making too much noises as they are all houses with real humans staying inside Residents probably not paid by the tourism board of South Korea but some of them put on their thinking caps Paid for an observation deck with free water in it seems like a residents rooftop haha Whats funny is later on as we explore we found a better view with no charges,117,seems
118,1,412,"These heritage homes and streets are nicely preserved and presented. It's nice to explore and sample Korean life. It seems to be the number 1 selfie location for Koreans, hire a traditional costum, and join them.",118,seems
119,2,572,This seems to be the only place where you can get a sense of tradition now that Insadong has been ruined.  We wandered the alleys looking at the beautiful buildings.  There are buildings you can visit and nice places to stop for tea. A must see.,119,seems
120,3,661,This is a hilly part of Seoul amidst two royal palaces. Clean and safe but seems that - according to many notes on houses - the residents do not feel very happy about the many and loud tourists.,120,seems
121,4,799,All the small houses and road are very interesting. You seems to travel back in time and walk on the streets that history walk on. Just like going to Paris or other old Europe city.,121,seems
122,5,860,"love this place.... the place is really huge, if you really want to visit all 8 photo spots, remember to wear your most comfortable walking shoes, winter sonata fans, the high school in which the bae yong jun and choi ji woo met is in this area as well  Too bad i went on a rainy day, and I got lost, though we holding a map and asking the locations of the photo spots from the locals, we still got lost, nobody seems to know where the photo spots located",122,seems
123,6,1146,This seems to be the only place where you can get a sense of tradition now that Insadong has been ruined.  We wandered the alleys looking at the beautiful buildings.  There are buildings you can visit and nice places to stop for tea. A must see.,123,seems
124,7,1209,This is a hilly part of Seoul amidst two royal palaces. Clean and safe but seems that - according to many notes on houses - the residents do not feel very happy about the many and loud tourists.,124,seems
125,8,1277,There are family inside the house so keep your big mouth. The government seems to keep this traditional house in the city. I believe the owner of the house is quite rich now because the have nice car and the automatic door complete with cctv around their house. Unfotunately there were some renovations around so I need to choose another corner. There was one open house that you can stop by. There was not any furniture inside but they sell some little gifts.,125,seems
126,9,1279,"The houses are occupied, so the best you can do is just to have your picture taken in front of their doors. It seems there are workshops on some traditional stuff on the other side of the village, but for the residential area, it's just that -- lots of traditional houses. Make sure to stay quiet though so as not to disturb this residential area.",126,seems
127,10,1355,You can see alot of traditional house of korea in bukchon hanok village. The vibe is good. Remember to keep voices down as there are people living there. Wearing a hanbok to stroll around seems like a good activity.,127,seems
128,11,1500,"As a tourist looking for interesting places to visit, this area seems to be just old houses and narrow streets.",128,seems
129,12,1502,"The scenery is nice, and it's definitely quite hilly so be sure to put on some good shoes to prepare for the walk!  You can rent Hanboks from many places around (I didn't do it; but it seems to be a touristy thing to do so that you can catch nice photos)",129,seems
130,13,1525,"There is no bad time to come here. Day, evening, fall, spring, it has little treats around every corner and everyone seems to enjoy being there or discovering it.",130,seems
131,14,1684,"If you're a fan of treadmills and you've been doing the climb and these streets are all yours. The scenery is beautiful and the cultural heritage is surely there. This is not a museum nor a public place, these are people homes and they live inside there. There's a lot of warning not to be noisy and appreciate the neighborhood but seems like the local teens are the one that so noisy, all the tourists from abroad. At least when we were there, are all paying respect and keep their voices down. Many girls wearing gorgeous hanbok took pictures here and there's a delicious delicacies like octopus, taebokki. And i love the perfumery there too. A must visit for sure. on the top of the road there's like a temple, but walking there is a bit tough, do use walking shoes.",131,seems
132,15,1710,"You can get a sense of days gone by when you stroll around Bukchon Hanok Village - A Hanok is the name for a traditional Korean house and there are some 800 of them in and around Bukchon. You have to hunt for scenes where there are no electricity lines, tourists or other modern paraphernalia for your perfect photo. You do get a sense that many of the properties have be restored with modern materials and the area seems gentrified with trendy art and food outlets in and around the village to cater for the tourists.",132,seems
133,16,1975,"While a stroll through Bukchon Village may feel like a trip through the ages, the neighborhood is not frozen in time. Some of the hanoks are still private homes, but others have been converted into tea houses, coffee shops, cafés, art galleries, inns and museums.  Although it seems like its nothing much but I think I spent like 2 hours walking around the neighborhood. Just admiring the beautiful houses and the serenity it seems to bring being around there.",133,seems
134,17,2033,This is an old part of Korea with the buildings preserved so it looks very nice. Yet it seems to be a tiny street and there is very little things which are uniform. hence it seems part of the charm as it is not entirely fake. A lot of tea houses etc and somewhat manicured look. A lot of museums around the area as well.,134,seems
135,18,2207,"Actually, there are only some houses which still have Korean ancient architecture. However, it seems to me that there are so many tourists, which makes Bukchon quite crowded and I cannot feel the ancient atmosphere here. Some places require to pay money for entrance.",135,seems
136,19,2227,"Was not too impressed, as neighborhood seems overly refurbished. Was hoping to feel the air of the Josen dynasty architecture.",136,seems
137,20,2529,"We just visited the Bukchon Village last week (10/Dec) and we loved it. As we went on a weekday afternoon, the place was quite deserted and peaceful. Moreover it is chilly and nice weather for a stroll around the place taking plenty of photos.. haha.. We had a nice time moving around at a leisurely pace just getting the vibe and feel of the whole place. However in order to fully enjoy this place (in my opinion), you need to be relaxed and really like looking at the different structure of the Hanoks. We were on our own Free & Easy trip so we had no time restrictions... haha.. and go on a weekday, it seems alot of ppl will visit over the weekends... I feel sorry for the residents there over the weekends with all the crowd... Anyway be prepared to walk around and take photos...  Getting there is easy: take the Line 3 to Anguk station and exit @ Exit 2. Just go straight for about 300m and there is an information booth. Take a map and walking guide and just follow the ""suggested"" route.. haha..  Have fun...",137,seems
138,21,2584,"I'm really impress with this place. Walking along this road, seems I were in Korean drama.At Gahoe-dong Alley, You can see the traditional Korean houses along with modern buildings and N Seoul Tower as the background. he traditional Korean houses are still inhabited by residents. You can catch a glimpse of residents' day-to-day life. The contrast of modern life and traditional building is the best point of this place, burglar alarms at the wall of traditional houses and modern cars.  (People who live here must be great at driving because the alleys are so twisty. I think it is really amazing ! )  You can enjoy nice and antique cafes and galleries alone the ways also.  It takes a few hours to walk all areas but it's worth.",138,seems
139,22,2601,"I wonder if the old Seoul looked like this neighborhood. Anyway there are some nice spots inside but it is almost just a residential neighborhood, and it seems to be an expensive one.",139,seems
140,23,2710,"this old area of seoul is full of traditional style houses, that have been well preserved and maintained. it seems that any renovation or upgrade work is strictly controlled to maintain the look and feel of the area, which is great.  it is definitely worth spending some time walking through the narrow streets and soaking up the atmosphere.",140,seems
141,24,2760,"I want to call this area 'cute' but that seems patronizing, but I do think the old houses and buildings are quite cute. There are many new buildings in this area as well, as well as shopping and food.",141,seems
142,0,159,"Don't get me wrong the village is nice and some cool photos of the buildings etc, but its just some streets with traditional houses I didn't really get the hype and was a lil bit disappointed once we got there and walked around.",142,disappointed
143,1,251,We had a couple of hours and we went there Hanok village for a relaxing stroll. We were not disappointed! The old houses are super well maintained and the view of the city's skyline mixed with the old houses was breathtaking!,143,disappointed
144,2,300,"Bukchon was really the only thing I wanted to see in Korea. We went on a tour and I was quite disappointed, not by the village, but by the tour guide who rushed us through. It also started pissing it down raining. I managed to get some decent shots which I have to edit, but I could have used more time. The houses are all still inhabited and are worth upwards of a million dollars each. Although the facades are required to be preserved, the interior of the houses are all very modern and updated. There's signs asking tourists to keep their voices down, no loud pictures, music or talking. I guess some rude westerners had caused problems in the past. Anyway, bring comfy walking shoes as there are a lot of hills in the village. Bring a wide angle lens as well.",144,disappointed
145,3,362,It was like being transported back in time. Definitely a must just to observe and admire the architectural feats alone. Take the time to explore this cultural gem. You will not be disappointed!,145,disappointed
146,4,391,"Quaint area, love the details of the houses here, and I’m not disappointed with this tour. This time of year is the best time for me, weather is cool, needed to wear jacket. We had a great time, slow paced, totally relaxing tour.",146,disappointed
147,5,675,"spent about 1 to 2 hours there.  This is a residential area so do be quiet and not be a nuisance to the residents there (not all welcome the prying eyes of tourists into their personal homes)  Beautiful architecture. Would recommend hiring some traditional dresses for more authentic pictures but we were too hot and sweaty to get into those.  But besides just looking at the resident's houses, there isn't very much to do there. But still worth a visit.  PS : There is a self-proclaimed Michelin star Ginseng Chicken soup there near the entrance. It's a fake! We tried it and were disappointed. And my husband checked the Michelin guide and it's not there!",147,disappointed
148,6,1221,"spent about 1 to 2 hours there.  This is a residential area so do be quiet and not be a nuisance to the residents there (not all welcome the prying eyes of tourists into their personal homes)  Beautiful architecture. Would recommend hiring some traditional dresses for more authentic pictures but we were too hot and sweaty to get into those.  But besides just looking at the resident's houses, there isn't very much to do there. But still worth a visit.  PS : There is a self-proclaimed Michelin star Ginseng Chicken soup there near the entrance. It's a fake! We tried it and were disappointed. And my husband checked the Michelin guide and it's not there!",148,disappointed
149,7,1256,This place is so adviced by hides but I was actually a little disappointed by it. The place is residencial you walk around houses and go inside but it doesn't feel so traditional compared to other place in Korea.,149,disappointed
150,8,1332,"It was kind of disappointed when we finally arrived the village; but it was too late and too dark. We could not see too much. We started the day touring the old Sejong Village and the Tongin Traditional Market on the other side of the palace, had late lunch then, walk around top of the Palace to the other side. We tried several pathways shortcuts into the Bukchon Hanok Village area; but not successful. Finally we had to walk down further and cut back in. The better way to the village is from the south end, subway station near the Japanese Embassy.",150,disappointed
151,9,1528,"Bukchon Hanok Village take you back in time to olden Korean houses and structure. Very picturesque and quaint to walk along the area to see the houses, street lamps and roofs. What is incredible is that people actually live here. Make an effort to visit as you will not be disappointed.",151,disappointed
152,10,1721,"In a top 10 ""must see"" list, I know to visit Bukchon in the palace district. It was a pleasant surprise to be in a cultural preservation section in the middle of downtown Seoul. My only mistake was not to plan to eat there. There're many little restaurants along the alleys, which I vow I will go back next time I visit. Although not many people speak English, the vendors graciously point seemingly lost tourist like myself in the right direction.  Definitely bring a good camera, if you love taking photo. I wish I have mine, but I have to content with my camera phone. Enjoy the exhibit at the visiting center; and read the history of the village at the front. Seeing modern shops w/in the well-preserved traditional structures was simply incredible. The pride of the community is hard to miss. You won't be disappointed.",152,disappointed
153,11,1814,"This district is very nice if you know where you're going, or if you have time to explore. It's not huge, but you might be disappointed. There is a famous street there, though, so make sure you see that one at least. The street goes uphill/downhill depending on where you are. Sometimes there are so many tourists there, so it might get a bit annoying. Bukchon is a walking distance from Gyeongbokgung palace (did I spell that right?). Also, sometimes people offer to let you inside one of their old houses there and give you a tour for a price. In my opinion, Bukchon is a must-see in Seoul. Not overwhelmingly fun, but just beautiful.",153,disappointed
154,12,1933,"If you like taking picture, or you interested in Korean traditional houses, you won't disappointed. You can see a different ""Seoul"" from here, The village is quite big, you can walk up and down hill, to take a pictures. one thing I was not impress, is too many tourists, can not take a good photo with no people.",154,disappointed
155,13,2054,An uphill walk to get to the village. Kinda disappointed since there were no hanok rentals nearby but overall the place is a must see,155,disappointed
156,14,2180,Went there wanted to take nice photos but couldn't find the right spot as what i saw from YouTube and website. Quite disappointed. Might be good if there's sign board there directing us to the right photo-taking spot.,156,disappointed
157,15,2224,"Yes, there are still hanok houses here, but most of them have become souvenir shops. I was a bit disappointed. I felt that it had lost some of its authentic charm. But it's hard to find places that are truly authentic nowadays. So, it's still a nice place to visit, but don't expect to see anything other than restaurants and kitschy shops.",157,disappointed
158,16,2247,"We visited Bukchon Hanok Village while in Seoul. It was a highlight of our time there. We found that it was absolutely fascinating to walk through the narrow lanes and alleys of this neighborhood full of traditional Korean homes. Part of the appeal of this area is that this area is lived-in. It is NOT a museum, but a living, vibrant community. People take care of their homes and the streets and alleys are well-kept. Be ready to climb some steep stairs to get there, though. The 'village' is perched on hillsides and as you walk around, you get wonderful views of the village and the modern city off in the distance. If you're up for a strenuous walk and ready to climb flights of stairs to get into this village, you will not be disappointed with your effort. Come and see this memorable village for yourself.",158,disappointed
159,17,2299,"We were disappointed. It took us a good 20 minutes walk from the Gyeongbokgung Palace to get to the village. There were hardly any proper directional signs to lead us there and we had to ask along the way for pointers. When we arrived, instead of seeing hanok, we were greeted by a changing landscape of modern houses mixed with whatever is left of hanoks. What remained were converted to guests house.",159,disappointed
160,18,2554,we were soooooo disappointed in visiting this place. going up is a challenge then when you reach the village all we can say is.. is that it!!!??!!?? i thought i could see the traditional old houses. not worth it! better look for other place to visit,160,disappointed
161,19,2573,"Not really knowing what to expect, so ended up a little disappointed. It is interesting to see traditional houses mixed with modern buildings, though. Lots of coffee shops. İt's okay visit just to chill & unwind.",161,disappointed
162,20,2649,"I saw a lot of beautiful photos of Bukchon Traditional Homes so I expected a lot. But I was a bit disappointed as not did we walk way far from the metro station, but it was a steep climb up as well to reach the actual houses. They were awesome yes, but you can only take photos outside. Map was a bit confusing to us and there were no helpful signs along the way.",162,disappointed
163,21,2741,"We spent an hour here just wandering about and having lunch after we visited Gyeongbokgung. It was easy to get here and once you are on the main road you are immediately surrounded by lots of other tourists. The first tourist information booth we saw gave us a walking map which we followed. This was as good a way as any to see the area and get some scenic photo shots. Since we were there on a Sunday, most of the shops/houses that were not on the main road were closed. I was a bit disappointed by the whole thing since it didn't really feel like an 'old town' (in the European sense at least) but DH was very keen to get the photo and video shots so it was worth it for that. Overall, the area is overun by tourists all doing the same thing (heading for photo spots to snap away). If you like that kind of shopping it appeared to have lots of small boutique like shops around the main road which my teenage daughter found quite interesting. Otherwise, it lends itself to just walking around aimlessly taking in the atmosphere. Since it is located right between two palaces, it also makes for a good 'bridging attraction' between the two. Just don't underestimate (like we did) how long it can take to visit Gyeokbokgung. By the time we finished there, looked around Bukchon and had lunch we had missed the timing for the English tour at Changdeokgung.",163,disappointed
164,22,2763,"Entering Bukchon I was initially disappointed. It is a western influenced part of town owing to the wealth there. After passing umpteen coffee and waffle shops along a street with obvious European influence, we moved up the hill. There the residential quiet along with the gorgeous views of the city and the fall colors took over. The actual ""traditional houses"" are largely either renovated or reconstructed to look old, but they are charming, especially when you come across a lane of them together. When there isn't a tour group or a late model luxury sedan nearby, you can almost imagine what the area might have been like for a rich Seoulite a century ago.",164,disappointed
165,23,2764,"If you want some good light for photographs, definitely go for a look around dusk. I have some amazing pictures of Bukchon Hanok Village. This area is really the sort of place where you can wander around for a couple of hours and just get lost in the maze of streets. One thing I was disappointed with was the advertised Bukchon Hanok lookout... it was at the top of a persons' house on their balcony and was around 5000 Won. Not worth it! There is another panoramic view you can check out not far from there, it's just a little lower, that's all.",165,disappointed
166,0,14,I nice place to visit a short walk from Seoul Royal Palace Gyeongbokgung There isnt much but still quite worth seeing  To get to the main photogenic spot keep walking straight into the alley from the map marker where you go quite a bit up hill Theres also maps around the area that guide you though a route through multiple villages in the same area if you wish to see more  Theres a traditional dress both men and women rental shop down the road from the entrance to the alley which is quite a popular thing for tourists to do,166,much
167,1,17,Cool old part of the city We didnt have much time here and it was just really hot We also had a stroller with two kids and it was a lot of walking and hills The neighborhood is really cool though I would love to come back and take pics while wearing a hanbok,167,much
168,2,19,Love the traditional village so much Its free to visit Calm down and enjoy the quiet morning walk thru history,168,much
169,3,60,Frankly it is a beautiful and clean city and the people are in a state and love order very much I dont advise you to rent a car because the fun is walking in its streets that are prepared for walking and enjoying as well as a river that I forgot its name in the middle of Seoul very beautiful and the cable car over the Green Mountain Tower As for shopping frankly I didnt like anything because The markets they have are the same We have their branches such as Zara HM and others Otherwise the prices are not as high as us As for body and skin care there are cheap prices I recommend shopping in the popular market close to the western gate of Seoul and the negatives of eating with them are not appropriate even in international brands as well God helps you At the Saffron Restaurant in the Loto Hotel as well as the Arab Street in a Jordanian restaurant called Arabist the time difference from Saudi Arabia is 6 hours the currency for them is the Saudi riyal won is equivalent to 315 won,169,much
170,4,82,In the end a little disappointing compared to what I expected We dont see much because the houses are behind fairly high walls The streets are crowded with tourists taking selfies Moreover even the inhabitants are fed up see the posters asking tourists not to make noise not to enter the gardens  The houses are certainly very beautiful but in the end only 2 3 streets are interesting and allow you to admire the roofs and the walls,170,much
171,5,86,This village is super chill and extremely photogenic but please remember to refrain from making too much noises as they are all houses with real humans staying inside,171,much
172,6,109,This village is super chill and extremely photogenic but please remember to refrain from making too much noises as they are all houses with real humans staying inside Residents probably not paid by the tourism board of South Korea but some of them put on their thinking caps Paid for an observation deck with free water in it seems like a residents rooftop haha Whats funny is later on as we explore we found a better view with no charges,172,much
173,7,111,A little disappointing not much to see,173,much
174,8,152,The houses are very nice. Nice place to take a stroll although a bit tiring. It would be nice to go there wearing Hanbok if you love taking pictures. Try not to make much noise because there are people residing in the area.,174,much
175,9,155,"A stone throw away from Changdeokgung Palace. Thus if one is nearby the vincinity, then perhaps might as well pop by for a look. Nothing much though except for some traditional looking houses and if short on time, its perfectly fine to give it a miss. Do keep the volume down as there are residents there.",175,much
176,10,158,"It's a small neighborhood with traditional Korean houses. A good place to take pictures if you're wearing the hanbok. If you do not have much time to spare in Seoul, I would suggest you head somewhere else.",176,much
177,11,160,"What a Lovely Neighborhood indeed. Very calmed place filled with little streets in between and tiny dead end streets. It can get annoying for a bit trying to go on each and everyone of these tinny streets, but soon enough you'll find out, that is not about getting somewhere, but the beauty that you can photograph at the end of each of these streets. Then you turn around and go on your way to the next. Kinda like this is a journey and not a destination; if I want to get all philosophical and stuff.  Therefore after you are done with the cute pictures, remain in the main street of this village and then start to build your way up. You'll find on your left and right side a multitude of nice little shops; we specially loved a tinny flower shop / coffee shop. Very subtle and calm inside, nice jazz music as a background and although South Koreans have the worst coffee to drink in the world; the small pastries kinda make up for this.  All in all and without too much mystery, it is worth to go and check one by one these little stores, where you will find also a very nice lady who makes and designs her own clothing (very luxurious and not cheap) but very much worth. Also there is a fine lady who designs her own silver jewelry, very well made and with a nice weight and surprisingly very affordable.  Please look at our pictures and find out what we are talking about. Beautiful street indeed and we had a lovely time. This is the kind of streets you need to look for in Seoul. The crowded Millennial streets will drive you nuts with cheap nasty food and cheap Chinese stuff that has no material and spiritual value whatsoever.",177,much
178,12,174,Visited this place on a cold Saturday. Went up to the youth cultural corps and they provided high school students to help guide you along the place. The two student guides were super informative and helped provided so much info and thus such meaning to the place. Overall it was intriguing to get a sneak preview of the lifes of these Korean officials. Especially like how they dried persimmon and make alcohol.,178,much
179,13,176,"The village is in the residential area, you have to be respectful and not make too much noise. You can walk around the village and see how beautiful the houses were built.",179,much
180,14,181,"Nice walk and interesting as well but as much to see as I thought, in part because it is so popular making it difficult at times.  Do stop at the Onion Cafe just before the start - great little place.",180,much
181,15,194,"Very awesome exprience walked through the narrow road of Bukchon Village,very cold but had good time .should visit this little village again in future Like so much the environment.",181,much
182,16,212,This traditional Korean village is beautiful but is somewhat destroyed by inconsiderate tourists who talk loudly and make too much noise in a residential area. Pity.,182,much
183,17,234,"If you don't intend to do anything except shop in Seoul you might find the area interesting. It mainly consists of narrow lane ways edged with new and some older style houses, it is somewhat lacking in authenticity. You will mainly see roofs but the occasional house is visible. Many houses are now coffee shops or boutiques. When travelling around Seoul, if you keep your eyes open you will see much more genuine examples of older style Korean houses. This is the most disappointing Korean attraction I have come across. Perhaps it is worth a look if you are visiting Gyeongbokgung Palace as it is close by. See it first because after the palace it would be rubbish. South Korea has some amazing sights, but this isn't one of them.",183,much
184,18,241,Even though the place is bit hilly but i am like it very much and love this place..There is a shop to rental hanbook as well,184,much
185,19,265,"Its a long alley filled with Korean traditional houses. It just gets crowded with tourists. As i know, there are still people living in them so visitors are discouraged to make too much noise. I didnt go walk further because there were too many people.",185,much
186,20,272,"This is a MUST! to visit, this place is definitely one of the most important historic places in Seoul, you can find lots of souvenirs and also rent a traditional Hanboks dresses and much more.",186,much
187,21,289,You should keep silent when you go here and the contour is going up so keep your energy. I love Jeonju Village much better but this is also a nice place.,187,much
188,22,339,"I heard so much about this place I had to go. The issue for me is I was expecting a self contained village of original traditional style. The buildings are styled in the traditional sense but they are mixed between modern apartments and houses. There is really only one street with the same style of housing and the sight of air conditioners, wiring and hot water services detracts from the traditional aspect. There are attendants at each end of the street holding signs asking people not to make noise as this disturbs the residents. There are a few souvenirs shops and some very modern cafes in the village. Pleasant to look at overall but nothing like the promotion given to the area.",188,much
189,23,340,"Bukchon village is actually a private housing estates prized with traditional Hanok houses. Hence, there will be volunteers to ask you to not to make too much noises to avoid disturbing the residences.  It is located near the gyeongbukhung and changdeokgung palace grounds and within walking distance from Anguk station.  It is just an area with lots of traditional houses where you can rent Hanboks and walk around the area for photo taking. It is a very tiring climb and not recommended for older folks with knee issues. But the hike up is worth is for the magnificent view. We did not pay for the observatory as the view up on the hill was good enough.  Worth a visit but only if you are in the area.",189,much
190,24,346,Nothing much to see except some old houses and nice ice cream. Go if you have extra time. I won't go again.,190,much
191,25,355,"This is people's housing area/resident. At same time they do business such as rent Hanbok, tea/coffee shop, souvenirs.. You can spend sometime here and need to walk up to high slope across all the street. The scenery here is beautiful. You can take few pics on how this unique street looks so traditional and beautiful. I guess for me, its a bit too hype on this place but for me i would give just a average review. Actually nothing much u can do here.. Surrounded by buildings.",191,much
192,26,367,"If you are interested in architecture and how the Korean houses are constructed, this is one place that you have to visit to enjoy it. The houses are simply beautifully crafted and the place is peaceful. Getting there by foot after morning of much sightseeing nearby sights can be quite tiring as there are quite a number of slopes to walk through.",192,much
193,27,374,This was part of a tour and it's lots of traditional houses in a specific part of Seoul. The houses are not open to the public and before you go you are asked not to make too much noise as its residential. There are people there with signs saying don't make too much noise. You really don't see the houses inside it's just the exterior and they are 100 years old it was interesting but I don't think I would make it my business to take time out to go there to see it specifically. It would be nice if one hone was on view.,193,much
194,28,392,We explored an alley which is famously known for traditional korean house/street. It is located at Bukchon-ro 11-gil street. It has view of namsan tower. We went there around 8pm (weekdays) which less crowd and manage to snap some photos. Just to remember not to make so much noise as the resident might be sleeping. #instagrammableplaceinseoul,194,much
195,29,398,"Bukchon Hanok Village is pretty much close to Gyeongbokgung Palace. After visiting the palace, you can walk yourself to this heritage village with ease.  PROS:  -Paved road going to the village. If you’re bringing kids in strollers, it will be easier. -Since this is located in a residential area, even if there’s a lot of visitors, you will feel the quietness of the area. -Tourism staff are everywhere in case you lose your way. You’ll also see them bringing placards reminding everyone to be quiet. -You will also see a lot of souvenir shops in the area. Some food stalls too in case you need something to munch in.  CONS:  -There’s nothing much to do other than take photos with the old houses as your background -Tourists flock to the area on a daily basis so be prepared to get your way to get good photos -If you’re bringing a car, there’s not much parking space available as the alleys are really narrow. Street parking is not a good idea. -Get yourself ready for a lot of walking.  Will I go back to Bukchon again? Probably not but it’s always good to see these types of heritage at least once.",195,much
196,30,401,The village is not so great. Only a small part is beautiful and good for taking photos. Other than that nothing much. I think Jeonju will be much better.,196,much
197,31,403,"Is about 10 mins slow walk from Anguk Station Exit no. 2. Is a residential place. Therefore do keep your voices low so. as not to disturb the locals. Not suitable for elderly as there is quite a fair bit of uphill climb. We went in early afternoon and there was not much crowd. There were little shops, cafes along the way. Is a serene walk.",197,much
198,32,413,It was our first afternoon in Seoul and we wandered around here for a few hours in the spring sunshine. Although it is allegedly closed on Sundays it certainly wasn’t. Many a Korean here dressed in hanbok’s added to the scenes. It may not be suitable for those with walking difficulties as much of it is up and down hills.,198,much
199,33,427,"Beautiful place with a view! preserved in very good style! very much watched by tourists because for every building there is a sign ""do not enter"" the fact that people live there makes people find it more interesting!",199,much
200,34,444,"We took the subway to Anguk station to Bukchon Hanok Village after visiting the Gyeongbokgung Palace and enjoyed an uphill stroll into the traditional village. All the homes are built as low rises with unique roofing characteristic of architecture from 600 years ago.  Unless waiting for a unique photo opportunity of the horizon during sunrise or sunset, I would not spend too much time here as there isn't that much to see.",200,much
201,35,454,"Very much enjoyed walking around. Very pretty, so many unusual doorways, locks etc to photograph, so I took lots of photographs, many enhanced by young people in traditional dress. Not to be missed.  I felt sorry for the residents, as despite notices everywhere asking people to be quiet, not many people took any notice. With three days notice, you can get a free guided tour from a volunteer from Seoul city government.  Can reach by Metro line 3 to Anguk, exit three",201,much
202,36,468,"Not as exciting as I hoped it would be, but it was December and the middle of Winter, which also made it unpleasant.  The architecture and village layout is fascinating, but unless we missed the right spots and location, there was not much to see.  Please research before you go.",202,much
203,37,477,Reachable via metro orange line and off at Anguk station and about 10-15 minutes walk north and you won’t miss the place. It’s crowded and hard to take a good photo but if you’re lucky it’s a nice nostalgic place especially if you’re wearing their traditional hanbok dress! Be Very careful when you rent the dress since every additional ornament is chargeable. People are warned not to make to much noise since the place is actually residential but most tourists can’t resist making loud voices! It is advisable to come here during week days to avoid over crowding.,203,much
204,38,478,"The place is too crowded and you cannot make too much noises, because its a village of private houses!  It is very easily reached from Insadong trip, walking about 10 -15minutes from there. The village is not big, but walking uphill of the village was worth it as you get to see some beautiful scenery too.  Overall, you guys should visit Jeonju Hanok Village instead.",204,much
205,39,487,"Great place to spend a few hours strolling. Do try to get away from the crowds a bit as the scenery becomes much more enjoyable. Also, while not all visitors will be, it is best to be as courteous and quiet as you can as this is a neighborhood and not Time Square.",205,much
206,40,544,"There is not much to see here, but it's a great walk around this area. After you see the palace which is closeby, you can then visit this attraction.",206,much
207,41,549,"We have spend too much walking on the first 2 day hence not really enjoy the view here. The scenic is nice if taking picture with Hanbok. Else it just a tourist place with some many selfie stick on your photo session. But, a short walk after lunch is nice.",207,much
208,42,563,Nothing much to explore here imo as everywhere sells basically the same things. All you could do there is to take pictures and enjoy the building styles?,208,much
209,43,631,"Amazing how did the village still kept it’s old look and modernized at the same time ... I would really advice people to visit the village however, it would be very much appreciative to be quite as the people are negatively affected by tourist and kept silence is something really good, the architecture of the place is well maintained I loved the place  Manal Oman",209,much
210,44,634,"Even tho locals don't like you visiting as they feel it's invading their privacy, it is a beautiful street with lovely traditional houses worth seeing. Just be mindful that people live there and dont make too much noise.",210,much
211,45,648,"Hanbok rental can be a bit more pricey than at the Palace around 10,000krw for 1 hour, however, It’s better for pictures here and you wont have to do much photoshop to cut out strangers from your photo :D go there around 9am, no one and no tour is there yet! Btw, keep the noise at the lowest level please, I did feel really bad for those people who lived there since there were a lot of tourists around after 11am.",211,much
212,46,651,"What's not to like? It is interesting, free, sandwiched between other sites you are likely to visit and a good place for a nice stroll. It is much more pleasant and less crowded than the more frantic, packed Namdaenum market.",212,much
