,번역
72,"이 곳을 방문하기 전에 잘 쉬고 편안한 신발을 신고 음료수와 간식을 준비해야합니다. 왜냐하면이 곳을 보려면 하루 종일 걸릴 것입니다. 서울대공원은 3개의 공원이 하나로 되어 있습니다. 동물원, 서울랜드 테마파크, 과학관이 있습니다. 그래서 모든 연령대가 포함됩니다! 모두를 위한 무언가가 있습니다! 다른 입장료, 동물원의 경우 물어보면 약 3,000원 ??할인입니다. 볼 것이 너무 많으며 큰 동물원이기 때문에 걸을 준비가되었습니다. 싱가포르보다 더 크다. 디자인은 울타리가 없는 개방형 동물원이지만 겨울이었기 때문에 일부 동물은 인클로저에 있었습니다. 산책로가 있기 때문에 어떤 동물을보고 싶은지 계획해야합니다 (바닥에 색칠 된 색상 조정). 서울랜드 테마파크는 그냥 구경만 했어요. 내가 서 있던 곳에서 좋아 보인다. 그것은 또한 성인과 어린이 모두를위한 놀이기구로 큽니다. 그랜드 파크 건너편에는 과학 박물관인 새 건물이 있습니다. 오후 5시경에 문을 닫으므로 이 곳을 보고 싶다면 다른 곳보다 우선순위를 두십시오. 2. 아이들을 위한 멋진 박물관입니다."
73,우리는 슬로프 걷기를 절약하기 위해 동물원 상단으로 체어 리프트를 가져갔습니다. 체어 리프트에서 내린 후 유리 인클로저 덕분에 대부분의 동물을 가까이에서 볼 수 있습니다. 대부분의 동물은 상당히 활동적이며 구멍에서 잠자는 것이 아닙니다. 화장실은 동물원 전체에 풍부하고 깨끗하게 유지됩니다. 성수기가 아니기 때문에 스낵 식품을 판매하는 키오스크가 가깝고 아직 실내 식당이 있기 때문에 괜찮습니다. 나는 동물을 안전하게 가까이에서 볼 수있는 기회를 위해이 동물원을 적극 추천합니다.
74,"지하철 역 바로 밖, 명동에서 지하철로 약 30분. 동물원과 놀이동산, 장미정원이 있습니다. 섹션별로 요금이 별도로 부과되므로 원하는 곳을 선택하기만 하면 됩니다. 공원 자체는 무료이며 공원 내 교통비만 지불하면 됩니다. 공원 주위를 순환하는 코끼리 기차는 다양한 섹션과 3개의 다른 ""스카이 라인""에서 정차합니다. 단풍이 물든 연못과 강이 있어 경치가 아주 좋고, 많은 한국인들이 소풍을 하고 가족단위로 놀이동산과 동물원을 찾는다."
75,"서울 도심 속 자연을 볼 수 있는 좋은 곳입니다. 동물원에서만 돌아다녀도 하루가 걸렸다. 우리가 공원에 도착했을 때 코끼리 모양 버스, 케이블카 및 입장료를 탈 수 있는 표를 사십시오. 그곳에서 다양한 종류의 사랑스러운 동물들을 볼 수 있습니다. 유일한 것은 음식의 맛이 레스토랑에서 맛있지 않고 맛에 비해 비싸다는 것입니다. 튀긴 감자와 바베큐의 길거리 음식은 괜찮습니다. 2,500원에 한 잔의 맥주도 즐길 수 있습니다. 동물원에서 하루를 보낸 후 우리는 걷는 것이 너무 지쳤습니다. 여하튼 특히 동물을 사랑한다면 정말 좋은 곳입니다."
76,"1. 매우 접근하기 쉽고 지하철과 직접 연결되며 짧은 코끼리 또는 스카이 라인 여행으로 들어갑니다. 1 세와 함께 우리는 기차를 선호했습니다. 그러나 스카이 라인은 길 아래에 그물이있어 매우 안전하므로 스카이 라인을 통해 돌아 왔습니다. 2개의 탈의실이 있는 약 30분입니다. 산 주변은 볼 가치가 있습니다. 그것이 당신의 관심이라면 사랑스러운 관광. 2. 매우 깔끔하고 조직적입니다. 주황색, 노란색, 파란색, 갈색 라인을 따라 사슴 공원, 새, 아프리카 사파리와 같은 특정 투어를 해보세요. 돌고래 루트 등 우리는 돌고래와 새를했습니다. 새 하나는 대부분 내 아기를 편안하게 유지하는 냉각 장치가 있는 건물 안에 있기 때문입니다. 돌고래 쇼와 물개 쇼는 10 분 정도였습니다. 추가 지불 없음. 3. 음식 판매점, 화장실, 수유실은 매우 저렴하게 사용할 수 있습니다. 그냥 피크닉 매트를 들고 거기에서 음식을 구입하십시오. 그들은 버거 킹, 카페 티아모, c4u, 한국 음식 레스토랑 및 길거리 음식을 저렴하게 가지고 있습니다. 4. 유모차를 고용하는 것은 좋은 생각입니다. 유모차는 충분한 공간과 그늘이 있어 매우 편안합니다. 부피가 큰 것을 가지고 다니지 마십시오. 하루종일 2000원. 5. 삼림욕은 트레킹과 시간이 필요하다. 우리는 다음 방문을 위해 그것을 건너 뛰었습니다. 6. 확실히 한 번 방문으로는 충분하지 않습니다. 너무 많이 걷고, 너무 많이 볼 수 있습니다. 자녀가 동물원을 좋아하거나 조류 관찰자라면 매우 가치가 있습니다. 7. 성인 2명과 아기 1명이 1일 여행을 4만원 미만으로 커버했습니다. 이것은 모든 것을 더 멋지게 만듭니다. 나는 두 번째 방문을 확신합니다. 그리고, 오. ...세계 5대 동물원에 랭크되었습니다 ??"
77,그냥 동물원입니다. 기차를 탈 수 있어요? 그리고 봄이나 가을을 바라보면 너무 노멀이지만 겨울과 여름은 침대
78,이것은 아마도 우리가 서울에 있는 동안 방문한 모든 관광지 중에서 가장 마음에 들지 않는 곳이었을 것입니다. 그러나 나는 그것이 9일의 방문의 마지막 날인 것에 의해 아마 약간 흐려진다는 것을 인정할 것이다. 그리고 우리는 지쳤다. 우리는 지하철로 도착했고 동물원 입구까지 걸어가는 것이 우리의 팁이었을 것입니다. 일종의 긴 산책로. 양쪽의 노점상들이 긍정적인 부분이었습니다. 우리는 그들의 상품을 보고 동쪽으로 향하는 것을 즐겼습니다. 거기에서 거대한 입구 지역을 가로질러 동물원 입구까지 스키 리프트를 위한 loooong 라인까지 걸어갑니다. 스키 리프트를 타고 산의 측면까지 올라가 동물원을 통해 산을 내려가는 것이 좋습니다. 이것은 매우 현명한 제안입니다. 그러나 1/2 정도 올라가는 리프트가 하나 있으며 나머지는 다른 리프트로 전환해야 합니다. 두 번째 리프트에는 다시 거대하고 느린 줄이 있었기 때문에 우리는 그곳에서 시작하여 동물원을 방문하기로 결정했습니다. 동물원 자체는 매우 실망스러웠습니다. 그것은 아시아에서 가장 큰 동물원 중 하나로 청구되며 다른 동물원을 방문하지 않았기 때문일 수 있습니다. 그러나 이것은 좋은 동물원이 아닙니다. 동물의 종류가 많지 않고 그들의 인클로저가 매우 오래되었습니다. 전체 장소가 나에게 일종의 실행처럼 느껴졌습니다. 우리는 미국의 많은 동물원을 방문했습니다. 그리고 각 동물원은 항상 적어도 하나의 특별하거나 독특한 전시품을 가지고 있는 것 같습니다. 여기가 아닙니다. 모든 한국 가족들과 하루 종일 어울리고 밖에 있는 방법으로 방문하는 것은 재미있었지만 모든 산책의 가치가 있는 것은 아닙니다.
79,"최근에 나는 야생 동물 사진에 초점을 맞춘 사진 워크샵을 진행했습니다. 동물을 스토킹하고 사진을 찍으려고 하는 대신, 우리는 서울 동물원으로 향하여 피험자를 찾을 확률을 높였습니다. 네, 동물원 - 사진을 찍기에는 좀 애매한 곳이라고 생각했던 곳입니다. 글쎄, 나는 많은 면에서 틀렸다. 첫째, 서울 동물원은 더 이상 칙칙한 동물 전시물이 있는 3급 공원이 아니며 동물에 대한 최적의 보살핌도 받지 못합니다. 장소는 단순히 놀랍습니다. 좋은 봄날에 있다는 것은 거대하고 깨끗하고 아름답고 진정한 기쁨입니다. 전시회에는 크레인, 황새 및 기타 물새의 거대한 인클로저를 포함하여 많은 워크 인이 포함되어있어 일반 대중이 난간 이외의 장벽없이 넘어 가고, 수영하고, 날아 다니는 새를 볼 수 있습니다. 새들이 말 그대로 당신 주위에서 펄럭이는 열대 새들을 위한 다른 워크인이 있습니다. 그리고 호랑이 전시회는 정말 예외적입니다. 하지만 당연히 대형 전시회는 아닙니다! 둘째, 사진을 찍기 좋은 곳입니다. 때로는 배럴에서 물고기를 쏘는 것만큼 쉽습니다. 그러나 비행 중 크레인을 잡으려고 하는 것과 같은 다른 경우에는 현장에서 고품질 야생 동물 사진을 찍는 데 무엇이 필요한지 알 수 있습니다. 또한 유비쿼터스 셀카봉을 들고 구애를 하는 젊은 커플도 많이 있었습니다. 당연히 그 장소에는 공정한 몫보다 더 많은 아이들이 있었지만 장소가 정말 넓기 때문에 더 작은 공원에 쉽게있을 수 있었기 때문에 발이 떨어지지 않았습니다. 동물원에서 그렇게 즐거운 시간을 보낸 지 수십 년이 되었습니다. 마지막은 샌디에고 동물원이었습니다. 서울 동물원은 (아직) 샌디에고 동물원과 같은 수준은 아니지만 그 수준에 가까워지고 있습니다. 입장료 3,000원에 서울 동물원은 한국의 숨은 보석 중 하나여야 합니다. 서울대공원 서울동물원은 경기도 서울 남단에 위치하고 있습니다. 서울 동물원은 지하철역에서 도보(또는 트램)로 1.5km 떨어져 있습니다. 지하철 2번 출구에서 약 0.5km 떨어진 곳에 1km 엘리베이터가 있습니다. 관람시간 : 오전 09:00 ~ 오후 19:00 (계절에 따라 일부 전시관은 오후 5시 마감) 입장료 : 대인(19세 이상) : 3,000원 ??청소년(13~18세) : 2,000원 ??소인(6세~ 12): 1,000원. 6세 미만은 무료입니다. 식물원과 돌고래 쇼는 추가 비용이 듭니다. 서울 동물원 가는 방법: 4호선 서울대공원역 하차 후 2번 출구로 나오세요. 지도를 따라가세요: http://www.exploringkorea.com/seoul-zoo-seoul-grand-park/에서 지도 보기"
80,"나는 과천에 위치한 서울 대공원을 방문했고 전반적으로 긍정적인 경험이었습니다. 나는 동물원 섹션 만 방문하고 놀이 공원 인 서울 랜드는 방문하지 않았습니다. 내 친구들은 서울랜드가 롯데월드나 에버랜드에 비하면 별로 가치가 없다고 하더군요. 동물원에는 모든 종류와 종, 모든 대륙의 많은 동물이 있습니다. 파충류, 큰 포유류, 물개, 코끼리, 사자 등 생각할 수 있는 모든 것이 있습니다. 이 공원은 또한 산 사이에 완벽하게 위치하고 있으며 멋진 전망을 제공합니다. 또한 식사 및 스낵 옵션이 상당히 다양합니다. 공원에 대한 나의 더 큰 불만은 약간 무너진 느낌이 든다는 것입니다. 인클로저는 상당히 오래되었고 일부 동물은 약간 건강에 해로운 것처럼 보였습니다. 또한 일종의 테마(사파리, 다양한 clades 또는 cintinents를 위한 테마), 동물 또는 직원과의 더 큰 상호 작용을 허용하는 특별 이벤트, 어린이 전용 세션이 없습니다."
81,도시에서 벗어나 하루를 보내기에 좋은 곳입니다. 우리는 아침 일찍 가서 학교 그룹이 도착하기 전에 처음 한 시간 동안 동물원을 거의 혼자 가졌습니다. 그들이 문제가 아니라 오히려 그 반대였습니다. 그들이 다른 동물에 대해 배울 때 얼마나 잘 행동하고 세심한지 보는 것이 좋았습니다. 하늘길은 재미있었고 우리에게 산책을 구해줬고 동물원과 공원의 식물과 꽃은 모두 아름다웠습니다.
82,시부모님은 저와 아내를 서울대공원으로 데려갔습니다. 우리는 동물원에만 갔지만 그만한 가치가있었습니다. 선선한 기온에도 불구하고 곳곳에 봄꽃이 활짝 피었습니다. 시어머니가 돌아다니려면 휠체어가 필요해서 공원에서 휠체어를 빌렸습니다. 유일한 문제는 가파른 언덕이었지만 우리 모두는 그녀를 밀어냈습니다. 비용은 최소한이었다. 적은 인파로 인해 입구 근처에 주차할 수 있었습니다. 코끼리 기차도 1인당 1달러 정도가 좋았습니다. 많은 커피와 음식 장소가 어디에나 있었습니다. 그들은 돌고래 쇼를 취소했습니다. 그러나 다른 모든 전시회는 가능했습니다. 공원은 자동차와 지하철로 접근할 수 있습니다. 그래서 그것을 하려는 사람들을 위한 놀이기구의 카니발도 있습니다. 발표는 한국어와 영어였다. 가고 싶은 오후가 있다면 꼭 가보세요. 그들은 또한 당신을 돕기 위해 다양한 언어로 된 가이드 북을 가지고 있습니다.
83,나는 그것을 사랑한다! 우리는 동물원에 가서 스카이 리프트를 타고 동물들을 관찰했습니다. 식물원 너무 좋아요. 동물원 자체가 정말 예쁘다.
84,"서울 남쪽에 있는 아름다운 녹색 공원입니다. 대부분의 사람들이 동물원이나 테마파크를 방문하기 위해 이곳을 찾는 반면, 공원 자체는 1~2시간 동안 평화로운 산책을 즐길 수 있습니다. 공원은 인근 지하철(4호선 서울대공원역)으로 쉽게 접근할 수 있지만 공원이 거대하기 때문에 약간의 거리를 걸어야 합니다."
85,"아마도 나는 최근에 미국의 몇몇 동물학 시설을 방문했고 오하이오주 콜럼버스 출신으로 저명한 동물 전문가인 Jack Hannah가 수년 동안 동물원 디렉터였으며 명예 디렉터로 남아 있다는 사실에 실망했을 것입니다. 서울대공원 동물원이 가장 마음에 들었던 점은 바로 접근성입니다. 그것은 찾기가 매우 쉽고 접근하기가 매우 쉽습니다. 그것은 수도권 서울의 일부인 과천과 같은 한국 도시에 대해 많은 것을 말해줍니다. 서울대공원의 부지는 넓다. 그냥 가서 하이킹을 하기 좋은 곳이고, 그렇게 하기 위해 그곳에 가는 많은 현지인들을 볼 수 있습니다. 보도는 셔틀 버스 및 서비스 차량의 진입로로 두 배이므로 매우 넓습니다. 공원은 당신이 앉아서 휴식을 취할 수 있는 아름다운 거대한 활엽수와 푸른 잔디의 작은 섬으로 가득합니다. 많은 사람들이 한국식 목재 데크를 가지고 있으며 지역의 맛이 나는 미적인 덮개를 하고 있으며 아프리카를 테마로 한 지붕이 덮인 정자가 있어 단체로 쉴 수 있는 곳도 있습니다. 서울대공원은 동물원이 아니라 다양한 부분이 있습니다. 주차장에서 당신은 일반 공원 입구로 이어지는 나무가 늘어선 넓은 산책로를 찾을 수 있습니다. 공원 전체에 적절한 서양식 화장실 시설이 있습니다. 공원으로 리프트를 타거나 여러 승객 플랫폼을 견인하는 견인 차량인 ""코끼리 기차""를 타는 옵션이 있습니다. 그래도 자녀를 잡으십시오. 운전자에게는 정지 및 탈출 속도의 두 가지 속도만 있습니다. 코끼리열차는 1회 이용시 약 600원이며 동물원 입구와 다른 공원까지만 이동합니다. 총 3~4곳 정도 있었던 것 같아요. 동물원 입구에서 1회 입장료는 성인 3,000원입니다. 그들은 당신에게 전체 파티에 대해 한 장의 티켓 만 줄 것이며 티켓에 인원 수가 표시되므로 동물원 입구를 통과하기 전에 헤어지지 마십시오. 일단 동물원에 들어가면 기반 시설의 명백한 마모에 정말 실망했습니다. 어디를 가나 시설은 페인트 칠과 녹 처리를 요구했습니다. 우리는 다양한 ""무리"" 동물을 많이 만났고 그들은 광대한 야외 인클로저에 있었습니다. 제 생각에 동물들에게는 좋은 일이지만, 대부분 너무 멀리 떨어져 있어 실제로 관찰할 수 없었습니다. 다행히 공원에는 동물의 주조된 복제품이 가득합니다. 그것은 내가 추측하는 아이들에게 많은 사진 기회를 제공합니다. 우리가 정말 보고 싶었던 것 중 하나는 서울대공원 동물원 영어 웹페이지에 광고된 돌고래 쇼였습니다. 마침내 해양관을 찾았을 때 매표소에는 셔터가 내려져 있었습니다. 돌고래 쇼의 공연 일정이나 입장료를 알려주는 표지판이 없었고 주변에 물어볼 사람도 없었습니다. 해양관 주변에 여러 해양 서식지가 건설되었지만 잘 보존되지 않았습니다. 물은 짙은 녹색 색조로 더러워졌고 서식지의 벽은 몇 년 동안 다시 칠하지 않았으며 페인트가 몇 년 동안 방치되어 닳았거나 표면이 부서진 곳이 많았습니다. 해양 포유류가 열악한 환경 때문에 수년에 걸쳐 죽었다고 해도 나는 놀라지 않을 것입니다. 결국 서식지마다 바다사자의 종류가 한 두 마리밖에 없었고 너무 건강해 보이지 않았습니다. 그들은 거의 물 밖으로 나오지 않았고 너무 더러워서 그들을 보는 것이 거의 불가능했습니다. 나중에 안내원에게 돌고래 쇼에 대해 물었고 그녀는 영어 웹 페이지에 광고가 있음에도 불구하고 돌고래 쇼를 2년 넘게 한 번도 본 적이 없다고 말했습니다. 해양 전시관 외부의 모습에서 나는 그들이 동물이 죽어감에 따라 마모로 해양 전시물을 제거하기를 희망하고 있다고 확신합니다. 확인 할 수는 없지만 일반적으로 해양 전시관 및 주변 해양 서식지의 유지 관리 부족, 공연 부족, 서식지에서 쓰레기를 청소하거나 물을 바꾸는 것만으로 동물을 돌보지 않는 것은 매우 의심됩니다. . 산양전시장에 높은 점수를 주겠다. 그들은 정말 높은 바위 절벽 산을 제조했으며 거의 ??모든 사용 가능한 선반과 고원에 거대한 염소 떼가 펼쳐져 있었고 좁은 바위 길에서 서로를 지나치며 적극적으로 오르락 내리락했습니다. 자연스러운. 그들이 얼마나 확실한지 보는 것은 굉장했고 나는이 전시회가 실제로 동물의 본질을 포착했다고 느꼈습니다. 기린 서식지도 잘 만들어졌습니다. 내가 거기에 있었을 때 야외에 세 곳이 있었고 그들은 2층 플랫폼을 가지고 있어서 그들이 그렇게 가까이 오면 눈을 마주할 수 있습니다. 미어캣도 정말 재미있게 봤습니다. 전시장에는 3개밖에 없었지만 조금 작아 보였다. 흥미로운 점은 펜이 상대적으로 작았고 짧은 플렉시 유리 벽으로 고객과 분리되어 있었다는 것입니다. 감독되지 않은 아이들이 쓰레기를 먹이는 것은 쉬울 것입니다. 나는 내가 거기에 있는 동안 한 아이가 무언가를 먹고 있다는 것을 알아차렸고 작은 미어캣 중 하나가 그의 옆으로 급히 달려가서 먹을 수 있는 것이 오는지 확인하기 위해 플렉시글라스 안에 서서 기다리고 있었습니다. 하지만 이 작은 녀석들을 가까이서 볼 수 있어서 즐거웠습니다. 그들은 사랑 스럽다! 동물원에 입장할 때 받는 브로셔에는 공원 주변을 운행하는 셔틀 버스가 있어 장소 사이 또는 출구로 이동할 수 있다고 나와 있지만, 우리는 브로셔에 정류장으로 표시된 모든 장소에 있었고 버스를 본 적이 없습니다. 운영. 내가 떠날 때 안내원에게 물었을 때 그녀는 버스가 하루 일찍 운행되고 있다고 말했지만 우리는 약 4 시간 동안 거기에 있었고 버스를 한 번도 본 적이 없다고 말했습니다. 동물원과 주변 언덕을 가로지르는 언덕을 하이킹하면서 좋은 운동을 하고 거대한 활엽수에서 목욕을 하고 싶다면 이곳이 제격입니다. 결국 입장료는 3000원. 아마도 그것은 내가 미국에서 방문한 동물원의 청결함과 더 나은 관리의 차이일 것입니다. 모든 동물원은 입장료가 훨씬 더 높습니다. 미국 동물원에서도 물 한 병에 3달러 이상을 지불해야 하지만 여기 서울 그랜드 파크의 생수는 1,000원에 불과하며 공원 전체에 무료 분수, 음식, 기념품/장난감 가게가 있습니다. 동물원에 입장하면 유모차 대여가 가능하고 코인 로커도 있는데 500원 정도 했던 것 같아요."
86,"나는 여기에서 몇 가지 다른 리뷰를 읽었으며 일반적으로 같은 감정을 공유합니다. 동물원 자체는 놀랍습니다. 전 세계에서 수많은 동물을 볼 수 있습니다. 장미 정원도 훌륭합니다. 나는 모든 것을 넘어서 놀라운 전망을 제공하는 곤돌라를 탔습니다. 그러나 나는 동물에 대해 약간 걱정합니다. 말 그대로 새장에서 약 3피트 떨어진 곳에 손을 놓고 동물에게 먹이를 줄 수 있습니다. 나는 긴팔 원숭이에게 치토스를 주는 사람들을 보았다. 좀 웃기긴 했지만 보면서 죄책감이 들었다. 다른 나라, 동물원 운영 방식에 대한 견해는 다르지만 전반적으로 즐거운 시간을 보냈습니다."
87,"나는 일반적으로 동물원의 열렬한 팬이며 이 동물원을 보기를 고대하고 있었습니다. 당신은 거기에 도착하는 직접적인 지하철 노선이 있습니다. 동물원은 하루 종일 입장하는 데 3 달러와 같이 정말 저렴했습니다. 많은 동물을 볼 수 있습니다. 나는 그것을 사랑했다. 하지만 한 가지 언급할 점이 있습니다. 그곳에서 동물들을 돌보는 것에 대해 걱정이 됩니다. 동물들이 최상의 상태가 아니며 행복하지도 않다는 것을 알 수 있습니다. 특히 재규어 케이지는 매우(!) 작습니다... 그래서 이 사실이 저의 방문의 어두운 면이었습니다 :(하지만 동물원은 동물원에 있습니다 아름다운 환경, 그래서 당신은 정말로 도시에서 탈출 한 느낌이 듭니다."
88,"나는 휴일에 갈 때마다 동물원을 방문하는 것을 좋아합니다. 그러나 내가 방문한 날에는 약간의 비가 내렸다. 동물원은 실제로 거대한 공원 안에 있습니다. 동물원 자체를 한 바퀴 도는 것은 규모 때문에 자연 속 산책을 하는 것과 비슷합니다. 건물 중 일부는 약간 낡았고 허물어졌습니다. 새가 거기에 있었지만 새 전시는 방문자에게 모두 닫혔습니다(이유를 말하는 한국 표시를 읽을 수 없음). 호랑이 전시회는 새로운 지역에서 개조되었습니다. 다른 동물들은 내가 갔을 때 비교적 ""행복한"" 것 같았습니다(도쿄 우에노 동물원의 동물들이 신경증이 된 것처럼 보이는, 즉 원을 그리며 걷는 것 등)은 매우 조용해서 좋았습니다."
89,내 여보와 나는 5월에 동물원에서 멋진 하루를 보냈습니다. 이곳은 넓기 때문에 편안한 신발은 필수입니다. 사자와 뱀 구덩이는 지금까지 내가 가장 좋아하는 것이었습니다. 그러나 나는 음식 선택이 그렇게 좋지 않았다고 말할 것입니다. 그냥 내 의견. 세 부분 패키지 거래를 구입해야 합니다.
90,이 장소는 훌륭했고 너무 커서 우리가 피곤하고 하루 동안 너무 더워지기 전에 모든 것을 할 수 없었습니다. 많은 동물이 있고 그들은 인클로저를 멋지게 만들었습니다. 가이드 맵은 영어로 되어 있었지만 영어를 구사하는 직원은 거의 없었습니다. 그러나 우리가 동물을 보고 싶었기 때문에 이것은 그다지 중요하지 않았습니다. 그들은 입장료에 포함 된 놀라운 돌고래와 물개 사자 쇼를했습니다. 다양한 종류의 사랑스러운 식물이 있는 인상적인 온실이 있었습니다. 우리는 또한 조감도를 얻기 위해 스카이 리프트를 탔고 (앞으로 돌아 가기) 매우 비싸지 않았습니다. 동물원은 금연이어서 좋았습니다. 몇 가지 음식 옵션이 있었고 하나는 김치 바를 제공하는 좋은 한국 음식 옵션이 많았습니다. 완료하는 데 각각 약 2시간이 걸리는 특정 루프를 수행하려는 경우 경로를 따라 컬러 라인이 있었습니다. 우리는 이것을 사용하지 않았지만 좋은 옵션이었습니다. 전반적으로이 동물원은 거대하고 매우 훌륭하게 이루어졌습니다. 우리는 우리가 방문할 수 있어서 기뻤고 우리가 전체 장소를 볼 수 없어서 조금 슬펐습니다(또는 다른 날에 다시 돌아올 시간이 있습니다).
91,우리는 동물원과 장미 정원에 갔다. 동물원은 거대하고 우리는 그곳에서 반나절 이상을 보냈고 시간을 들여 공원 전체를 탐험했습니다. 장미 정원은 아름답고 우리가 거기에 있었을 때 공연이 진행 중이었습니다.
92,동물원에 가려고 서울대공원에 갔다. 우리는 이 장소가 얼마나 거대한지 깨닫지 못했습니다! 거기에는 할 일이 많고 우리는 하루 이상을 보내고 더 많은 일을 할 수 있었습니다. 동물원은 일반적으로 좋지만 일부 전시품은 약간 실망스럽습니다. 나는 일부 동물의 복지에 대해 약간 걱정했습니다. 그러나 그들은 개선될 것이라는 희망을 갖고 몇 가지 일을 하고 있습니다. 주변 지역은 환상적입니다. 숲의 많은 멋진 전망. 분명히 하이킹 코스도 많이 있습니다. 다음에 더 잘 볼 수 있도록 케이블카 옵션도 있습니다!
93,동물원에 가지 않고 벚꽃을 보러 특별히 왔습니다. 벚꽃이 만발하고 군중이 여의도 공원만큼 많지 않았기 때문에 공원 전체를 사랑합니다.
94,"어린이 공원, 동물원, 어린이 박물관 등 대부분의 물건은 무료입니다. 좋은 운동화 신고 몸을 따뜻하게 하세요!!!! 1 월과 3 월에 갔다가 다시 갈 것입니다."
95,"어제 날씨가 추워서 손님이 거의 없었어요. 그 지역은 거대했고 견딜 수없는 추위로 어린 아이들과 함께 여행하기가 어려웠습니다. 꼭 방문해야 하는 경우 여기를 추천합니다. 지하철에서 나와 5-10분 정도 직진하면 바로 앞에 건물이 있습니다. 여기에서 트램 틱을 구입하십시오. 어린 아이들과 함께 동물원에 가려고 하지 마십시오. 매우 먼 거리입니다. 최소 15분. 트램은 서울 동물원과 서울 랜드로 이동합니다. 동물원에서 내려 동물원 진드기와 스카이 리프트 진드기를 구입하십시오. 그들은 다른 카운터에서 판매됩니다. 동물원 꼭대기까지 스카이 리프트를 타고 천천히 내려갑니다. 스카이 리프트는 약 10분이며, 전체 지역의 멋진 전망을 제공합니다. 내 생각에 돈 가치가 있습니다."
96,"서울의 대공원은 매우 커서 서울 동물원까지 걸어서 1.5분 정도 걸립니다. 풍경은 훌륭합니다. 키가 큰 나무, 시원한 날씨, 산을 배경으로 한 배경으로 제가 이른 아침에 거기에 갔을 때 서울의 노인 그룹이 이리저리있었습니다. 내가 싱가포르 동물원에 가장 익숙하기 때문에 동물원에 대한 나의 기대치는 높은 편이다. 서울의 동물원은 저에게 광대합니다. 볼 동물은 많지만, 보려면 걷는 데 시간이 걸립니다. 내가 월요일 아침에 거기에 있었을 때 많은 음식과 음료 매장이 열리지 않았습니다. 대부분의 간판에 이러한 정보가 한국어로만 표시되어 있기 때문에 한국인이 아닌 사람들이 동물에 대해 더 많이 배우는 것도 어렵습니다. 약간의 영어가 확실히 도움이 될 것입니다! 공원은 꼭 가봐야 할 곳은 아니지만 도시의 번잡함에서 벗어나 휴식을 취하고 싶다면 좋을 것 같아요. 나는 2013년 10월에 이곳에 있었고 날씨는 서서히 가을로 변하고 있었습니다. 서울에서 가을의 전체 작품을 보려면 11 월에 거기로 가십시오."
97,"나는 2013년 10월에 이곳을 방문했는데 날씨가 이 곳을 여행하기에 정말 좋았습니다. 우리가 왔을 때 모든 동물은 여전히 ????잠드는 것 같습니다 (약 10am). 이 곳은 냄새가 나지 않고 잘 관리되어 있으며 한 곳에서 다른 곳으로의 트랙이 쉽고 15 분마다 무료 셔틀 버스를 제공합니다. 우리는 돌고래 쇼를 무료로 보았고 어쩐지 재미있습니다. 캥거루에게 먹이를 줄 수 있는 캥거루 먹이주기 체험과 새의 낙원(굉장합니다!!)도 놓치지 마세요. 방문하려면 지하철 4호선 서울대공원역 2번 출구를 이용하세요. 입장료는 3000원, 스카이리프트는 동물원 입구에서 9000원(인근 사자호랑이 전시관). 동물원을 위에서 내려다보는 풍경이 좋기 때문에 스카이 리프트를 사용하는 것이 좋습니다."
98,걸어서 동물원을 마칠 수 있습니다. 내가 방문하는 동안 호랑이가 없었고 수족관은 폐쇄되었습니다. 그래도 사랑스러운 기린!
99,"이것은 깨끗하고 아름답게 배치된 정말 멋진 동물원입니다. 그것은 또한 저렴합니다. 많이 걸을 준비를 하고 있지만 볼 생물이 너무 많습니다. 우리가 가장 좋아하는 곳은 아기 오랑우탄, 침팬지, 미어 고양이 및 3마리의 아기 호랑이를 본 보육원이었습니다."
