STAR,REVIEW,DATE
4.0,We stopped by to see the elaborate changing of the guard ceremony and have a tip View from the street side of the roped square for best pictures without commercial store or kiosks in the background You will also be able to get a better shot of the drummer and get in the square when the ropes are let down for a picture with the colorful guard folk,"Written May 18, 2017"
3.0,Nice temple although not the nicest in Seole I loved the arcitecture construction Around all places in the center of the city,"Written May 17, 2017"
5.0,Another beautiful palace where we happen to came across a reenactment of a Korean coronation ceremony The grounds are very pretty too,"Written May 17, 2017"
5.0,Deoksugung has a different character compared to the other wellknown Korean palaces like Gyeongbukgung or Changdeokgung For me this is mostly because of the mix of Eastern buildings next to Western buildings which are greatly influenced by neoclassical architectural styles Deoksugung is also softer and feels less imposing than Gyeongbukgung possibly due to the less extensive grounds  I visited Deoksugung in the cherry blossom season and it was lovely especially in the sunset and as the lights started to come on Deoksugung is the only palace that is open until 9pm all year round allowing you the opportunity of walking in palace compound at twilight Its pretty amazing to feel that youve been transported back several hundred years only to look up and see a modern building or sign in the distance  If youre not fond of mingling with the tourist crowd but yet wanted to visit a Korean palace Deoksugung is ideal for its size location right next to City Hall and character,"Written May 15, 2017"
5.0,We really enjoyed the free one hour drumming performance and were lucky to catch the end of the changing of the guard which happened around 1130,"Written May 6, 2017"
3.0,Im not sure why its listed as a separate attraction since its part of the palace one of many buildings in the palace The buildings are replicas and are empty The story we were given is that they are afraid that if they furnish the place the furniture could be used as weapons,"Written May 2, 2017"
4.0,Deoksugung palace is one of the five grand palaces built by the kings of the Joseon Dynasty This palace is smaller than for instance Changdeokgung Palace or Gyeongbok Palace but really worth a visit Entrance tickets are really cheap and the buildings on the palace grounds are an interesting mixture of Korean and Eastern style buildings The Deoksugung palace is also the only palace which stays open in the evening A visit in the evening is highly recommended because the buildings are beautifully lit If youre a photographer dont forget to bring your tripod,"Written April 27, 2017"
5.0,I decided to visit this palace quite last minute and was impressed by the architecture inside it East meets West The change of guard ceremony was a lot more impressive than the one at Gyeongbokgung Palace Dont miss it,"Written April 25, 2017"
4.0,Last palace i visit when i in south korea and this palace near from Seoul City Hall you just need cross the street to go to Seoul City Hall,"Written April 10, 2017"
4.0,This place is spotlessly clean full of history great palace and grounds Takes a good 2 hours to do this properly Great to see the changing of the guard and they are photo friendly the cherry blossom was out Had a coffee at a nice place inside Well worth the walk,"Written April 10, 2017"
3.0,Its not expensive for the ticket and you can walk around enjoy the old Korean style palace It took me just 20 minutes to see them all as well as going to the toilet on the other side of the palace,"Written March 11, 2017"
3.0,The Admission 1000 won  The Palace Originally built during the Joseon period one of the historic palace It is situation between modern buildings interesting to see the old and the new in the same place  Beautiful architecture great for photo opportunity There is also a western style garden fountain nice place to sit down relax and enjoy the view  The changing of the royal guard ceremony that takes place every day at the main gate Definitely mustsee You dont need to buy admission ticket to see this because it is right outside the palace  The Subway Station Exit 2 or 12 of City Hall Station Subway Line 1 or 2,"Written March 10, 2017"
4.0,This was our first Korean palace experience We enjoyed walking around the grounds We went on a Sunday afternoon and it wasnt very busy I recommend adding this to your itinerary Entrance fee is small and its a great way to spend an hour or two,"Written March 2, 2017"
4.0,One of the palace in seoul Located in city hall They have a changing of guard ceremony every day Entrance fee is 1000 krw,"Written March 1, 2017"
4.0,I would do Gyeongbokgung Palace and Changdeokgung Palace first If you are then still keen on yet another palace Deoksugung is a good choice Much smaller than the other palaces it is rather more intimate and there are less tourists Also it has not been rebuilt so the atmosphere is more historic than at Gyeongbokgung,"Written February 25, 2017"
4.0,This is one of the most interesting Palace I have visited History of it is good but the traditional and modern buildings within Deoksugung is more interesting It shows how South Korea slowly learning from the western culture Interesting place,"Written February 20, 2017"
4.0,I stayed in The Plaza Hotel so it is very easy for me to reach this palace The buildings are well preserved and incredibly beautiful exactly like what you see on the dramas or movies Definitely clean and tidy in every corner of the complex Too bad I only spent less than 1 hour in this place I will advice you to spend at least 2 hours in order to really enjoy your moment there It has particular times where you can see the traditional dance performance and palace guards shiftchanging ritual,"Written February 15, 2017"
4.0,As I have done most of the palaces this one didnt have anything special no must see factor until I went round the Historical Museum This was the tick in the box for this Palace The w1000 also includes the museum and if you want to walk round head over as soon as you arrive and get yourself on a tour It is access by tour only and they leave every 30 minutes but gets full quick as the groups are only small Shoes off and slippers on they gave me an English audio so I could follow round but obviously the passionate guide was giving the locals much more than I was hearing All renovated in the last 10 years but decorated as best as they could from old photos and with some of the original furniture The history you get is the best thing and even some photos of the old emperors and emperoresses Your 1000 doesnt also get you into the art gallery that will cost you more,"Written February 4, 2017"
5.0,Nice collection of palaces both ancient and modern eastern and western Quite small compared to other palaces but well worth visiting as so unique making great photographic juxtapositions If visiting on the weekend go up to Jeonddong Observatory beforehand so as to get a birdseye view in advance,"Written January 28, 2017"
5.0,The only opened palace when we were there You can see the difference between the old and new korea when you are in this place,"Written January 24, 2017"
5.0,This palace is downtown across from city hall They have a changing of the guard twice a daydont miss it,"Written January 19, 2017"
5.0,While this palace doesnt have the sprawling grounds of some of the others  it is stunning The lawns are so wellmanicured and the mixture of the architecture styles is quite interesting to see Some of the more European style buildings were constructed on the palace grounds during the Japanese occupation I believe there is also a small annex of the Seoul City Art Museum inside the grounds which holds small exhibitions I got to see a gorgeous collection of antique Cartier jewelry by chance in there one day Such a fun surprise I would say this palace is a must see,"Written January 18, 2017"
4.0,Being the smallest one among the four palaces I got to in Seoul not sure how it compares in size with Gyeonghuigung which is the only one that I didnt get to among Seouls five palaces this is not a palace like Gyeongbokgung which is kind of a world of its own with its huge grounds where youll get an immersion experience of the Joseon era days but what this palace offers just because of its significantly smaller grounds compared to Gyeongbokgung is nice contrasting views of traditional palace buildings  their modern highrise counterparts right outside the confines of the palace grounds including the interestingshaped allglass structure of Seoul City Hall which can be seen from the raised platform around the main palace building which will kind of give you an idea how far Korea has come from those days of the Joseon Dynasty And those relatively small grounds of the Palace actually merge on one side to the left of the main palace building while facing it or equivalently to your right if you go all the way to the end of the pathway from the entrance gate after coming in from the street with the grounds of a big museum with a lovely fountain in front although Im not sure if the museum is considered part of the Palace for admission purposes or if it can be entered from another side  And unlike at the other palaces the main building of this palace can be entered not just to look at from right outside so you can get a closeup view of the throne stage Also present here at the entrance gate are two or three ceremonial guards didnt see them on the way in at about 10 am though only saw them on the way out about an hour later but Im sure theres no big ceremony involving a lot of guardsmen in colorful attires with some holding beautiful flags as at Gyeongbokgung since theres simply no space here for such a ceremony  Coming by subway City Hall Station Lines 1  2 is where to get off and youre pretty much right outside the Palace once you get out of the station onto the big street Sejong Daero just a 1to2minute walk to the entrance gate And what I suggest for the ticket is getting an integrated ticket for 10000 won the equivalent of 10 US dollars which is good for like a month and which gives you admission to four of Seouls five palaces except for Gyeonghuigung which Im sure is a small one maybe even smaller than this one  Jongmyo Shrine; also do keep in mind that this palace along with Changdeokgung  Changgyeonggung are closed on Mondays whereas the main palace Gyeongbokgung  Jongmyo Shrine are closed on Tuesdays,"Written January 17, 2017"
4.0,Recommended for families and couples who do not like shopping Great place to learn about korea culture and history while taking in the scenic views,"Written January 9, 2017"
5.0,The palace is situated near the City Hall Metro Station with some historical buildings and colourful trees The parade of royal guards is held 3 times per day at the main entrance of the palace We had an enjoyable time visiting this palace,"Written December 27, 2016"
4.0,A nice architecture and you can also experience the guard changing ceremony here However there are certain timing of when this ceremony will take place so you will need to do a bit of research went for 11am ceremony To go here take subway to City Hall Line 1 or 2 Exit 2,"Written December 22, 2016"
5.0,Subject Deoksugung Location Seoul South Korea Asia Title Deoksugung Palace  a snapshot into South Koreas history ID 443966790  A tour of this palace is a must The English tour guide was knowledgeable enthused and provided an overview in a manner that encouraged questions allowing you to feel the Palace and hear the different spaces For those of us who need to see hear and read the pamphlet available is well written and outlines in details the different Courts and Halls as well as the different time periods and what was taking place With this being my first time to Seoul it was a great introduction  Because it was a group of us we made reservations to be hosted by a English speaking tour guide And yes there is a small entrance fee I hesitate to quote the amount here as who knows when it may change,"Written December 15, 2016"
4.0,A very small Palace but the Royal guard changing ceremony is good Its the only Palace that has both Korean and western buildings Same as Gyeongbokgung if u wants to watch the Guard changing ceremony the time will clash with the guided tour so can only choose one,"Written December 15, 2016"
4.0,I happened to go on the perfect day I got there right when the changing of the guard was happening happens at 1100am 2pm and 300pm And it was free for everyone that day normal admission is 3000 The National Museum of Modern and Contemporary Art Deoksugung is free but you need to make a reservation for the Seokjojeon Hall Neoclassical Western Style Building This place is great to see the difference between modern and old but youll be done in an hour maximum Go to City Hall Station Exit 2 from Line 1 or Exit 12 from Line 2,"Written December 11, 2016"
4.0,Came to visit Deoksugung Palace as well as to witness the changing of guards ceremony which was done thrice a day at 11am 2pm and 330pm Entrance ticket is attractively priced at 1k for adult and 500 for child  The changing of guards ceremony is very spectacular However there is only Korean and Chinese narration provided during the ceremony thus may have to read up the before the visit to fully appreciate  Overall a good way to immerse the Korean history after days of city shopping,"Written December 6, 2016"
4.0,This Palace is across the street from City Hall It is not as large as the other palaces but has the Changing of the Guard Ceremony which is very interesting and if you make special reservations you can tour the European buildings from the early 1900s which is unique here Only 1000 won 1 to enterso worth it,"Written December 5, 2016"
5.0,Im grateful that I visited this place during the spring season and witness the cherry blossom trees It is also nice to watch the Royal GuardChanging Ceremony in this palace,"Written December 2, 2016"
4.0,Seoul has many of them this one is right next to the city hall fee is less then a 1 euro and you get a free 40 minute english guided tour very nice With guide is better they has as well the change of the guard which is interesting Inside is as well a museam which has a extra charge if you want to go Worthwhile to visit if you have time and the weather is nice,"Written November 30, 2016"
5.0,Staying right next door The Plaza I have no excuse not to visit this palace In fact it is the first palace I visited in Seoul I deliberately waited to write this after visiting others To me this is the most quaint It was the last day of autumn  I joined the morning English tour which was very informative Especially on the Joeson Empire  Then I wandered into this part of the garden which took my breath away the glorious colours of autumn  I bought the Royal Museum Pass The MMCA in this palace requires a separate entrance charge,"Written November 28, 2016"
5.0,Nice place full of autumn Colours 1000 won for a good walk in the palace Not as big as the Gyeongbukgong palace so the walk is not as tiring,"Written November 25, 2016"
4.0,We visited this beautiful place by night on our way back to our hotel It has a palace with a central court a bell building and a fountain It is one of those that has been destroyed during the Japanese colonization and currently only a third of the original building is left but what is left is worth seeing,"Written November 17, 2016"
4.0,OK I admit it  I was a lucky one But first some background Outside the main gate at certain times youll have to look up they have a stand for individuals to dress in traditional outfits and take photos This is timed to coincide with the changing of the guard ceremonies replicating the traditional method of days gone by They select a tourist to participate Being selected made the visit inside even more magnetic Its not huge inside but it shows some history including some modern aspects If you like history sign up for the Seokjojeon Hall in advance on webpage Its newer but fancy If your time in Seoul is limited youd probably want to skip the palace tour,"Written November 4, 2016"
5.0,The palace is located right in the heart of Seoul It is a nice respite from the busy urban area Be sure and attend one of the Changing of the Guard ceremonies,"Written November 3, 2016"
5.0,The living quarters of Koreas first and last but one emperor who enjoyed coffee Its a charming place to visit even if youre not interested in the history If you love taking photos its a wonderful location The trees are beautiful and so many interesting details inside and outside the buildings  Honestly Im not interested in modern history 20th century but I suggest you go with someone whos wellversed in the life of King Gojong Its a very human story worth listening to  Occasionally even on weekdays theres a ceremony of changing the guards in front of the palace Catch it if you can,"Written November 2, 2016"
5.0,Got some lovely photos of this palace The buildings are beautiful and the grounds are lovely to stroll around We spotted a couple taking their wedding photos in traditional garments Its free to enter if you dress in traditional clothes too,"Written November 2, 2016"
4.0,Its strongly recommended to buy combined ticket for all the palaces 5  10 000 W and try the guided tour Its free all guides speak fluent english and explain all that you can see Palace seems similar to other ones so Its really useful to have a guided tour which explain all the differences and show you what makes this one really different from the other 4,"Written October 31, 2016"
5.0,Deoksugung palace is smaller than other palaces But it attracted me more cause I could enjoy it with less people there I was there when theres a ceremonial not the guards changinghappened It took place in front of the palace gate and they even had a parade on the street No need to buy ticket at that time I was so lucky I could enter the palace for free By the time I finished going around the parade just returned back so I could take more photos The location is close to city hall,"Written October 23, 2016"
3.0,A visit to this palace gives the visitors a quick taste of the old times Korea of what it would have been This palace comes complete with a regular show of the changing of the guards out the front about three times a day The guards are part of the show rather than actual guards protecting the palace There are quite a few ancient buildings which have been reconstructed along with fountain  statues around the peaceful ground  Tip We spent an hour wandering the ground to pass time but a good tip would be to save some time to try on the free Traditional Korean costume dress up right outside the front for some photo opportunity We found out too late that this great tourist experience was just outsider and complimentary when our tour bus arrived for the pick up,"Written October 23, 2016"
3.0,The palace itself is not very impressive but the change of the guard is something It takes place outside the gate Well worth to see Nearby are other attractions like Seoul City Hall and the end of the Cheonggyecheon stream Not far from the Gyeongbokgung palace,"Written October 12, 2016"
4.0,I choose to see the changing guard ceremony in smaller palace because less people than in bigger palace like Gyeongbokgung palace and its more comfortable for me since travelling with a baby It was more than I expected The ceremony was great I can watch whole ceremony without difficulty because I am not that tall They asked foreigner to hit the gong and asked them to wear hanbok during the ceremony They were also hanbok free to wear near the ceremony area You can wear them for free But not all tourist is permitted they see how tall you are so their hanbok is not being walked on hanbok,"Written October 7, 2016"
5.0,This palace has a show of costumed Korean guards in front of the gate Fun Entering the gate is only a couple dollars Inside is a very interesting and characteristic collection of ancient buildings reconstructed statues an arbor and a fountain Walking on the grounds is peaceful with pathways through the trees Finally for extra admission there is an art museum at the far side with very good exhibitions which change regularly Modern traditional western and Korean art are displayed in various large scale shows throughout the year in this awesome space,"Written September 28, 2016"
4.0,Besides the palace you can also visit its garden fountain and modern homes The changing of the royal guards is a mustsee,"Written September 25, 2016"
4.0,Different to other palaces  many different styleage buildings and the National Museum of Modern and Contemporary art is up the back The grounds themselves are beautiful well worth an afternoon stroll and rest from the hectic pace of the city,"Written September 21, 2016"
4.0,Deoksugung was strikingly more modernized with foreign embassies It also has a guard changing ceremony 3 times a day Its close distance to city hall makes it easy to drop by to visit I had the combination ticket to all 4 palaces so I came by to visit this one as well There are 2 English tours per day Check the website for timing,"Written September 20, 2016"
5.0,to combine history and modern art in a short excursion within the centre of Seoul  palace buildings quaint park and a branch of the MMCA,"Written September 17, 2016"
5.0,We didnt end up visiting inside the Palace as we arrived in time for the 2pm changing of the guard ceremony and discovered it was actually done out of the street Very colourful with pomp  ceremony The drummer was a highlight such a powerful swing At the completion of the ceremony the public were invited to take photos with any of the ceremony participants Fantastic  free Thank you Seoul,"Written September 11, 2016"
5.0,A wonderful place to just wander around and feel relaxed Was very well priced less than the price of the subway So its definitely the place to go where lots of local children are also exploring their culture and history  My husband and I were here mid morning just missed the free English tour but thats ok You can feel the history inside the walled residences  Also hang out for the procession its pretty spectacular,"Written September 3, 2016"
4.0,The Deoksugung Palace is conveniently located next to the City Hall subway station It is not a big as the other palaces like Changdeokgung or Gyeongbokgung palaces but is unique as it has 2 western styles buildings inside which was the residence of the royal family for a while There is a tour of this residence which is interesting The changing of the guards is definitely the highlight of the palace From there I walked down to Sungnyemun Gate and Namdaemun Market,"Written August 28, 2016"
3.0,We understand that this is the only royal palace which can be visited at night illuminated OK we saw it by daylight Japanese invaders did a fairly thorough destruction job and we could not visit the Westernstyle building as it takes only groups of 5 people at a time on a first come first served basis \xe2\x80\x93 and we were 7 and 8 As Seoul royal palaces go this one is certainly not a must but the very colorful procession of the changing of the guard three times a day 11 am 2 pm and 330 pm is certainly worth the sight The procession crosses the premises from the Westernstyle palace and heads for Daehanmun Gate close to City Hall where they perform some martial movements rhythmed by drum beats \xe2\x80\x93 a popular photo op the more so that visitors are invited to join the guards for pics at the end of the show,"Written August 8, 2016"
4.0,I enjoyed the little palace Nice quick walk around if you are alone or in small groups They had a performance which you sit down by the steps to enjoy and free coffee workshop which also served free brewed coffee Weather was cool and it was nice to take pictures ,"Written August 7, 2016"
5.0,Unlike the grand Gyeongbokgung Deoksugung is sometimes an overlooked tourist destination  as evident by the lesser visitor count  but it certainly doesnt lack any charm Admission fee is just KRW 1000 1 USD Inside marvel at the amazing Korean and Westernstyle buildings Also make sure to see upclose the Changing of the Guards ceremony,"Written August 3, 2016"
3.0,I went here to take photos nice place very quite and few people came in I took many of photos from different angles and you can take amazing photos,"Written July 19, 2016"
4.0,do your research and dont be like lazy tourist me after walking 1015 mnt from gyeongbokgung in hot scorching sun i arrive at deoksugung only to find out its close on monday _;,"Written July 18, 2016"
4.0,Deoksugung palace is also known as Gyeonhungung too It is a walled compound and was used as residence by Joseon periods royal family Its dates back to 1400s There is a changing of guards ceremony three times a day 1100 1400  1530 Inside is National Museum of Art too There is a elegant stonewall road on the back on place Admission to the palace is for 1000 won And outside its walls is national museum of contemporary art too  Great place to visit not only because of its history but many other places of interest nearby and also the city hall etc,"Written July 8, 2016"
4.0,Deoksogung Palace is a good palace near the City Hall Station on Line 1 of the Seoul Subway Its not as big as Gyeongbokgung but its still a nice place to visit They also have a changing of the guard ceremony and a great park within the palace grounds An added bonus is that theres a Dunkin Donuts right next to the palace which had a different variety of donuts that I dont see in the United States Its also a good place to rest since they have free Wifi,"Written July 3, 2016"
5.0,The Palace is a walled compound that was inhabited by members of Koreas royal family during the Joseon monarchy 13921910 until the colonial period around the turn of the 20th century It is one of 5 Grand Palaces built by kings of the Joseon Dynasty It is popular for its daily Changing of the Royal Guard ceremony and is an excellent opportunity to photograph native costumes,"Written July 1, 2016"
4.0,I kinda like visiting those palaces and stuff whenever I am travelling I have to say that although this might not be one of the best but still it was worth a visit  They had this changing guard ceremony everyday at 11am if I was not mistaken Probably you should not miss it as it might be the highlight of the place  But to keep those traditional palace surrounded by tall buildings and in the heart of the city was amazing,"Written June 21, 2016"
3.0,As with all the Seoul palaces this place is majestic and peaceful The only issue with this one compared to the others is that most of the information signs were only in Korean and this turned us off going to other museums,"Written June 18, 2016"
4.0,You can try on hanbok and take photos around 15 minutes for free However they have the timetable so be sure to check first,"Written June 8, 2016"
5.0,While not as large as Gyeongbokgung Changdeokgung or Changgyeonggung Palace Deoksugung Palace is the serene and beautifullycanopied seat of Koreas brief imperial power As it was originally constructed as a residence not designated for royalty Deoksugung possesses a humble quality enhanced by the beautiful foliage landscaping the premises It is historically significant as the only imperial palace and the place where Emperor Gojong died in 1919 It is a beautiful mix of eastern and western architecture a testament to Gojongs desire to lead Korea onto the world stage in the early 20th century The thricedaily changingoftheguard ceremony transports visitors back to the Joseon dynasty and is a mustsee if visiting this palace Admission is inexpensive and guided tours are free Our English tour guide was charming polite and wellversed to answer questions,"Written June 8, 2016"
5.0,Very close to city hall this palace is very peaceful We had a free tour which explained a lot and the changing of the guard ceremony was very colourful and interesting,"Written June 6, 2016"
5.0,I didnt expect much from this palace its small a third of its original size and gives an impression of a lessthankorean palace sibce there are modern buildings in it BUT It has difinitely exceeded my expectation Firstly it was considerably less crowded than Gyeongbukgung even in its peak time which is 11 am when the Changing of the Guard takes place Secondly the Changing of the guard is a wonderful experience you can follow the marching band around and watch the change comfortably and then even pause a few times to let you take photos with the guards Thirdly the history of the different buildings that compile the palace is very interesting One of the buildings is a fusion between traditional korean architecture and imperial architecture and to my opinion it was spectacular  For the meek price of 1000 won I recommend going I arrived around 920am so I even managed to get a free english tour with a guide before following the marching band  Overall I spent 3 hours exploring including the guard change and half a guided tour,"Written May 26, 2016"
4.0,Spent a very charming hour walking around the palace looking at the buildings and soaking up the history Its surprising quiet when you think it is just across from City Hall and has some lovely gardens to walk around in Great to pop into as it is not a big palace the smallest of the 5 in Seoul and has some interesting recent history  the site of the joint Soviet  American commission in 1946 where the USA tried to get the Soviets to accept a unified democratic Korea,"Written May 18, 2016"
4.0,After a long day and on my way to an evening flea market and some dinner I passed this nice little palace Open until 2100 hours and well lit it was little gem for a very little price,"Written May 14, 2016"
5.0,It is smaller now than the other palaces but relatively uncrowded so you can explore easily Great free English speaking guide and if you go to the main residence you may be able as a foreigner to book a time for entry It is worth it and the free English audio is excellent Not as grand as the Gyeongbokgung palace but rather restful If you had time Id do this first as the explained features are the same and the history of the murder of the Emperors wife takes on meaning,"Written May 13, 2016"
5.0,I love the grandiose Royal Changing of Guards here If I were you go at the entrance if they will be having the said ceremony See it up close and take a picture with the guards,"Written May 8, 2016"
5.0,What a deal People over the age of 65 gets in free Located right in the middle of the city Besides access to the spacious grounds there is a walking tour of the Edwardian style Palace Unfortunately it is conducted in Korean but one can rent the audio tour It is very comprehensive and takes over 75 minutes so be warned,"Written May 4, 2016"
4.0,The palace complex comprises of many buildings halls It is so close to the City Hall subway station The entrance fee is only KW1000 very minimal isnt it The place is like a mini park and it would be nice to just sit down and relax there The guards look interesting with their traditional dress Ask the information center about the time for change of guard Its unique and worth waiting for,"Written May 3, 2016"
5.0,Located in the middle of several touristic spots This palace gives you the opportunity of scape of the big city and see some beautiful buildings The entrance is very cheap Around 1 US dollar Theres the change of guard constantly going on And its a great opportunity to have a bit of the spirit of old Korea and take pictures with those characters Theres free wifi inside and its not allowed to smoke,"Written April 28, 2016"
5.0,The entrance to the Palace grounds is a canopy of cherry blossoms Allow at least an hour to visit the many buildings There is a separate art museum which charges an entrance fee We got to see the paintings of a Korean artist which were stunning There was a concert of popular Korean music given on the grass in front of the museum There is the possibility of visiting the Palace rooms This takes a special ticket for which the concierge at our hotel arranged It may be possible to arrange this per Internet There is no additional charge to visit the Palace but a reservation is essential,"Written April 26, 2016"
5.0,I had a nice stroll in this beautiful place Sat on one of the bench and idle with nice views of the surrounding and architecture Many walks of life visits this place  I noticed many school children in uniform here Elderly with their grand kids walk hand in hand enjoying the surrounding and time together At interval times there is The Changing of the Royal Guard is in front of Daehanmun Gate which lasts about 1hour A well preserve piece of history in a modern city  Consists of traditional palace buildings landscaped and forested gardens a statue of King Sejong the Great and the National Museum of Art which holds special exhibitionsLocated near City Hall Station,"Written April 21, 2016"
5.0,There is a great changing of the guards ceremony at around 11 AM it is absolutely worth it The palace grounds are beautiful with many nice areas to take pictures especially in the gardens Surrounded by skyscrapers its definitely a nice natural and historical haven right in the middle of the city,"Written April 20, 2016"
4.0,You cant help but notice when visiting this ancient Palace that you are surrounded by modern day high rises in the heart of the city  This was a very popular Palace for school children to visit as there had to be several hundred children on site  The grounds are very nice and much bigger than expected There is a mixture of Western and Korean architecture Make sure to grab the brochure expaling everything at the entrance way  Definitely worth a look Very cheap to get in only 1000 won but free if you are 65 or older,"Written April 19, 2016"
4.0,smaller than gyeongbukgong but the royal guard changing ceremony is more interesting theres a russian museum inside that apparently need advanced booking so we only get to see from the outside,"Written April 14, 2016"
4.0,The grounds and the palace are nice But the reason to go is to see the changing of the guards Very interesting and very colorfulvery tourist friendly Many photo opportunites,"Written April 13, 2016"
3.0,This palace was just 5min from our hotel so was able to visit in the morning before our departure They have a changing of the guards that we just happened to be lucky with our arrival time 11am or so The palace is not so large but there is an art museum inside some nice gardens with blossoms April,"Written April 10, 2016"
5.0,Webhad several hours to spend in seul and this place was great place to visit Spent there more than an hour It cost around 1 to enter and u get instructions in several languages If you have few hours free in the city this place can be very nice visit for you,"Written April 3, 2016"
4.0,I have been to Seoul in November 2015 in good weather although its cloudy and some time rainy however very enjoyable if you have fear to get wet by rain bring an umbrella with you  This Ancient Palace is located in Seoul city surrounded by the modern urban infrastructure it is near to the City Hall Station Subway The palace belong to the Joseon Dynasty You will feel very nice after entering inside most of the area is surrounded by the plantation and in Autumn seasons different shades of maples pleasing the viewers the nature lovers will definitely love this place  In a very big compound there are different types of building of 15th  16th century people who like to visit historical places  attraction this place is definitely worth to visit for close attention and details you should have sufficient time considering the opening and closing of the palace There is museum inside basement 1st and 2nd floor and to visit the place prior reservation is required via Deoksugung homepage,"Written March 29, 2016"
4.0,A nice example of the palaces but time your visit to watch the changing of the guard It is very colorful and adds to the ancient feel of the palace One of the buildings house the National Museum of Contemporary Art Worth a couple of hours,"Written March 28, 2016"
5.0,This Palace one of four major Palaces in the same vicinity in Seoul is pretty much directly opposite City Hall and theres a metro station at City Hall so its easy to get to and find This is a smaller Palace than some of the others and has a few more laterbuilt buildings so is quite distinct from the other Palaces The Palace guards are interesting to see and photograph and you dont have to buy a ticket to go into the Palace to see them as for obvious reasons they are on the outside of the gate They are used to having their photos taken As a consequence you can also see much of the changing of the guards from the street too free of charge much like Buckingham Palace And the changing of the guards at Deoksugung and at Gyeongbokgung not far up the road for that matter has just as much pomp and ceremony with colourful uniforms and a marching band as Buckingham Palace or Horseguards Well worth a look if you can time it right,"Written March 23, 2016"
5.0,We watched the full changing guard ceremony and got the chance to wear Korean hanbok free for tourist before entering the gate theres a booth on the right that provides Korean traditional clothes for tourist to wear just need to fill out your name and took a photo with the head of guards The booth closed around 2 or 3 pm Very memorable,"Written March 19, 2016"
4.0,I was glad to see this palace just wish it was in the day not night time even though the lighting was kind of nice at night,"Written March 8, 2016"
5.0,There are other main palaces that are closer to each other and make it easier for people to do palace tours at the same day and Deoksugung is often left out because it is a little far and in different direction But its right across Seoul city hall and very easy to find It has nice parks and very unique because it has museums within it too During weekends and holidays I think there are highschool student volunteers doing English guide I went in August 15th the Korean Independence Day and they opened for free There will be some other national holidays when they open for free so check it out before the visit,"Written March 6, 2016"
4.0,We stumbled on this palace on our way from Namsan Park to Gyeongbukgong Palace It costs about 2 USD to enter the palace and it is certainly worth it Spend about half an hour wandering the beautiful grounds,"Written March 6, 2016"
4.0,Easy to reach by metro Buy a combination ticket for all the palaces and jongmyo for 10000 KRW Ther is a small empire museum in the basement the larger palace museum is only open for guided tours The changing of the guard is a nice show to see Most of the action takes place outside the Palace ground in front of the main entrance so better try to be outside than inside to see the ceremony,"Written February 28, 2016"
4.0,Unfortunately we missed the changing of the guard but its a beautiful palace for sure Definitely worth going to even in the dead of winter I recommend it,"Written February 19, 2016"
5.0,The palace complex is a wonderful place to roam around The main throne room has a decorated ceiling that is really intricate detailed and colourful Many other buildings also add to the understanding of how court life must have functioned To see all of the buildings be prepared to spend the whole day,"Written February 19, 2016"
5.0,Exclusive and free experience that you can watch in front of the palaces gate Just curious that some performer are westerner dressing in an old traditional Korean guard uniform I found it a bit strange,"Written February 12, 2016"
4.0,I was there after visiting the Art Museum and I watched the changing of the guards at 11 am It was quite an experience with all the marching and drums performance,"Written February 11, 2016"
5.0,As it was quite near our hotel this was first We chanced upon a Changing of the Guards ceremony and it was quite interesting and the colors were fascinating We toured during the MERS scare and there were not a lot of tourists around Our photos were quite nice as it appeared like we were the only ones around its a small palace and its something you can quickly finish up in an hour or two,"Written February 9, 2016"
4.0,This palace is an ocean of serenity in the middle of a very busy part of Seoul and while the palace deserve a visit as it is the change of guards is a fantastic sight to see great and a fantastic recreation of Korean history,"Written February 2, 2016"
5.0,Stayed about 2 hours which about tested the limits of a 3yo Nice microcosm to see what a Korean palace is like without having to travel too far and having to feel obliged to walk the extensive grounds of a bigger palace like changdeokgung,"Written January 29, 2016"
4.0,We choose to visit Deoksugung because of its size We would like to be able to tour the ground and thought that Gyeongbok and Changdeok is too much for our group of elderly and small children to walk through and cover all  We arrive exactly as the changing of the guard ceremony is about to start at 11 am and lucky enough to find a booth in front of the main gate that offer services of young korean student for a free tour to tourist They were official and looked very professional with their orange uniform and obviously they get the support from the local govt The purpose is to practise their english with foreigners and to learn more of their own culture which I thought were very nice  Sara our guide was only 14 years old about the same age as my eldest daughter thus they were instantly having a girl talk  she showed us around the palace complex stopped every now and then to explain about the buildings and their history  The complex also has a museum but we choose not to go in so cant comment on that one,"Written January 28, 2016"
3.0,The guard changing was interesting tradition passed down though generations guards in traditional clothings martial art demostration Theres a carpenter outside the wall Need to buy tickets to enter premise More of preserved architectures for photography Not for wet weather,"Written January 24, 2016"
5.0,I recommend everyone to see the guard changing ceremony It is pretty fascinating They are actors but it is nice to see the tradition is still preserved There was yellow booth set up beside the entrance so you can try hanbok or traditional Korean clothes for free and get to take pictures with the guide while wearing it I recommend to get the free volunteer guide before you get in Ours was a high schooler with excellent English and he gave a lot of good explanation and insight of the palaces and Korean culture I love how the public restroom was warm and has heated water Got to escape the coldness outdoor for a little bit,"Written January 18, 2016"
4.0,located near the city hall good to walk around and see korean palace Convenient access but nothing much to do there,"Written January 16, 2016"
