,¿Ã∏ß,∫∞¡°,∏Æ∫‰,≥Ø¬•
99,FannyNow,4,"It?ôs a Traditional market with food and souvenirs, Kids clothing, matured ladies clothing, lots lots products, very cheap price if compare the underground street. Walking distance from Mengdong. Suggest to go at day time, shops will close at night.","Written June 28, 2019"
100,Linda K,3,"It's a market . . . many stores sell the same merchandise all at the same prices . . . lots of junk, very little treasures . . . food stalls which are mostly less than appetizing (and some with very questionnable hygenic practices) . . . and less appealing on a hot,humid, odiferous day than on a cooler, less smelly day. So, you either love it or you hate it -- it's an individual preference.","Written June 24, 2019"
101,dianne c,2,"We visited in the afternoon and there were lots and lots of stores that sell similar stuff. They sell clothes, shoes, souvenirs, kpop merchandise... the prices were more or less the same but some were cheaper. We did not spend much time there though since the place did not look appealing (it may have looked more alive at night) and it is easy to get lost. If you want to shop for souvenir, this could be a good place to go.","Written June 23, 2019"
102,Suriana Y,3,"Much talked about this site thus the need to venture it. Indeed there are lots of shops/stores to venture but it was not my forte as I dont really like crowded area and confusing lanes. Maybe, I am not prepared for it. However we did some shopping here and as soon as we are done, we took off. No doubts there are loads of stuff selling here. Some might enjoy it thou.","Written June 23, 2019"
103,vagabondginger,3,"This is the oldest and largest traditional market in Korea. It is spread out over many blocks with about 10,000 vendors. Nowhere else in Korea can you find such an array of items. It was an interesting place to wander through even without buying anything. And it's named for the Namdaemun South Gate nearby which I visited also while in this area.","Written June 17, 2019"
104,Lottelli,4,This is a huge market selling different items. There are some maps saying which street sells what but we just took a wonder around. We saw a lot of shops selling shoes or hats or phone accessories. There was also a home-wear section. Some shops selling Korean souvenirs. We visited a second time as I really wanted to try a corn dog and there was a whole row of venders I think it was near gate 4 (if from here you walk down into the centre of the market). We also got some Korean sweets and found a postcard!,"Written June 16, 2019"
105,lyn,3,"The amount of shops were lesser and less touristy as compared to Myeongdong. There were, I think, more food stalls though.","Written June 15, 2019"
106,tay c,1,"Majority of the clothings sold are very dated. Good for shopping of children clothings but not adult. Some vendors there are pretty unfriendly too. Pricing of souveniers are either the same or higher than what you can find at express bus terminal shopping area. I would suggest not to waste your time to make a trip here.  Yes there are many stalls there but if you are looking to buy clothings, 95% of the shops are selling extremely dated clothings, after taking out food & beverage stalls, only 2% are worth a look, but pricing is higher than what you can get elsewhere. Truely a total waste of time.","Written June 14, 2019"
107,Mike M,1,"Maybe it was because I visited Nandaemun on a weekday evening, maybe it?ôs because I?ôd just come from Taiwan where the night markets are world-renowned, but this is a very unremarkable market selling a limited selection of food.  Besides fixed shops offering baked goods and pigs??feet, there are stalls selling skewers which average about 3,000-5,000 won. Each stall sells almost exactly the same selection at almost the same price. There are alleyways off the main streets in which you can find sit-down restaurants selling the usual Korean fare - bulgogi, noodles, cuttlefish etc. I went into one of these and had spiced cold noodles with boiled egg.  From the stalls I had rather some chewy octopus skewers and average chicken skewers, some bland fried shrimp and a nondescript sugared dumpling. I wouldn?ôt repeat the experience.  Overall I was really disappointed. Having lived in China I came expecting a high standard of street food but this was nothing to write home about. I have seen much better markets in very rural areas of other parts of Asia, so I was surprised at just how uninspiring this one was given that Seoul is such a large and international city. In fact I would venture to say it?ôs the worst market I?ôve ever been to.  As for the products for sale, they are primarily Supreme imitation hoodies and other paraphernalia, and trinket shops. I can?ôt say I find that kind of thing interesting but if you do you might enjoy that side of the market.","Written June 12, 2019"
108,Robert D,3,There were some good bits to visiting Namdaemun markets . We didn?ôt see the deep fried baby crab anywhere else and the dumplings were excellent. The busy hot and narrow food alleys with kitchens along the walkways were a sight to see if not too enticing to eat at. Nevertheless I thought the Gwangjang Market had much better food quality and variety and the Myeongdong street stalls had much more atmosphere in the evening so if you were time pressed I?ôd do these first.,"Written June 10, 2019"
109,doctorse7en,4,"Namdaemun Market is quite a large place, selling a variety of products - clothing, bags, food, etc. If you want something cheap, best come here instead of going to the department stores. Also lots of places to sit down and have a coffee or snack.","Written June 9, 2019"
110,Jennifer D,4,Plenty of shops selling so much stuff- even if you don't wish to buy this is an interesting market to visit. Lots of areas to get lost in. Lots of atmosphere.,"Written June 8, 2019"
111,L Jam,1,"Nothing much to see or buy. Within 10 minutes, we left the place for good. Will recommend if you are interested for photo taking.","Written June 6, 2019"
112,ThePackedBag,4,This busy market is a great place to get souvenirs and really anything you could possibly need. Grad something on a stick to eat and wander round.,"Written June 6, 2019"
113,Tom T,4,We happened on Namdaemun market by chance on our first night in Seoul and wandered up and down the stalls which varied from the mundane (cheap tea-shirts and nick-nacks) to the fascinating - preserved ginseng roots and pigs trotters. There were several street food stalls including one stall with delicious dumplings and soft pork rolls.  Small lanes run off to the left and right lined with small shops and stalls. Whilst there were a few tourists like ourselves we were outnumbered by locals. Well worth exploring.,"Written June 5, 2019"
114,queksuping,1,"Went during lunch hour under the hot mid day sun. The market in general is covered but the stores are quite cramped and it gets pretty heated. Was looking for the counter seats eating area like in Gwangjang Market, but walked a few rounds and still cannot find it. Ended up in some mediocre Korea ?úrestaurant??that sells a range of Korea food. So they say jack of all trade master of none, the food was not fantastic and they expect one main dish per pax. If you are there, please walk into a small alley which u see ppl queueing for grilled fish and steam egg. May be a better choice for authentic Korea food.","Written May 28, 2019"
115,argerich1,3,OK Market full of tat. If you like fake supreme stuff you will be in heaven. Some OK street food but otherwise I'd skip this bit of town!,"Written May 28, 2019"
116,jolav12,3,Very crowded market with lots of different shops selling the exact same stuff as all the other markets. They seem to have a high demand on phone cases in this country. We had very nice heotteok here.,"Written May 27, 2019"
117,Margareth T,3,I love Namdaemun more than Myeongdong because the goods and the foods here are cheaper. But the market is a traditional one so it's a little bit dirty and crowded.,"Written May 27, 2019"
118,JetsettinDiva08,2,"I didn?ôt particularly care for this market. Too much cheap stuff in jam packed spaces and hoards of people. People rummaging through clothes scattered across tables, cheap knock off handbags, tee-shirts, etc. I did enjoy delicious bibimbap at a small restaurant nestled just beyond the cinnamon donut street food vendor. A lovely owner who stirred my food for me and was so very kind. I preferred Myeongdong neat LOTTE and Dongdaemun neat JW Marriott and Doota.","Written May 26, 2019"
119,HPM52,4,Typical Asian market. Very nice to visit and get an impression of how people live eat and dress. Every time we are in Seoul we visit this place.,"Written May 25, 2019"
120,Todd Z,3,"If you are in Seoul, you definitely need to check out their markets. It is organized chaos and something to behold. All manner of food stuffs (although seaweed seems to predominate) and ready to eat street food vendors. One of my guides indicated there were some 27,000 retailers here. All small shops. The quality seemed good for the most part. It was fun to get a little container of fried crabs and just walk around munching and seeing the various wares. Beware though, there are very few garbage cans so be prepared to carry your empty containers for a while. All the items are quite cheap. The crabs were 5000 won (about $5 USD) for a big tub. It is just a short walk from the main Seoul Railway station along the elevated walkway, the 7107. There are other shops selling clothes, tools, and souvenirs as well.","Written May 22, 2019"
121,forestenergy,4,"This market is worth a visit. Many curious things are traded here. For example there is s shop that sells gift packaging materials, so if you are looking for a special wrapping for a gift this is the place.","Written May 21, 2019"
122,Nanums,4,"Remember this is not the Galleria Mall here...we are talking huge quantities of cheap mass produced items. They have. clothing, furs , suitcases, food (massive food market starts at 4:00). Look for the candy vendor that makes candy from cornstarch. They insert a filling that tastes like a snickers! No kidding. Easy to take home and they last for weeks. Good for GF folks","Written May 20, 2019"
123,flamby57,1,"Went there for street food but it is almost inexistant and scattered all around the huge market. If you are after something similar to markets in Thailand, this is not the place","Written May 20, 2019"
124,JBchina,4,Enjoyed the street food. Deep fried baby crabs especially. The shopping is not very interesting but still worth looking at. A good place to find very local food,"Written May 18, 2019"
125,Nic,5,This is a great market to visit although very very busy! It was very interesting walking around looking at all the stuff people sell!,"Written May 16, 2019"
126,DavidG897,3,Saw a myriad of stalls and large numbers of shoppers but was disappointed by what seemed to be quite average items being sold,"Written May 13, 2019"
127,Crystal J,4,"It?ôs a great market, just be prepared to do a little digging. Found good deals on shirts, scarves, every day use kinds of items.","Written May 11, 2019"
128,jeonsk85,5,I visited Namdaemun. I could feel the traditional market of Seoul. The grilled fish restaurant inside Namdaemun was delicious. I recommend it. It was nice to walk to Myeongdong after eating at Namdaemun restaurant.,"Written May 9, 2019"
129,Piashi,5,..its a good place to buy some item for gift..its cheap and all items is there..you just need to keep looking for it..,"Written May 8, 2019"
130,K1 R,5,"It seems as though every time I find myself in Seoul, I find myself at Namdaemun Market. I love this place especially if you know what to look for. They offer cheap prescription sunglasses to affordable brassware. The weekdays are the best time to go here as the weekends are crazy packed and it's difficult to even walk in the streets. If you haven't been, check it out!","Written May 7, 2019"
131,Jbh,3,Food and clothing stalls in the middle of the road and stores along the street. Place for cheap clothes and local food.,"Written May 7, 2019"
132,Bogwoman,5,This Market was very close to my hotel so I went down several times in the evening Lots of street food on offer it is very vibrant with lots of different people sending different types of things from pot scrubbers to jeans to three piece suites and more. Very interesting experience well worth a look,"Written May 3, 2019"
133,Maj F,3,"I believe this place is cheaper than Myeongdong, but not as interesting. You can go here if you want to shop at a really low price. We were able to buy a lot from here, and most of our souvenirs came from this market.","Written May 1, 2019"
134,David D,4,"Namdaemun Market is a must when visiting Seoul. Nighttime visit is a lot better than during the day. My wife always finds several things to buy every time we visit. Remember where the restrooms are, sometimes they are hard to find. Tourist information teams can be found throughout the market. They will be dressed in all red. They have free maps of Seoul and the market in English. No need to dress up for the visit.  My favorite are steamed pigs feet. The vendor will a small bag containing onions, sometimes garlic and one or two other items that compliment the feet. I always get a couple to take back to the hotel room.  Recommend wearing of tennis shoes because you will definitely be doing some walking.","Written April 27, 2019"
135,Canadian Globetrotter,5,This is one of the largest traditional outdoor market in the middle of Seoul. Varieties of foods and goods are endless here. Love tasting some quick snacks from street vendors location in central part of the market alley. It still retains its charms from bygone era of shopping from old time.,"Written April 26, 2019"
136,MOmommyof4,4,Lots of fun with so many different shops! Don?ôt miss out on the socks! So many choices! A fun environment!,"Written April 25, 2019"
137,M. Lee,4,"We visited Namdaemun Market right as the sun went down, so I'm not sure if some of the stores were getting ready to close for the night, but we still found some awesome deals. My friend bought a cute winter jacket for $5!!! We bought some toddler hanboks for W35000, which is pretty reasonable.","Written April 24, 2019"
138,Wangtshuk,4,"We stayed in Tmark Grand Hotel just opposite this market and my wife went crazy shopping in here for clothes for our daughter, so many stalls to choose from, so many new and stylish clothes for our kid. Bring lots of cash or stick to a budget, try getting some discount and it works sometimes.  In the evenings there are many food stalls selling all kinds of snacks so you will never go hungry.","Written April 24, 2019"
139,Ben,4,"Do go to the information booth to get a map of the place first so that you can plan which section to explore. Good for buying cheap clothes, currency exchange with attractive rates. We came here to buy children's clothing.","Written April 22, 2019"
140,MFC31,3,"We came here on a Friday night and it wasn?ôt anywhere near as hustling and bustling as we expected. It was around 8pm and most stalls were winding down. A few tourists were around, but we didn?ôt get the buzz a lot of the other reviews mention. We found a quiet restaurant for dinner and then left. During the day I can see this being an incredible atmosphere!","Written April 20, 2019"
141,carisa23,3,Namdaemun is a shopping area which is overwhelming. While it is conveniently located and shops are inside airconditioned buildings seeing so many stalls one after the after from one floor to the other can be overwhelming. But the goods sold are definitely cheaper and you could probably find some good bargains.,"Written April 19, 2019"
142,Mercedes V,5,"You're looking for souvenirs, local items made in Korea, Namdaemun market is the place. I bought some of their local snacks like dried fruits and vegetables, sweet potato chips, and many other kinds of flavour. We got free bag of mix veggies and fruits chips for each item I bought, great deal. Namdaemun is one station away from Myeongdong.","Written April 19, 2019"
143,AnnaWong5,5,"This place full of cheap stuff, such as souvenirs, clothes, etc. And sometimes, the seller will give you some bonus. There's a lot of street food too.","Written April 18, 2019"
144,See K,5,I'm not sure if anyone knows how many stalls there are in Namdaemun Market! The street food stalls are interesting and it's worth trying a few to get into the spirit of things. They have a fried pancake which is then stuffed with either meat or vegetables that is absolutely delicious. The steamed dumplings with either pork or kimchi stuffing are also very good!,"Written April 17, 2019"
145,rzinger,2,"Not necessary to visit this place. So many better places to go. This market is filled with cheap t-shirt and hair accessories, knock off bags, etc. Nothing that you would go to Seoul for. If you do feel you need to go, be sure to go down some of the smaller alleys, as those are better than the main streets. Some good food stalls in the small alleys at least:).","Written April 17, 2019"
146,SeniorChief1995,1,"Place to shop for souvineers and snacks. Variety street food, fishcake, lobster tail, waffle, ice cream, and more.","Written April 16, 2019"
147,JWong2014,4,Prices don't get any lower in Nandaemun market. Traditionally they cater for wholesale but some do entertain tourist buyers.  Be prepared to use sign language as many don't speak English and jostle a bit as the alley can be quite narrow and cramp.,"Written April 14, 2019"
148,Fran C,3,"I visited this place to find a special vintage camera, there're lots of stores for that purpose near the Sungnyemun Gate. The market itself is rather messy, lots of chinese products of all kind. No good souvenirs or fashion clothes. There's a tourist info desk ot far from subway gate 5.","Written April 14, 2019"
149,tulaykaracaorenli,5,We stayed 9 days in Seoul next to the Seoul station..we asked to the hostel reception for the best price exchange..He said Namdaemun and Myeongdong back streets have better rate from banks.. That was right especially in the midpoint there were two places that have very good rate. After Seoul we went to Pusan and Jeju.. we couldn't find good rate..if you start from Korea journey from Seoul..I advice you can make all exchange in Namdaemun market.. and in that time you can eat very delicious Korean local food on the street..,"Written April 13, 2019"
150,Angelia W,3,"Shoes, apparel, souvenirs, kitchen utensils, kids clothing, handicrafts, bags, street food - you can get all of these in this huge market. There are shops in the building right next to the market as well. We went in early afternoon so the crowd is not too bad.","Written April 13, 2019"
151,ymt888,4,It is a good experience here to shop at the open air market for a variety of items such as food and clothings. There are also plenty of wholesale shops here but they cater only to businesses and does not sell to individuals. You will need time to go into the alleys to explore the variety of shops that sells household items and many other types of things. Namdaemun market is said to be the largest in Korea.,"Written April 11, 2019"
152,Rajeev57,4,"Visited on a Sunday afternoon. The place was full of activity, with shops selling everything Korean one can ask for ??souvenirs, clothes, all varieties of Ginseng and other medicines....and of course an endless choice of food. A great place for bargain hunters and those who enjoy browsing. One must have plenty of time to look around ??there is so much to see and discover. The food stalls in particular are a great attraction ??one can have a full meal just sampling the items being made at the live counters. It is on the City Tour Bus Route ??just hop off soon after you start at Koreana Hotel and spend as much time as you want, before hopping back on the Bus and carrying on.....! A great experience indeed!!","Written April 9, 2019"
153,paws678,5,Visited Namdaemum for the first time. Love the varieties of merchandise here. The market is open early in the morning. Do go early before the big crowds descend. Try out your bargaining skills. :) You can get pretty good stuff ranging from scarves to Korean traditional tableware. I came back here couple more times. Don't forget to check out the little eateries in the small alleys for the authentic local cuisine.,"Written April 7, 2019"
154,Graziosa the Traveller,5,"There are a lot of bargain souvenirs, street foods, pricey and cheap goods. 1 station from myeongdong station.many choices on different items","Written April 7, 2019"
155,York130,5,"Like any market ... a great place to find soooo many great treasures! A lot of people in the Market and so many ways to travel within the market but there are info booths to help you out and also people in red jackets in the ?òintersection??areas to help you.  And don?ôt for get to ask for a deal! A great place to buy souvenirs! Oh, and you have to try the homemade dumpling booth ... there are a few but see the pictures for the one we went to! Absolutely delicious!!","Written April 6, 2019"
156,lopa,5,"This open air market was across the street from our hotel and is mostly hidden through many lane ways , it?ôs amazing that from street side you wouldn?ôt know how much market is there until you start walking through it. Lots of good vendors but this market mostly clothes. It?ôs a must on your list. On a side note the currency exchange in this market have the best exchange rates all very good and clean.","Written April 4, 2019"
157,Camfiend,5,Anything you can buy asking interpretation staffs who walk around the market for visitors'/foreigners' help if you need their kind service as free of charge.,"Written March 31, 2019"
158,Adventure beyond imagination,3,"This market is positively rated in most guide books. From my point of view it?ôs a bit overrated. It?ôs almost the same in such markets in Asia-colourful, noisy, overcrowded.","Written March 29, 2019"
159,Steven K,5,"What a fun outdoor market. You can find anything in the market and it?ôs a lot of fun looking and haggling. It is easy access via subway, lots of great places to eat, and lots of cheap stuff to see and buy.","Written March 22, 2019"
160,ScubaDLT,4,"Of the two markets I went to, Namdaemun and Gwangjang, I prefer Gwangjang. Namdaemun doesn?ôt have near as many food stands as Gwangjang. For me, most of what was for sale at Namdaemun is junk. I didn?ôt buy anything. Still, Namdaemun is worth the time. Wouldn?ôt go again, but would recommend to friends.","Written March 17, 2019"
161,Fluffy0708,5,"not a bad market to visit, basically sell lots of clothing and the street food here are cheap. clothes are quite cheap too.","Written March 12, 2019"
162,Jay Santos,5,Weekday night is not too crowded and going here before getting dark is also a good idea to avoid the crowd.  Try the local street foods of Namdaemun.,"Written March 11, 2019"
163,Kitty N,5,Woke up in the early hours looking for some noodle in the area. Came across a small food area in Namdaemun Market that offers hand cut noodles. So yumm! Approx. 5000 won.,"Written March 9, 2019"
164,465steffaniec,5,"Namdaemun is very famous for its cheap and affordable price if you want to do shopping. They sell clothes,shoes,socks and many more!","Written March 8, 2019"
165,Ken,2,This was supposed to be an old established night market of Seoul. However we found it quite deserted with few stalls.  Our disappointment was saved some what by nice pork knuckle sold by a small Chinese restaurant located within the market.,"Written March 2, 2019"
166,H√©der I,5,"Ginseng everywhere :) If you want to see a real authentic market, do not hesitate to visit it. Recommended...","Written February 27, 2019"
167,yellowie8,4,"Although I didn't buy anything there, it's a great experience to browse the different items for sale. As I was walking around, I found the dumpling people are talking about in Tripadvisor. I bought all types of dumpling to try.....yummy! If you eat there, you can help yourself with the danmuji ( yellow pickled radish) which are placed beside the stall. There are no chairs and you have to stand and eat. Along the lanes are small restaurants. If you are adventurous, you can go in and try the local food. If you stay in Myeongdong shopping area, you can walk to Namdaemun market - less than 900 meters.","Written February 24, 2019"
168,KingTuah,4,A perfect place to buy souvenirs with bargain-able price. So many items to look at. Huge area and requires lots of walking. Must try to famous food stalls.,"Written February 20, 2019"
169,iche,5,"Some stores are closed on Sunday. But most of them are open everyday, crowd starts to fill the market around 9am. Mostly dry goods and preserved food. There are small restaurants nearby. Your ??0,000 can buy a lot of souvenirs.","Written February 17, 2019"
170,FlyfishermanBeijing,4,This area is huge and basically you can find everything there. I did not buy anything so I am not aware of prices. Area have also many nice camera shops.,"Written February 12, 2019"
171,SofyaZulkyfly,3,"This is the place to find cheap souvenirs. We had a good tour around the market, we spent some time here browsing for nice souvenirs. They sell so much stuffs here. Clothing/ accessories/ footwear/ snacks/ food. We did not try any of the food there, though some of them had Halal signs. Some sellers speak Bahasa Malaysia. Just a few Malay words. Interesting! We went there just to find souvenirs. There are other places you all should check out if you want to buy fashionable clothes, shoes, cosmetic products.","Written February 10, 2019"
172,Minskun,5,This is the opposite for the fancy and expensive shopping streets. Lots of little stalls selling all sorts of stuff in cheap prices. Couple of interesting food vendors as well. Nice to look around :),"Written February 6, 2019"
173,vitamin-k-escape,3,"We went for the night market, the only thing that attracted me is the local food restaurant street. Recommended: Pepper beef soup with rice and bimbibab Skip: Kimchi Fried Rice","Written January 23, 2019"
174,Suri H,4,"Whole sale market. Touristy but very traditional place at the same time. There would be everything you need. You can also get some cool stuff for souvenir. Calguksu street represent this place. Calguksu bibimbob nangmeonw combo is signiture meue of this place. It costs only 6,000 or 7,000 won.","Written January 22, 2019"
175,Yazid,4,Cool market. Not the modern market but the old school market selling both new and old school stuff. Lots of stuff to see and experience. Overall a nice experience.,"Written January 21, 2019"
176,MZW,4,start early. look for lengdang building for brooches and all the ladies bling bling accessories. the street are narrows and crowded with shops and shoppers. best place to change foreign currency.,"Written January 18, 2019"
177,RAGHAVENDRA K,5,"A must visit place in Seoul, this market is the largest one in Seoul covering over 16 acres. There is very thing here, be it cloths, toys, stationary or street food and a best place to buy Souvenirs for your near and dear ones. There are lot of shops specializing in selling refurbished cameras and accessories. If you are buying anything be ready to use your bargaining skills. And if you do not want to do any shopping, it is still worth visiting here.","Written January 17, 2019"
178,janeX3107RD,5,I am totally amazed by the changes through the years at Namdaemun..  In fact Namdaemun is never my top option to visit. But I have changed my mind since after experiencing the changes which took place.  Neater and easier to walk around with less grouchy vendors. More signs for tourists to locate different zones and with helpful guides in uniform around who speak several languages to assist with maps given.  Various yummy authentic food available at reasonable prices such as Hairtail Alley which is a must try.  Lovely easy connection to Seoullo7017 the pedestrians walkway from Namdaemun after all the feasting..easy going walk.,"Written January 16, 2019"
179,Waynie,5,"Wholesale market for costume jewelry,clothing,perserved item and a lot more to mentioned.I even bought raw ginseng from here ,from an old couple who runs a small shop.Should try their abalone porridge and red bean porridge.Thumbs up ,yummy !","Written January 15, 2019"
180,elinzme,4,"Lively market. We arrived around 7pm so most clothing shops were already closed. However at the street level all the little food stalls were bursting with life so we tried some of the food, some of which were rather interesting! We felt safe eating these ?òstreet food??because they fried/warmed them up on the spot. The shopkeepers were friendly too. A great experience.","Written January 15, 2019"
181,donKorat,4,We went there a few times.it is very big and sells everything from food to fashion you can eat good cheap korean food there aswell as good street food can get very busy in the evening.you have to go if in seoul,"Written January 9, 2019"
182,kadbatay,5,This is the best place to go for souvenirs and street food because it is much cheaper and less crowded than Myeongdong or other famous shopping places in Seoul.,"Written January 9, 2019"
183,FarizJaafar,5,"Come here if you want cheap gifts, t-shirts, fridge magnets, key chains etc. If you are into accessories, head to e-Lengdang 2nd floor. This is a heaven for accessories.","Written January 7, 2019"
184,Taurus_World,2,"Be careful where you eat, my daughter got a bad stomach here. She ate the round patty with vegetables inside, Try and eat the street food that is made freshly in front of you,","Written January 7, 2019"
185,Toh Angel,4,"Went there by bus number 3 from Namsan Seoul Tower, 6 stops only. Quite a big market, as went during winter month of December, too cold to stay too long. Have good kimchi buns, fish cakes soups & food Valley with seatings to eat in comfort. Many shops to see, can bargain a little if buy more. Not all welcome bargains.","Written January 3, 2019"
186,Erico2709,4,"When you start walking into the market, for those who have been to Bangkok Chatuchak market, there is a sense of deja vu. This place similarly has different section for clothing, accessories, etc. You must look for their food alley which serve very local food. Compared to BKK, this market is slightly more spacious so one won't feel as claustrophobic.","Written December 29, 2018"
187,Jackiegh,4,We happened across this market while searching for a restaurant. It was a fascinating place to wander.,"Written December 29, 2018"
188,SusanneI-H,4,Thoroughly enjoyed strolling around this area and we bought some lovely souvenirs at the handicraft center. From crane bird boxes to Korea fridge magnets and chopstick-holders ?? Did not yet find a great place to eat local food but we?ôll try again tomorrow!,"Written December 28, 2018"
189,Andrew Goh,3,"Actually a typical local market that people here to look for bargain. Sometime you may not get a good bargain either as you must know how to bargain. Lots of clothing, shoes, food and food stuff. Nothing special but is enjoyable to walk around and enjoy the atmosphere. One of the stall that selling the hot steam bun is really good.. Long queue and prepare to wait for your food.","Written December 26, 2018"
190,John F Gladstone,2,"Okay market, but same thing over and over again. Gave 2 stars for the food only, great Korean BBQ. Okay experience just to tick the box, but you get the gist of it after 20 minutes.","Written December 13, 2018"
191,Wiston T,4,An interesting Korean mixed goods market to visit when in Seoul. You can bargain for affordable products from clothings to food items from Korea,"Written December 12, 2018"
192,Christine HM Cheng,2,"I read about good review of Namdaemun Market. But for me, as a shopper for good value stuff, this place is not great. Yes, plenty of shops and many many choices. But it's mainly for reseller. I stopped by one of the store and wanted to find out the price. The sales lady asked me if I'm a seller. I gave up and walked away.","Written December 11, 2018"
193,ginapacino,5,"I knew I wanted to spend the day at one of the famous markets, they are so fun, loud, interesting, and you get a true sense of the culture from meeting the street vendors and trying all the exotic dishes. This market in particular I was told is the biggest one in all of Seoul, my friends and I spent nearly five hours there and feel like I barely covered a small section.","Written December 11, 2018"
194,lensgreenberg,5,"There is nothing you can not find in the market. It extends for blocks on end. Street vendor food is great, especially the hoteok and there is lots to buy and bargaining is part of the fun.","Written December 10, 2018"
195,fire-tower,4,"We arrived in the early evening on a Monday, and noted that some of the shops on the peripheral were selling produce that locals were buying. Walking along the vibrant streets in Namdaemun Market, you will see many shops selling souvenirs, clothing, etc, as well as street stalls selling local food. Worth a visit to see a street market in Seoul.","Written December 10, 2018"
196,1Ming,2,"i wanted a place to buy traditional foodstuff like ginseng, mushrooms and fruit. This was a mistake. I should have gone to the one at Jegidong when I last visited 3 years ago. This one, though nearer the city, sold mainly expensive fake toys and clothes. It is massive, with many 'gates' but each selling similar products. A total waste of time.","Written December 10, 2018"
197,frances292015,5,"Good to come in the day as you can catch many good deals in the many stores here. Fresh food sold in the Market, stationary stores , great gift giving ideas all in this one place- a whole sale centre where you can buy almost anything including costume jewellery, wedding gifts, korean handicraft souvenirs etc","Written December 9, 2018"
198,david g,4,"We enjoyed the assorted food stalls - interest and different Korean fare. The shops offer a variety of clothing, luggage and other items, some, like tools, for locals.","Written December 8, 2018"
199,Brenda,5,"Cheaper souvenir and more choices. From keychain, mirror, pen, shirts and many more. Compare to Myeongdong Market. Can find halal Kebab within walking distance from the Namdaemun train.","Written December 5, 2018"
200,Seoul_Expat16,3,Namdaemun is a market that mostly sells clothing. There are a few other types of shops sprinkled in but the majority are clothes and shoes. The quality is similar to what you can get in the underground subway shopping but prices are higher than what you will see at the subway shops.,"Written December 2, 2018"
201,MG1661,5,The place where one could buy cheaper souvenirs than elsewhere. Grab anything that is cheap here as I regret for not buying much from here,"Written December 2, 2018"
202,Angela L,4,"Went on a Sunday late morning.  Seems like some of the alleys are not opened. An alley called the accessories alley is totally quiet and empty, the pushcarts are all covered up and the shops are not opened. However the Main Street is busy, with all the food stalls selling the different local food items. Many of the pushcarts are selling the same items but some are more patronised than others. Even if you dun know how to order/eat, just observe the locals and follow what they do.  Besides food, there are many stalls selling imitation branded stuff. Some are such bad fakes- the words Tommy Hilfiger printed on a hoodie with another Brand?ôs logo. Reminds me of night markets in Bangkok.  Have yet to explore the Kulguksu lane and the fish lane, but both looked busy.","Written December 2, 2018"
203,Northstar31200414085,4,We were able to walk here from our Hotel Manu using the Seoullo 7017 elevated walkway and an elevator down to street level. We found it to be much cleaner that the public markets in the Philippines and also a wide variety of street food and small eateries. We had some hot Korean Soup in one of them which was OK although we had to just look at pictures and point since nobody spoke English there. There was some fruit at an outlet on the sidewalk which I couldn't identify... it might have been figs.. which we probably should have tried but didn't. We actually wanted to spend more time in this place but it started raining so we didn't want to get any more wet and hadn't brought out umbrella.,"Written December 1, 2018"
204,Helen Eu,5,"I love this market, lots of good food. Things to buy for soveniers and nicely located near the metro Hyeon, exit 4 and 5. You won't go wrong in coming here. There are guides to help you around if you are lost. Love it so much that I even came for a last walk on my day of flying off before I checked out from my guesthouse. Wonderful place","Written November 27, 2018"
205,LoveToTravel,4,"I went in the morning when the shops and stalls were just opening, and it wasn't too busy. I'd recommend in the late afternoon and at night when its crowded and hustle bustle. It would add to the atmosphere and excitement of the huge market.  The market seemed to be orderly, with womens clothing grouped together, electronics all in one area, children's items in one area, etc. So there is some order to the market!  I recommend just wandering down the allies and exploring without a plan. Please keep in mind there is no English to be found, so bring your guide map! There were 2 young girls wearing red information vests who spoke wonderful English to your destination and provide you maps.  Definitely go to this market! There's a great feeling here and you can pick up anything and everything you could possibly think of and need.","Written November 26, 2018"
206,Ev V.,5,"Great place if you are a foodie and love to explore local food at its simplest. Plenty of choices to eat tasty and inexpensive specialties for which the best recommendation is the fact that locals really do eat here. And once you filled up your belly, you can dive into shopping of food and other goods souvenirs, as Namdeaemun is not only a food place.","Written November 23, 2018"
207,195travelingsil,5,"If you enjoy a bazaar atmosphere, this is for you. Indoors and passageways full of men, women and children wear, custom jewelery, items for the house, you name it, is here. Even several Christmas shops. There are wholesale only shops among the offerings but they will tell you if you happen to walk in one. Plenty of food stalls to maintain the energy.","Written November 18, 2018"
208,Owain L,5,"Everything you could possibly need is available in this incredible market. From army clothing to jewellery, fish to bedding. Get a map from one of the friendly guides and just follow your nose and experience the authentic Korean market. Granted there?ôs a lot of tat on the stalls but there is in any market. I would recommend seeing the fish part of the market, and the food stalls. At the end of our walkabout, we saw this food cart with a queue. As everyone in the queue was Korean, we thought it must be good so lined up not knowing what exactly they were queuing for. 15 minutes later we bought two deep fired veggie pancakes for 2,000 KRW - about ¬£1.40. We walked up to Sungnyemun Gate and tucked into them. They were absolutely fabulous.","Written November 17, 2018"
