,Unnamed: 0.1,index,Unnamed: 0,북촌한옥마을부정단어리뷰,index.1,단어,번역
105,105,105,2657,"Bukchon is gorgeous and very atmospheric. Weekdays are uncrowded, and it's possible to go inside some of the old houses - some for free. I really recommend a walk around.",105,inside,북촌은 화려하고 매우 분위기가 있습니다. 평일은 붐비지 않으며 일부 오래된 가옥 내부에 들어갈 수 있습니다. 일부는 무료입니다. 산책을 정말 추천합니다.
106,106,106,2658,"while other corner of Seoul is hype and crowded, full of cafe and make up store and fashion, this corner is very silent and the house are still well kept in Korean traditional houses. this village is still so pure and people still living inside the house so be aware to not just enter and photograph, since there is some rules for photographing people in Korea please ask permit when you want to photograph them in their house. the houses is all private and some houses offering courses on Korean traditional drink 'soju' making, knotting, painting etc. the great thing is we can go to observatory, its on the hill part of Bukchon and held by old lady, from 3rd floor we can better view this whole village with palace on the background.the place offer green tea and coffee, in winter this is the warming station after freezing discovering korean tradition. :)",106,inside,"서울의 다른 한 구석은 카페와 메이크업 매장, 패션으로 가득 찬 과대 광고와 붐비는 반면, 이 구석은 매우 조용하고 집은 여전히 ​​​​한국 전통 가옥을 잘 간직하고 있습니다. 이 마을은 여전히 ​​깨끗하고 여전히 집 안에 살고있는 사람들이 있으므로 한국 사람들을 촬영하는 몇 가지 규칙이 있기 때문에 집에 들어가 사진을 찍지 않도록주의하십시오. 집에서 사진을 찍고 싶다면 허가를 받으십시오. 집은 모두 개인이며 한국 전통 음료 '소주'만들기, 매듭, 그림 등의 과정을 제공하는 집도 있습니다. 좋은 점은 전망대에 갈 수 있다는 것입니다. 우리는 배경에 궁전이있는이 마을 전체를 더 잘 볼 수 있습니다. 녹차와 커피를 제공하는 곳, 겨울에는 한국 전통을 발견 한 후 온난화 역입니다. :)"
107,107,107,2675,"To get there, you need to get the subway to Anguk and follow exit for the village, once out keep walking straight and you can't miss the masses the tourists. The place itself is beautiful and have breath taking views. It was a nice change from the hustle and bustle of Myeongdong and there are several street food places jotted around the outskirts if the village, wifey would recommend the pasty that looks like a fish on the outside and red bean on the inside!",107,inside,"거기에 가려면 지하철을 타고 안국으로 가서 마을 출구를 따라가야 합니다. 나가면 계속 직진하면 많은 관광객을 놓칠 수 없습니다. 장소 자체는 아름답고 숨이 멎을 듯한 전망을 가지고 있습니다. 북적북적한 명동에서 벗어나 좋은 변화였고 주변에 길거리 음식점이 몇 군데 군데군데 있어서 마을 아내가 겉은 생선처럼 생긴 떡, 안은 팥을 추천할 만하다!"
108,108,108,2696,Enjoyed walking through Bukchon. The houses are traditional and historical but are occupied and updated in terms of front and garage doors. Would love to see inside the homes. Walked past one where the owner was installing an outdoor light fixture and could see the modern conveniences through the open gate (yes; I was looking). Fantastic view at the top of the street. Stand on top of the cement clock/cornerstone at dusk. Beautiful! Loved the character and feel of the neighborhood. Worth a look!,108,inside,"북촌 산책을 즐겼습니다. 집은 전통적이며 역사적이지만 정문 및 차고 문 측면에서 점유되고 업데이트되었습니다. 집 내부를 보고 싶습니다. 주인이 옥외 전등을 설치하고 있는 곳을 지나서 열린 문을 통해 현대적인 편의 시설을 볼 수 있었습니다(예, 찾고 있었습니다). 거리 꼭대기의 환상적인 전망. 황혼에 시멘트 시계/초석 위에 서십시오. 아름다운! 이웃의 성격과 느낌을 좋아했습니다. 볼 가치가 있습니다!"
109,109,109,2711,"The name ""traditional Korean village"" had me imagining a model village for tourists to see what traditional style Korean houses look like. However, upon arriving at Bukchon, it turned out to be a neighbourhood that happen to have a lot of traditional style Korean houses with real, live, living inhabitants in them. There are signs along the narrow roads asking tourists to keep their voices down and no photos inside the residences out of respect the the privacy of the owners. A couple of the houses actually will give you a guided tour of the interior at a fee. We didn't do that, so just walked along the lanes and looked a the houses from the exterior. The neighbourhood is on a hillside and so a lot of places it's quite steep. You do get a good view at certain points though and there are some cute shops, cafes, and restaurants tucked in unexpected places. We happen upon a little cafe that was so cute. The shops etc. are not in the same area as the traditional houses though. We wandered beyond them but I couldn't say exactly in which direction. We ended up down by the main streets and close to Gyeongbokgung Palace. The houses were pretty from the outside but I don't know if it alone was worth the trek. The view down below and the nice walk was good though.",109,inside,"'한옥마을'이라는 이름은 관광객들이 한옥의 모습을 볼 수 있는 모형마을을 상상하게 했다. 그러나 북촌에 도착했을 때 그곳은 우연히 실제 살아 있는 주민들이 살고 있는 전통 한옥이 많이 있는 동네라는 사실을 알게 되었습니다. 좁은 길을 따라 관광객들에게 목소리를 낮추라는 표지판이 있고 주인의 사생활을 존중하기 위해 숙소 내부 사진은 금지되어 있습니다. 실제로 몇 채의 집에서 유료로 내부 가이드 투어를 제공합니다. 우리는 그렇게 하지 않았으므로 그냥 골목을 따라 걸으며 외부에서 집을 살펴보았습니다. 동네가 산비탈이라 경사가 심한 곳이 많다. 그래도 특정 지점에서 좋은 전망을 볼 수 있으며 예상치 못한 장소에 귀여운 상점, 카페 및 레스토랑이 자리 잡고 있습니다. 우리는 너무 귀여운 작은 카페를 우연히 발견했습니다. 상점 등은 전통 가옥과 같은 지역에 있지 않습니다. 우리는 그 너머를 헤매었지만 정확히 어느 방향인지는 말할 수 없었습니다. 우리는 주요 거리와 경복궁에 가까워졌습니다. 집들은 밖에서 볼 때 예뻤지만 그것만으로도 트레킹할 가치가 있었는지 모르겠습니다. 아래의 보기와 멋진 산보가 좋았다."
110,110,110,2713,"If you like ancient architecture and buildings, you will enjoy the Bukchon Hanok Village. Don't except too much as you can only admire from the outside and not the inside as it is the actual residential area. There are also signs for you not to disturb the resident. Fair enough. Still nice to go and have a look, but I wouldn't say it is a must go.",110,inside,고대 건축물과 건물을 좋아한다면 북촌 한옥 마을을 즐길 수 있습니다. 실제 주거 지역이므로 내부가 아닌 외부에서만 감탄할 수 있으므로 너무 많이 제외하지 마십시오. 거주자를 방해하지 말라는 표지판도 있습니다. 그럴 수 있지. 그래도 가서 구경하는 것은 좋지만 꼭 가봐야 할 곳은 아니라고 말하고 싶습니다.
111,111,111,2725,"If you want to see small houses on a very steep hill with lots of time to kill, here is a suitable place. This used to be a rundown and cramped lower middle class area which failed to draw attention by the destroy-anything-old syndrome of the 1970's and 80's building craze in Seoul. Most of the grand mansions down below on more habitable flat ground were long gone even before that period. Now there are only two homes worth mentioning in the area. One belonged to former President Yun--a 99-unit home in traditional Korean style. The other is at the summit of Bukchon--a genuine Victorian home. In any case, both homes are privately owned and not open to the public.  The small houses in Bukchon are also privately owned and are not possible to visit inside. Those few that are open to the public, you have to pay an entrance fee! Why on earth would anyone be interested in visiting a claustrophobic home that somehow avoided demolition decades ago? Bear in mind, they may be well-maintained now but are not homes built two, three centuries ago. It is shameful and embarrassing that there isn't a single area of grand old residential homes surviving in Seoul.  If quaint charm is what you are looking for, try Hannoversch Münden in Germany with homes more than 600 years old. Or Dinkelsbühl. Or San Gimignano in Italy. A bigger city? Try Florence. Bigger? There is always Paris.",111,inside,"죽일 시간이 많은 매우 가파른 언덕의 작은 집들을보고 싶다면 여기가 적합합니다. 이곳은 1970~80년대 서울의 빌딩 열풍이 불던 '아무거나 낡아빠진' 신드롬으로 주목받지 못했던 황폐하고 비좁은 중산층 지역이었다. 거주하기 쉬운 평평한 땅 아래에 있는 대부분의 대저택은 그 기간 이전에도 이미 오래 전에 사라졌습니다. 이제 이 지역에서 언급할 가치가 있는 집은 단 두 채뿐입니다. 하나는 윤 전 대통령의 집으로, 한국 전통 스타일의 99세대 주택입니다. 다른 하나는 북촌 정상에 있는 진정한 빅토리아 시대의 집입니다. 어쨌든 두 집 모두 개인 소유이며 일반에 공개되지 않습니다. 북촌의 작은 집들도 사유지여서 내부는 볼 수 없다. 일반인에게 개방된 곳은 입장료를 내야 합니다! 수십 년 전에 어떻게든 철거를 피할 수 있었던 밀실 공포증이 있는 집을 방문하는 데 관심이 있는 사람이 도대체 왜 있겠습니까? 지금은 잘 관리되고 있을지 모르지만 2, 3세기 전에 지어진 집이 아님을 명심하십시오. 서울에 웅장하고 고풍스러운 집이 한 채도 남아 있지 않다는 것이 부끄럽고 부끄럽다. 기이한 매력을 찾고 있다면 600년 이상 된 주택이 있는 독일의 Hannoversch Münden을 방문해 보십시오. 또는 Dinkelsbühl. 또는 이탈리아의 San Gimignano. 더 큰 도시? 피렌체를보십시오. 더 큰? 항상 파리가 있습니다."
112,112,112,2740,If you wanna lost yourself in the hide and seek of a old village inside the city. Escape to Bukchon. First get yourself a guided map at the Bukchon cultural center then seek out the treasures. Its a maze.,112,inside,숨바꼭질에서 길을 잃고 도시 속 오래된 마을을 찾고 싶다면. 북촌으로 탈출. 먼저 북촌문화회관에서 안내도를 받고 보물을 찾으세요. 미로입니다.
113,113,113,2754,"This is a nice place to visit for a quick walk around and some sight seeing. We spend all of about an hour here, but it was nice to walk around the streets and see the old houses (hanoks) framed against the skyscrapers in the background.  There are a few hanoks that operate as tea houses and B&Bs now, so there is an option to get inside if you like (we did not).  I'd recommend not driving through here. It's tight and crowded with tourists. We saw one car get quite damaged trying to turn around.",113,inside,"이것은 빠른 산책과 약간의 관광을 위해 방문하기에 좋은 곳입니다. 이곳에서 1시간 정도 시간을 보내지만, 거리를 거닐며 고층 빌딩을 배경으로 고풍스러운 한옥을 둘러보는 것도 좋았다. 지금은 찻집과 민박으로 운영되는 한옥이 몇 군데 있으므로 원한다면 안으로 들어갈 수 있는 옵션이 있습니다(우리는 그렇지 않았습니다). 여기서 운전하지 않는 것이 좋습니다. 좁고 관광객들로 붐빕니다. 우리는 한 대의 차가 방향을 바꾸려다가 심하게 파손되는 것을 보았습니다."
114,114,114,2802,"What a time we had trying to find the place! Once there we could talk to the red uniformed guides (at tourst places around the city and always in pairs) who spoke English and were friendly. One house was available at 10,000 won to go inside but not much to see other than exteriors unless you took the invitation.",114,inside,"우리가 장소를 찾으려고 얼마나 시간을 보냈습니까! 일단 거기에서 우리는 영어를 말하고 친절했던 빨간 제복을 입은 가이드(도시 주변의 관광 장소에서 항상 쌍으로)와 이야기할 수 있었습니다. 10,000원에 내부로 들어갈 수 있는 집이 하나 있었는데 초대를 받지 않으면 외부 외에는 볼 것이 별로 없었다."
115,115,115,2809,"Nothing more than a common city block. Traditional house are all private own and you can go in to look inside. Take photo to the roof is the only option. Road is slope and deep high, not recommend for elder and small child",115,inside,일반적인 도시 블록에 지나지 않습니다. 전통 가옥은 모두 개인 소유이며 내부를 볼 수 있습니다. 옥상에서 사진을 찍는 것이 유일한 옵션입니다. 도로는 경사가 심하고 높기 때문에 노인 및 어린이에게는 권장하지 않습니다.
116,116,116,2810,"If you walk the small allies of the village, you can feel of 1980's Seoul. most of Korean ""well-living"" class used to live those kinds of houses. You can also have a look inside of Korean guest houses where many tourists stay to have cultural experiences.",116,inside,"마을의 작은 동지들을 걷다 보면 1980년대 서울의 느낌을 느낄 수 있다. 한국의 ""잘 사는"" 계층의 대부분은 그런 집에서 살았습니다. 문화체험을 위해 많은 관광객들이 머물고 있는 한국 게스트하우스 내부도 구경할 수 있다."
117,117,0,109,This village is super chill and extremely photogenic but please remember to refrain from making too much noises as they are all houses with real humans staying inside Residents probably not paid by the tourism board of South Korea but some of them put on their thinking caps Paid for an observation deck with free water in it seems like a residents rooftop haha Whats funny is later on as we explore we found a better view with no charges,117,seems,이 마을은 매우 춥고 사진 촬영이 잘되지만 모두 실제 사람이 거주하는 집이므로 너무 많은 소음을 자제하십시오. 무료 물이있는 전망대는 거주자 옥상처럼 보입니다. 재미있는 것은 나중에 우리가 탐험하면서 무료로 더 나은 전망을 찾았습니다.
118,118,1,412,"These heritage homes and streets are nicely preserved and presented. It's nice to explore and sample Korean life. It seems to be the number 1 selfie location for Koreans, hire a traditional costum, and join them.",118,seems,이 유산 주택과 거리는 잘 보존되어 전시되어 있습니다. 한국 생활을 탐험하고 맛보는 것이 좋습니다. 한국인의 셀카 1순위인 듯 한데 한복을 빌려입고 함께한다.
119,119,2,572,This seems to be the only place where you can get a sense of tradition now that Insadong has been ruined.  We wandered the alleys looking at the beautiful buildings.  There are buildings you can visit and nice places to stop for tea. A must see.,119,seems,"인사동이 폐허가 된 지금, 전통의식을 느낄 수 있는 곳은 이곳밖에 없는 것 같다. 우리는 아름다운 건물들을 보며 골목을 돌아다녔다. 방문할 수 있는 건물과 차를 마시기 좋은 곳이 있습니다. 강추."
120,120,3,661,This is a hilly part of Seoul amidst two royal palaces. Clean and safe but seems that - according to many notes on houses - the residents do not feel very happy about the many and loud tourists.,120,seems,이것은 두 개의 왕궁 사이에 있는 서울의 구릉 부분입니다. 깨끗하고 안전하지만 - 주택에 대한 많은 메모에 따르면 - 거주자들은 많고 시끄러운 관광객에 대해 그다지 행복하지 않은 것 같습니다.
121,121,4,799,All the small houses and road are very interesting. You seems to travel back in time and walk on the streets that history walk on. Just like going to Paris or other old Europe city.,121,seems,모든 작은 집과 도로는 매우 흥미 롭습니다. 시간을 거슬러 올라가 역사가 걷는 거리를 걷는 것 같습니다. 마치 파리나 다른 유럽의 오래된 도시에 가듯이.
122,122,5,860,"love this place.... the place is really huge, if you really want to visit all 8 photo spots, remember to wear your most comfortable walking shoes, winter sonata fans, the high school in which the bae yong jun and choi ji woo met is in this area as well  Too bad i went on a rainy day, and I got lost, though we holding a map and asking the locations of the photo spots from the locals, we still got lost, nobody seems to know where the photo spots located",122,seems,"이 장소를 사랑하십시오.... 장소는 정말 거대합니다. 정말로 8개의 사진 명소를 모두 방문하고 싶다면 가장 편안한 운동화, 겨울 연가 팬, 배용준과 최지우가 다니는 고등학교를 착용하는 것을 잊지 마십시오. 만난 곳도 이 지역에 있어서 아쉽지만 비오는 날 가다가 길을 잃어서 지도를 들고 현지인들에게 포토존 위치를 물어봐도 길을 잃었습니다. 위치한 반점"
123,123,6,1146,This seems to be the only place where you can get a sense of tradition now that Insadong has been ruined.  We wandered the alleys looking at the beautiful buildings.  There are buildings you can visit and nice places to stop for tea. A must see.,123,seems,"인사동이 폐허가 된 지금, 전통의식을 느낄 수 있는 곳은 이곳밖에 없는 것 같다. 우리는 아름다운 건물들을 보며 골목을 돌아다녔다. 방문할 수 있는 건물과 차를 마시기 좋은 곳이 있습니다. 강추."
124,124,7,1209,This is a hilly part of Seoul amidst two royal palaces. Clean and safe but seems that - according to many notes on houses - the residents do not feel very happy about the many and loud tourists.,124,seems,이것은 두 개의 왕궁 사이에 있는 서울의 구릉 부분입니다. 깨끗하고 안전하지만 - 주택에 대한 많은 메모에 따르면 - 거주자들은 많고 시끄러운 관광객에 대해 그다지 행복하지 않은 것 같습니다.
125,125,8,1277,There are family inside the house so keep your big mouth. The government seems to keep this traditional house in the city. I believe the owner of the house is quite rich now because the have nice car and the automatic door complete with cctv around their house. Unfotunately there were some renovations around so I need to choose another corner. There was one open house that you can stop by. There was not any furniture inside but they sell some little gifts.,125,seems,집 안에 가족이 있으니 입을 크게 벌리세요. 정부는 이 전통 가옥을 도시에 보관하고 있는 것 같습니다. 나는 집주인이 좋은 차를 가지고 있고 집 주변에 CCTV가 설치된 자동문이 있기 때문에 지금은 꽤 부자라고 생각합니다. 불행히도 주변에 약간의 보수 공사가 있었기 때문에 다른 코너를 선택해야 했습니다. 들를 수 ​​있는 오픈 하우스가 하나 있었습니다. 내부에는 가구가 없었지만 작은 선물을 팔고 있었습니다.
126,126,9,1279,"The houses are occupied, so the best you can do is just to have your picture taken in front of their doors. It seems there are workshops on some traditional stuff on the other side of the village, but for the residential area, it's just that -- lots of traditional houses. Make sure to stay quiet though so as not to disturb this residential area.",126,seems,집이 꽉 차서 집 문 앞에서 사진을 찍는 것이 최선입니다. 마을 반대편에 전통적인 물건에 대한 워크샵이 있는 것 같지만 주거 지역의 경우에는 그저 그렇습니다. 많은 전통 가옥이 있습니다. 이 주거 지역에 방해가 되지 않도록 조용히 하십시오.
127,127,10,1355,You can see alot of traditional house of korea in bukchon hanok village. The vibe is good. Remember to keep voices down as there are people living there. Wearing a hanbok to stroll around seems like a good activity.,127,seems,북촌 한옥마을에는 한국의 전통 가옥을 많이 볼 수 있습니다. 분위기가 좋다. 거기에 사람들이 살고 있으므로 목소리를 낮추는 것을 잊지 마십시오. 한복을 입고 산책하는 것도 좋은 활동인 것 같습니다.
128,128,11,1500,"As a tourist looking for interesting places to visit, this area seems to be just old houses and narrow streets.",128,seems,흥미로운 곳을 찾는 관광객으로서 이 지역은 그저 오래된 집과 좁은 골목처럼 보입니다.
129,129,12,1502,"The scenery is nice, and it's definitely quite hilly so be sure to put on some good shoes to prepare for the walk!  You can rent Hanboks from many places around (I didn't do it; but it seems to be a touristy thing to do so that you can catch nice photos)",129,seems,경치도 좋고 확실히 언덕이 많아서 좋은 신발을 신고 산책을 준비하세요! 한복은 여기저기서 빌릴 수 있어요 (저는 해보지 않았지만 멋진 사진을 찍기 위해 하는 관광지인 것 같습니다)
130,130,13,1525,"There is no bad time to come here. Day, evening, fall, spring, it has little treats around every corner and everyone seems to enjoy being there or discovering it.",130,seems,"여기에 오기에 나쁜 시간은 없습니다. 낮, 저녁, 가을, 봄, 구석구석에 작은 간식이 있으며 모두가 거기에 있거나 발견하는 것을 즐기는 것 같습니다."
131,131,14,1684,"If you're a fan of treadmills and you've been doing the climb and these streets are all yours. The scenery is beautiful and the cultural heritage is surely there. This is not a museum nor a public place, these are people homes and they live inside there. There's a lot of warning not to be noisy and appreciate the neighborhood but seems like the local teens are the one that so noisy, all the tourists from abroad. At least when we were there, are all paying respect and keep their voices down. Many girls wearing gorgeous hanbok took pictures here and there's a delicious delicacies like octopus, taebokki. And i love the perfumery there too. A must visit for sure. on the top of the road there's like a temple, but walking there is a bit tough, do use walking shoes.",131,seems,"당신이 트레드밀의 팬이고 등반을 해왔고 이 거리는 모두 당신 것입니다. 경치가 아름답고 문화유산이 분명히 있습니다. 이곳은 박물관도 아니고 공공장소도 아닙니다. 이곳은 사람들의 집이며 그 안에 살고 있습니다. 시끄럽지 않게 이웃을 소중히 여기라는 경고가 많이 있지만, 그 지역의 십대들은 모두 외국에서 온 관광객들처럼 시끄러운 것 같습니다. 적어도 우리가 거기에 있었을 때는 모두 존경심을 표하고 목소리를 낮추었습니다. 화려한 한복을 입은 많은 소녀들이 이곳에서 사진을 찍고 문어, 태복기와 같은 맛있는 진미가 있습니다. 그리고 그곳의 향수도 좋아합니다. 반드시 방문해야합니다. 길 위에는 사찰 같은 곳이 있는데 걷기가 조금 힘들기 때문에 운동화를 신으세요."
132,132,15,1710,"You can get a sense of days gone by when you stroll around Bukchon Hanok Village - A Hanok is the name for a traditional Korean house and there are some 800 of them in and around Bukchon. You have to hunt for scenes where there are no electricity lines, tourists or other modern paraphernalia for your perfect photo. You do get a sense that many of the properties have be restored with modern materials and the area seems gentrified with trendy art and food outlets in and around the village to cater for the tourists.",132,seems,"북촌한옥마을을 거닐다 보면 지나간 세월을 느낄 수 있다. 한옥은 한옥의 이름으로 북촌과 그 주변에 800여 채가 있다. 완벽한 사진을 찍으려면 전선, 관광객 또는 기타 현대적인 도구가 없는 장면을 찾아야 합니다. 많은 속성이 현대적인 재료로 복원되었으며 이 지역은 관광객을 수용하기 위해 마을 안팎에서 트렌디한 예술과 음식 아울렛으로 고급스러워 보입니다."
133,133,16,1975,"While a stroll through Bukchon Village may feel like a trip through the ages, the neighborhood is not frozen in time. Some of the hanoks are still private homes, but others have been converted into tea houses, coffee shops, cafés, art galleries, inns and museums.  Although it seems like its nothing much but I think I spent like 2 hours walking around the neighborhood. Just admiring the beautiful houses and the serenity it seems to bring being around there.",133,seems,"북촌마을을 거닐다 보면 세월의 흔적이 느껴지지만 동네는 시간에 멈춘 것이 아니다. 일부 한옥은 여전히 ​​개인 주택이지만 다른 한옥은 찻집, 커피숍, 카페, 미술관, 여관 및 박물관으로 개조되었습니다. 별 것 아닌 것 같지만 동네 한 바퀴 도는 데 2시간 정도 걸린 것 같다. 아름다운 집들과 그곳이 주변에 가져다주는 고요함에 감탄하는 것만으로도 충분합니다."
134,134,17,2033,This is an old part of Korea with the buildings preserved so it looks very nice. Yet it seems to be a tiny street and there is very little things which are uniform. hence it seems part of the charm as it is not entirely fake. A lot of tea houses etc and somewhat manicured look. A lot of museums around the area as well.,134,seems,이곳은 한국의 오래된 지역이라 건물들이 잘 보존되어 있어 보기 좋습니다. 그러나 그것은 작은 거리처럼 보이고 획일적인 것들이 거의 없습니다. 따라서 완전히 가짜가 아니기 때문에 매력의 일부로 보입니다. 많은 찻집 등과 다소 손질 된 모습. 이 지역 주변에 많은 박물관도 있습니다.
135,135,18,2207,"Actually, there are only some houses which still have Korean ancient architecture. However, it seems to me that there are so many tourists, which makes Bukchon quite crowded and I cannot feel the ancient atmosphere here. Some places require to pay money for entrance.",135,seems,사실 아직까지 한국의 고건축이 남아있는 집은 몇 채밖에 없습니다. 그런데 관광객이 너무 많아서 북촌이 북촌이라 그런지 옛 정취가 느껴지지 않는 것 같아요. 일부 장소는 입장료를 지불해야 합니다.
136,136,19,2227,"Was not too impressed, as neighborhood seems overly refurbished. Was hoping to feel the air of the Josen dynasty architecture.",136,seems,이웃이 지나치게 개조 된 것처럼 보이기 때문에 너무 인상적이지 않았습니다. 조선시대 건축의 공기를 느끼고 싶었다.
137,137,20,2529,"We just visited the Bukchon Village last week (10/Dec) and we loved it. As we went on a weekday afternoon, the place was quite deserted and peaceful. Moreover it is chilly and nice weather for a stroll around the place taking plenty of photos.. haha.. We had a nice time moving around at a leisurely pace just getting the vibe and feel of the whole place. However in order to fully enjoy this place (in my opinion), you need to be relaxed and really like looking at the different structure of the Hanoks. We were on our own Free & Easy trip so we had no time restrictions... haha.. and go on a weekday, it seems alot of ppl will visit over the weekends... I feel sorry for the residents there over the weekends with all the crowd... Anyway be prepared to walk around and take photos...  Getting there is easy: take the Line 3 to Anguk station and exit @ Exit 2. Just go straight for about 300m and there is an information booth. Take a map and walking guide and just follow the ""suggested"" route.. haha..  Have fun...",137,seems,"우리는 지난 주(12월 10일)에 북촌 마을을 방문했고 우리는 그것을 좋아했습니다. 평일 오후에 갔더니 한적하고 한적한 곳이었습니다. 게다가 날씨도 쌀쌀하고 산책하기 좋은 날씨여서 사진도 많이 찍고.. 하하.. 여유롭게 이곳저곳을 돌아다니며 분위기를 느끼며 즐거운 시간을 보냈다. 그러나 이 곳을 온전히 즐기기 위해서는 (내 생각에) 한옥의 다른 구조를 보는 것과 같이 긴장을 풀고 정말로 좋아해야 합니다. 저희는 자유여행이라 시간제한이 없었어요.. 하하.. 평일에 가니 주말에 많이들 오실듯... 많은 인파로... 어쨋든 주변을 돌아다니며 사진을 찍을 준비를 하고... 찾아가는 방법은 쉽습니다. 3호선 안국역에서 2번 출구로 나오세요. 약 300m 직진하면 안내소가 있습니다. 지도와 도보 가이드를 가지고 ""추천""경로를 따르십시오. 하하.. 즐거운 시간을 보내십시오."
138,138,21,2584,"I'm really impress with this place. Walking along this road, seems I were in Korean drama.At Gahoe-dong Alley, You can see the traditional Korean houses along with modern buildings and N Seoul Tower as the background. he traditional Korean houses are still inhabited by residents. You can catch a glimpse of residents' day-to-day life. The contrast of modern life and traditional building is the best point of this place, burglar alarms at the wall of traditional houses and modern cars.  (People who live here must be great at driving because the alleys are so twisty. I think it is really amazing ! )  You can enjoy nice and antique cafes and galleries alone the ways also.  It takes a few hours to walk all areas but it's worth.",138,seems,"나는 이곳이 정말 인상적이다. 이 길을 걷다 보면 마치 한류 드라마에 나온 것 같다. 가회동 골목에 들어서면 한옥과 현대식 건물, N서울타워를 배경으로 볼 수 있다. 그는 한국 전통 가옥에는 여전히 주민들이 살고 있습니다. 주민들의 일상을 엿볼 수 있습니다. 현대 생활과 전통 건물의 대비가 이곳의 최고 포인트, 전통 가옥과 현대 자동차의 벽에 도난 경보기입니다. (여기 사시는 분들은 골목이 너무 구불구불해서 운전 잘 하실 거에요. 정말 대단하다고 생각해요! ) 혼자 가는 길에도 멋지고 앤티크한 카페와 갤러리를 즐길 수 있어요. 모든 지역을 걷는 데 몇 시간이 걸리지만 그만한 가치가 있습니다."
139,139,22,2601,"I wonder if the old Seoul looked like this neighborhood. Anyway there are some nice spots inside but it is almost just a residential neighborhood, and it seems to be an expensive one.",139,seems,"옛 서울이 이런 동네였을까. 그나저나 내부에 괜찮은 곳들이 좀 있긴 한데 거의 그냥 주거지역이고, 가격이 좀 비싼 것 같아요."
140,140,23,2710,"this old area of seoul is full of traditional style houses, that have been well preserved and maintained. it seems that any renovation or upgrade work is strictly controlled to maintain the look and feel of the area, which is great.  it is definitely worth spending some time walking through the narrow streets and soaking up the atmosphere.",140,seems,서울의 이 오래된 지역은 잘 보존되고 유지된 전통적인 스타일의 가옥으로 가득합니다. 리노베이션이나 업그레이드 작업은 지역의 모양과 느낌을 유지하기 위해 엄격하게 통제되는 것 같습니다. 좁은 거리를 걸으며 분위기를 만끽하는 데 시간을 할애할 가치가 있습니다.
141,141,24,2760,"I want to call this area 'cute' but that seems patronizing, but I do think the old houses and buildings are quite cute. There are many new buildings in this area as well, as well as shopping and food.",141,seems,이 지역을 '귀엽다'라고 부르고 싶지만 그게 가식적인 것 같지만 오래된 집들과 건물들이 꽤 귀엽다고 생각합니다. 이 지역에는 쇼핑과 음식뿐만 아니라 많은 새 건물이 있습니다.
142,142,0,159,"Don't get me wrong the village is nice and some cool photos of the buildings etc, but its just some streets with traditional houses I didn't really get the hype and was a lil bit disappointed once we got there and walked around.",142,disappointed,저를 오해하지 마십시오. 마을은 멋지고 건물 등의 멋진 사진입니다. 그러나 전통 가옥이 있는 거리에 불과합니다. 저는 과대 광고를 얻지 못했고 우리가 거기에 도착하여 걸어 다니면 약간 실망했습니다.
143,143,1,251,We had a couple of hours and we went there Hanok village for a relaxing stroll. We were not disappointed! The old houses are super well maintained and the view of the city's skyline mixed with the old houses was breathtaking!,143,disappointed,우리는 두 시간이 있었고 우리는 편안한 산책을 위해 한옥 마을에 갔다. 우리는 실망하지 않았습니다! 오래된 집은 매우 잘 관리되어 있으며 오래된 집과 혼합 된 도시의 스카이 라인의 전망은 아슬 아슬했습니다!
144,144,2,300,"Bukchon was really the only thing I wanted to see in Korea. We went on a tour and I was quite disappointed, not by the village, but by the tour guide who rushed us through. It also started pissing it down raining. I managed to get some decent shots which I have to edit, but I could have used more time. The houses are all still inhabited and are worth upwards of a million dollars each. Although the facades are required to be preserved, the interior of the houses are all very modern and updated. There's signs asking tourists to keep their voices down, no loud pictures, music or talking. I guess some rude westerners had caused problems in the past. Anyway, bring comfy walking shoes as there are a lot of hills in the village. Bring a wide angle lens as well.",144,disappointed,"한국에서 정말 보고 싶은 곳은 북촌이었습니다. 우리는 여행을 갔고 마을이 아니라 우리를 서두른 여행 가이드에게 상당히 실망했습니다. 비도 내리기 시작했다. 편집해야 하는 괜찮은 사진을 몇 장 얻었지만 더 많은 시간을 사용할 수 있었습니다. 그 집들은 모두 여전히 사람이 살고 있으며 각각 백만 달러 이상의 가치가 있습니다. 외관은 보존해야 하지만 집의 내부는 모두 매우 현대적이며 최신식입니다. 관광객들에게 목소리를 낮추라고 요구하는 표지판이 있습니다. 시끄러운 사진, 음악 또는 대화는 금지되어 있습니다. 일부 무례한 서양인이 과거에 문제를 일으켰던 것 같습니다. 어쨌든 마을에 언덕이 많기 때문에 편안한 운동화를 가져 오십시오. 광각렌즈도 챙겨가세요."
145,145,3,362,It was like being transported back in time. Definitely a must just to observe and admire the architectural feats alone. Take the time to explore this cultural gem. You will not be disappointed!,145,disappointed,마치 타임머신을 타고 과거로 돌아간 것 같았습니다. 확실히 건축 적 위업을 관찰하고 감탄하는 데 필수입니다. 이 문화적 보석을 탐험하는 시간을 가져보세요. 당신은 실망하지 않을 것입니다!
