,Unnamed: 0.1,index,Unnamed: 0,경복궁부정단어리뷰,index.1,단어,번역
126,126,21,303,Arrived here just in time for the changing of the guard and were glad we caught it as the spectacle of the different costumes is not to be missed. If you plan to see the other palaces too get the Royal Palace pass - it doesn't save you much money but it does mean you don't have to queue up for tickets again so saves a lot of time. Lots of beautiful buildings to wander around.,126,much,경비원 교대식에 맞춰 여기에 도착했고 다양한 의상의 장관을 놓칠 수 없기 때문에 우리가 그것을 잡게되어 기뻤습니다. 다른 궁전들도 왕궁 패스를 구입하는 것을 볼 계획이라면 많은 돈을 절약할 수는 없지만 티켓을 위해 다시 줄을 설 필요가 없으므로 많은 시간을 절약할 수 있습니다. 주위를 돌아 다니는 많은 아름다운 건물.
127,127,22,307,I only had a day for sight-seeing and this was an excellent site for a sunny day. I took advantage of a free walking tour which I would highly recommend and there is not much in terms of explanations at the various buildings. Allow for 2 hours to walk around if you have a tour.,127,much,나는 하루 만 관광을 할 수 있었고 이것은 화창한 날에 훌륭한 사이트였습니다. 나는 내가 적극 추천하고 다양한 건물에 대한 설명이 많지 않은 무료 도보 여행을 이용했습니다. 투어가 있는 경우 2시간 동안 걸어보세요.
128,128,23,334,"While this palace complex is similar in layout to the Forbidden City in Beijing, it is much smaller and less grand. If you visit on the hour you can see the changing of the guard ceremony. The costumes reflect the period when this was the Korean capital. This ceremony was worth the visit alone.",128,much,이 궁전 단지는 베이징의 자금성과 레이아웃이 비슷하지만 훨씬 작고 웅장하지 않습니다. 정시에 방문하면 근위병 교대식을 볼 수 있다. 의상은 이곳이 한국의 수도였던 시대를 반영합니다. 이 의식은 방문하는 것만으로도 가치가 있습니다.
129,129,24,342,"I would say this is the largest and most grand palace in Seoul. The grounds are enormous with much to see. We went in the morning to see the changing of the guards, which my kids found fascinating. They even had a roped off section for children to sit so they could see better. If you could only see one palace this is the one.",129,much,나는 이것이 서울에서 가장 크고 가장 웅대한 궁전이라고 말하고 싶습니다. 부지는 볼 것이 많습니다. 우리는 아침에 경비병 교대식을 보러 갔는데 아이들이 신기해했습니다. 그들은 심지어 아이들이 더 잘 볼 수 있도록 앉을 수 있도록 밧줄로 묶은 부분을 가지고있었습니다. 하나의 궁전만 볼 수 있다면 이것이 바로 궁전입니다.
130,130,25,378,"If you would like just to have a look at the neighbourhood, the grand palace and people strolling with their traditional hanbok, you can just stay outside and take wonderful pictures without having to soend your money getting inside as there were not so much to see.",130,much,"동네, 궁궐, 전통 한복을 입고 산책하는 사람들을 구경하고 싶다면 볼 것이별로 없기 때문에 내부에 돈을 들여야 할 필요없이 그냥 밖에 머물면서 멋진 사진을 찍을 수 있습니다."
131,131,26,401,Gyeongbokgung Palace itself was easy to find! (Stop at gyeongbokgung station). Rent a hanbok and you are able to enter for free !! I must say the palace is big and beautiful?? As for me i really want to visit the palace as i always seen it on tv so seeing it in real life is amazing! Its big that you need 2 hours to explore the whole area and there’s alot of pretty spots where you can take photos with your hanbok!! Definitely recommend to visit with your hanbok because you’ll feel like you are a princess/prince!! But of course there will be alot of tourist so come early so there not much people!,131,much,경복궁 자체도 찾기 쉬웠어요! (경복궁역에서 하차) 한복대여하면 무료입장!! 궁은 크고 아름답다고 해야 할까요?? 저는 TV에서 보던 궁궐에 꼭 한번 가보고싶어서 실물로 보는게 신기해요! 한복을 입고 사진을 찍을 수 있는 예쁜 명소가 많이 있어 전체 지역을 둘러보려면 2시간이 필요합니다!! 공주/왕자가 된 기분이 들게 되니 한복을 입고 방문하는 것을 추천합니다!! 그러나 물론 관광객이 많을 것이므로 일찍 와서 사람이 많지 않습니다!
132,132,27,408,"If you are just looking to do what everyone ‘should do’ coming to Seoul, go there, rent a ‘traditional’ costume and take lots of selfies for your instagram posts. Otherwise stay away. Most of what you will see is less then 20 years old and there are so many dressed up tourists, it feels like carnival. There are much better places to get an impression of historical palaces. On the other hand, the two musea on site are worth it. One is focused on daily lives of Korean people through time and the other one boast a solid collection of the interiors of the palaces.",132,much,서울에 오는 모든 사람들이 '해야 할'것만 찾고 있다면 거기에 가서 '전통'의상을 대여하고 인스타그램 게시물을 위해 셀카를 많이 찍으십시오. 그렇지 않으면 떨어져 있으십시오. 당신이 보게 될 것은 대부분이 20년이 채 되지 않은 것이며 차려입은 관광객들이 너무 많아 마치 카니발처럼 느껴집니다. 역사적인 궁전의 인상을 얻기에 훨씬 더 좋은 장소가 있습니다. 반면에 현장에 있는 두 박물관은 그만한 가치가 있습니다. 하나는 시간을 통해 한국인의 일상에 초점을 맞추고 다른 하나는 궁궐 내부의 견고한 컬렉션을 자랑합니다.
133,133,28,458,"Gyeongbokgung Palace is a lovely place to visit and take photos, especially if you rent Hanbok (traditional Korean outfits). It doesn't cost much to visit, maybe 3000 won, but if you rent Hanbok you can get in for free and take awesome photos.",133,much,경복궁은 특히 한복을 빌릴 경우 방문하고 사진을 찍기에 좋은 곳입니다. 관람료는 3000원 정도 들지만 한복을 빌린다면 무료로 입장할 수 있고 멋진 사진도 찍을 수 있다.
134,134,29,460,A really great day out with English speaking tours! There was so much to see and learn about and we were lucky enough to visit whilst a guard ceremony was taking place.,134,much,영어로 말하는 투어와 함께하는 정말 멋진 하루! 보고 배울 것이 너무 많았고 우리는 경비 의식이 진행되는 동안 방문할 만큼 충분히 운이 좋았습니다.
135,135,30,479,It was very pretty but the vibe I got was very touristy so I could not really enjoy it. There wasn't much more than eggshell buildings you could take pictures in.,135,much,너무 예뻤지만 내가 얻은 분위기는 너무 관광적이어서 제대로 즐길 수 없었다. 사진을 찍을 수있는 달걀 껍질 건물 이상은 없었습니다.
136,136,31,490,This huge palace is a must see while in Seoul. Its got so much to see and is right in the middle of the city. Lots of people were dressed up in traditional korean attire. Great place for pictures and scenery or just for a nice long walk.,136,much,이 거대한 궁전은 서울에서 꼭 봐야 할 곳입니다. 볼 것이 너무 많고 도시 한가운데에 있습니다. 많은 사람들이 한국 전통 의상을 입고 있었습니다. 사진과 풍경을 찍을 수 있는 좋은 장소 또는 긴 산책을 즐기기에 좋은 곳입니다.
137,137,32,496,"This palace is huge. The buildings are lovely. Not much to see inside them. Very cool though. Plan several hours if you want to see everything. The changing of the guards is something I only saw at this palace and was nice to see. Crowded toward the front, but far fewer people toward the back. Good view of the ""blue palace"" from the back gate. Gwanghwamun on the purple line is the subway stop I used.",137,much,"이 궁전은 거대합니다. 건물들이 멋집니다. 그들 안에 볼 것이별로 없습니다. 그래도 아주 멋져요. 모든 것을 보고 싶다면 몇 시간을 계획하십시오. 근위병 교대식은 이 궁에서만 보던 것인데 보기 좋았습니다. 앞쪽으로는 붐비지만 뒤쪽으로는 사람이 훨씬 적습니다. 후문에서 ""푸른 궁전""의 좋은 전망. 보라색 라인의 광화문은 내가 사용한 지하철 정류장입니다."
138,138,33,515,"I don't know where to start on reviewing this astonishingly beautiful palace except to say it us utterly beguiling and unmissable. It's so big and there is so much to see, different parts deserve their own listings to be honest! The highlight for me was the Gyeongheru Pavilion, just beautiful as its surrounded by a gorgeous lake. Its lovely to sit there and relax. Close second, and most people's favourite I'd say, is the majestic Geunjeongjon Hall which is the throne hall. The intricacy and colours are just mesmeric The King and Queens living quarters are lovely too and there is just so many lovely colourful and intricately decorated buildings around, not to mention scenic grounds. The row of chimneys in the Amisan Gardens to the rear of the queens consorts residence are interesting as they were vents for the underfloor heating! Anyway, give several hours, most of a day over to explore this magnificent palace complex. 5 stars just doesn't seem enough to give.",138,much,"이 놀랍도록 아름다운 궁전에 대한 리뷰를 어디서부터 시작해야 할지 모르겠습니다. 그것은 너무 크고 볼 것이 너무 많아서 다른 부분은 정직하게 자신의 목록을 올릴 가치가 있습니다! 저에게 하이라이트는 아름다운 호수로 둘러싸인 경허루관이었습니다. 거기에 앉아서 휴식을 취하는 것이 좋습니다. 두 번째로 가장 많은 사람들이 가장 좋아하는 곳은 왕좌의 홀인 장엄한 근정전입니다. 복잡함과 색상은 정말 환상적입니다. 왕과 여왕의 거주 구역도 사랑스럽고 주변에는 아름다운 부지는 말할 것도 없고 다채롭고 복잡하게 장식된 건물이 너무 많습니다. 아미산 정원의 왕비 집 뒤편에 늘어선 굴뚝은 바닥 난방을 위한 통풍구로 흥미롭습니다! 어쨌든, 이 장엄한 궁전 단지를 탐험하기 위해 하루 대부분의 시간을 할애하십시오. 별 5개만으로는 부족해 보입니다."
139,139,34,516,As I was travelling for business I did not have much time to sight see. My colleague took me to the palace to breathe in some Korean heritage. It was a lovely experience and I learned a lot about Korean history in a short (1 hour) time. Glad I didn't miss out!,139,much,출장으로 여행을 다녀오다 보니 볼 시간이 별로 없었습니다. 내 동료는 한국 유산을 숨 쉬기 위해 나를 궁전으로 데려갔습니다. 그것은 멋진 경험이었고 짧은(1시간) 시간 동안 한국 역사에 대해 많은 것을 배웠습니다. 놓치지 않아서 좋았어요!
140,140,35,517,"We went on a Thursday morning in May and it was not too crowded. This is the largest of the Seoul palaces and there is much to see in this restored palace compound. The changing of the guard ceremony is in the area where the tickets are sold and happens at 10:00 and 2:00. It is quite colorful and is more than just a changing of the guard. Inside the grounds is the National Folk Museum and it is included with the palace admission. It also is a large space and we only got half way through. One could really spend a lot of time in this palace area. For us, a half day was enough but it was quite nice.",140,much,우리는 5월의 목요일 아침에 갔고 너무 붐비지 않았습니다. 이것은 서울 궁궐 중 가장 큰 것이며 복원된 이 궁궐 안에는 볼 것이 많습니다. 근위병 교대식은 티켓을 판매하는 곳에서 10시와 2시에 진행된다. 그것은 매우 다채롭고 단순한 경비원의 교체 이상입니다. 경내에는 국립 민속 박물관이 있으며 궁전 입장료에 포함되어 있습니다. 그것은 또한 큰 공간이고 우리는 단지 절반을 통과했습니다. 이 궁전 지역에서 정말 많은 시간을 보낼 수 있습니다. 우리에게는 반나절이면 충분했지만 꽤 좋았습니다.
141,141,36,542,"If you want to see a Korean templethings, this would be Your place to visit. At the time of our visit, there was things under maintenance, but it did not bother too much.",141,much,한국의 사찰을 보고 싶다면 이곳을 방문해야 합니다. 우리가 방문했을 당시에는 유지 보수중인 것들이 있었지만 크게 신경 쓰이지 않았습니다.
142,142,37,562,"Rather impressive and you can wander for ages. Would be a great place to let the kids run. Be warned, not much in washroom facilities. Could be improved be have period enactors.",142,much,오히려 인상적이며 오랫동안 방황할 수 있습니다. 아이들이 뛰어놀기 좋은 곳이 되겠습니다. 주의할 점은 화장실 시설이 많지 않습니다. 기간 제정자가 개선될 수 있습니다.
143,143,38,568,"This was the first, largest and the main royal palace of the Joseon Dynasty. It was destroyed during the Japanese occupation and has taken much time and effort to be rebuilt and restored. The Changing of the Guard happened while I was there at about 9:30am. Free admission to even foreigner seniors. Many of the girls and some boys even wore the hanbok costumes for Instagram photos. From here one can go to the Folk Museum and then on to Bukchon Hanbok Village and then the Chandeokgong Palace which is a UNESCO World Heritage Site. Expect to spend many hours exploring this whole area as it is well worth it. Moving on from there take in lunch on Insadong Street and browse the shops. This will be such a day well spent in Seoul.",143,much,이것은 조선 왕조의 첫 번째이자 가장 큰 주요 왕궁이었습니다. 일제 강점기 때 파괴되어 재건과 복원에 많은 시간과 노력이 필요했습니다. 근위병 교대식은 제가 오전 9시 30분쯤 거기에 있는 동안 일어났습니다. 외국인 시니어도 무료입장. 많은 소녀들과 몇몇 소년들은 인스타그램 사진을 찍을 때 한복을 입기도 했습니다. 여기에서 민속 박물관으로 이동한 다음 북촌 한복 마을로 이동한 다음 유네스코 세계 문화 유산인 찬덕궁으로 갈 수 있습니다. 그만한 가치가 있으므로 이 전체 지역을 탐험하는 데 많은 시간을 할애할 것으로 예상됩니다. 그곳에서 인사동 거리에서 점심을 먹고 상점을 둘러보세요. 서울에서 알찬 하루를 보낼 수 있을 것입니다.
144,144,39,599,"The entrance, main palace and the palace museum are a must see (KW3000 entrance fee). The changing of the guards is an added bonus if you happen to be on time for the event. Note that the palace is expansive which require a lot of walking on stone path and gravel. There are not much shaded tress and places to rest expect around buildings. So an early morning visit is recommended. I made a reservation for an English guided tour of the Gyeonghoeru Pavilion only be disappointed as the tour guide decided to conduct it in the local vernacular. I did inquire though as she stated that she can give me a 10 minute English guide after she is done with the group but left before she finished.",144,much,"입구, 본궁, 고궁박물관은 꼭 봐야 한다(입장료 3000원). 이벤트에 제 시간에 도착하면 경비원의 교체가 추가 보너스입니다. 궁전은 돌길과 자갈을 많이 걸어야하는 광대합니다. 건물 주변에는 그늘진 나무와 쉴 곳이 많지 않습니다. 따라서 이른 아침 방문을 권장합니다. 나는 경회루의 영어 가이드 투어를 예약했는데 투어 가이드가 현지 언어로 진행하기로 결정했기 때문에 실망했습니다. 그녀가 그룹을 마친 후 10 분 영어 가이드를 제공 할 수 있다고 말했지만 그녀가 끝내기 전에 떠났습니다."
145,145,40,627,Good for travellers who would like to learn much about the Korean traditional matters. The free guides were polite and helpful.,145,much,한국의 전통 문제에 대해 많은 것을 배우고자 하는 여행자에게 좋습니다. 무료 가이드는 정중하고 도움이되었습니다.
146,146,41,640,"We (me and my husband) came here around 11am on a Monday, so we avoided too much crowd. There were still enough people to keep it exciting, kids too! The ticket is 3000 won per person, which is great value. We did not purchase any audio guide or English guide book, we felt like exploring it ourselves. It was actually quite fun this way, lots to explore and it was a very different palace architecture with lot of open bits inside the palace too. I liked the roofs and doors design. We spent about 3 hours there and we just took a stroll and wandered - not sure if we saw the whole thing. The weather was beautiful and very sunny, although my husband who is white got sun burnt as we were out in the open for most of the time :-) so make sure you apply plenty of sun screen if you don't want to be burnt.  There are boards with information in English too, which helps. Attached photos!",146,much,우리 (저와 남편)는 월요일 오전 11시경에 여기에 왔으므로 너무 많은 군중을 피했습니다. 여전히 흥미 진진한 사람들이 충분했습니다. 아이들도! 입장료는 1인당 3000원으로 가성비가 좋다. 우리는 오디오 가이드 나 영어 가이드 책을 구입하지 않았고 우리 스스로 탐험하고 싶은 느낌이었습니다. 탐험할 것이 많은 이 방법은 실제로 매우 재미있었습니다. 그리고 궁전 내부에도 많은 열린 조각이 있는 매우 다른 궁전 건축이었습니다. 지붕과 문 디자인이 마음에 들었습니다. 우리는 거기에서 약 3시간을 보냈고 우리는 단지 산책을 하고 방황했습니다. 우리가 전체를 보았는지 확실하지 않습니다. 날씨는 아름답고 매우 화창했지만 백인인 남편은 대부분의 시간 동안 야외에 있었기 때문에 햇볕에 화상을 입었습니다 :-) 화상을 원하지 않는다면 자외선 차단제를 충분히 바르십시오. . 영어로 된 정보가 있는 게시판도 있어 도움이 됩니다. 첨부된 사진!
147,147,42,643,"I've traveled all over Europe and visited my share of castles, but the grand scale of the grounds and buildings included in Gyeonbokgung cast a shadow on everything I've witnessed before. It is massive and a bit daunting. Make sure to wear comfortable walking shoes and grab a guidebook (offered in several languages) or hook up with a tour guide.  The main (most famous) gates of Gyeonbokgung are right off of Gwanghwamun Square, not far from the notable statue of King Sejong (which is another must-see when in Seoul). It's very easy to get here by subway, bus, or taxi; although, I suggest taking the subway - it's super inexpensive, and is possibly the BEST subway system I've ever experienced, EVER. (Very safe. Very clean. Very easy to navigate, even if you don't speak Korean or read Hangual.)  We exited the subway (sorry, can't remember which line or number), and it spit us out right by a museum/gift shop that had a side entrance to the palace. It worked out perfectly! We walked in the gates and were in the main, large open courtyard inside the main gates (that are on street level in Gwanghwamun Square).  The palace is always teeming with tourists from all over the world. It's bustling and dizzying and amazing all at once. Unlike European castles, there isn't just one, central building; but instead, multitudes of buildings with similar architecture scattered throughout the grounds. Some are open to be viewed (like the private rooms of the royal family members or the throne and state rooms) while others are boarded up and can only be viewed from the outside. There are beautiful flowers and water areas in different parts of the complex.  My favorite part was Hyangwonjeong Pavilion - an ""island"" in the northern grounds of the palace connected by a wooden bridge to the rest of the grounds. You're not allowed to enter the island, but it's magical to look at.  If you want to be extra thorough and make it to the back of the complex (where the servants and guards quarters are), you should probably allow yourself 3 hours or so to meander around. This is not the type of attraction where you are in and out in an hour! There is so much to see, you could easily spend most of a day here or split the grounds up and visit on two different days.  Although built in 1395, the palace was been rebuilt in the late 1800's due to fire (the buildings are nearly all made of wood); but the Koreans took great care to reconstruct the palace as it originally stood.  It's open most days from 9 a.m. to 5 p.m. but is closed on Mondays or Tuesdays (can't remember which, but it was closed the first time we tried to visit) and holidays (check the website (http://www.royalpalace.go.kr/html/eng/main/main.jsp) to make sure it will be open when you intend to visit.  An absolute MUST-SEE. You will not regret visiting, and I suggest taking a walk through the nearby gift shop I mentioned. I'm sure the items are more expensive than elsewhere, but I never saw things they had for sale anywhere else but there. Worth it if you're looking for a unique memento of your visit to Seoul/Korea.",147,much,"나는 유럽 전역을 여행하고 내 몫의 성을 방문했지만, 경복궁에 포함된 그라운드와 건물의 웅장함은 내가 본 모든 것에 그림자를 드리웁니다. 그것은 방대하고 약간 위압적입니다. 편안한 운동화를 신고 가이드북(여러 언어로 제공)을 가져오거나 투어 가이드와 연결하십시오. 경복궁의 정문(가장 유명한)은 광화문 광장 바로 옆에 있으며 유명한 세종대왕 동상(서울에서 꼭 봐야 할 또 다른 곳)에서 멀지 않습니다. 지하철, 버스 또는 택시를 이용하면 매우 쉽게 오실 수 있습니다. 비록, 나는 지하철을 탈 것을 제안합니다 - 그것은 매우 저렴하고 아마도 내가 경험한 최고의 지하철 시스템일 것입니다. (매우 안전합니다. 매우 깨끗합니다. 한국어를 할 줄 모르거나 한글을 읽지 못하더라도 탐색하기 매우 쉽습니다.) 우리는 지하철에서 내렸습니다(죄송합니다. 어떤 라인이나 번호인지 기억나지 않습니다). 궁전 옆 입구가 있는 박물관/선물 가게. 그것은 완벽하게 작동했습니다! 우리는 대문을 걸어 들어갔고 정문 내부의 큰 열린 안뜰(광화문 광장의 거리 수준에 있음)에 있었습니다. 궁전은 항상 전 세계에서 온 관광객들로 붐빕니다. 분주하고 어지럽고 한 번에 놀랍습니다. 유럽의 성들과 달리 중앙 건물이 하나만 있는 것이 아닙니다. 그러나 그 대신 비슷한 건축물을 가진 수많은 건물이 부지 전체에 흩어져 있습니다. 일부는 볼 수 있도록 개방되어 있으며(예: 왕실이나 왕좌 및 국빈) 다른 일부는 판자로 되어 있어 외부에서만 볼 수 있습니다. 단지의 다른 부분에는 아름다운 꽃과 물이 있습니다. 내가 가장 좋아하는 부분은 나무 다리로 나머지 부지와 연결된 궁전 북쪽의 ""섬""인 향원정이었습니다. 섬에 들어갈 수는 없지만 보는 것은 마법입니다. 좀 더 철저하게 하고 단지 뒤쪽(하인과 경비실이 있는 곳)까지 가려면 아마도 3시간 정도는 돌아다녀야 할 것입니다. 이것은 당신이 한 시간 안에 들락날락하는 유형의 관광 명소가 아닙니다! 볼 것이 너무 많아서 하루의 대부분을 여기에서 쉽게 보낼 수도 있고 부지를 나누어서 다른 두 날에 방문할 수도 있습니다. 1395년에 지어졌지만 궁전은 화재로 인해 1800년대 후반에 재건되었습니다(건물은 거의 모두 나무로 되어 있음). 그러나 조선인들은 궁궐을 원래의 모습으로 재건하기 위해 세심한 주의를 기울였습니다. 대부분 오전 9시부터 오후 5시까지 영업합니다. 단, 월요일이나 화요일(언제인지 기억이 안나지만 처음 방문했을 때는 휴무) 및 공휴일(웹사이트(http://www.royalpalace.go.kr/html/eng/main) 확인)은 휴무입니다. /main.jsp) 방문 예정이신 분들은 꼭 가보셔야 해요 꼭 가보세요 후회하지 않으실 거에요 제가 말씀드린 근처 선물가게를 한 번 둘러보시는 걸 추천합니다. 다른 곳보다 비싸지만 다른 곳에서 파는 것을 본 적이 없습니다.서울/한국 방문의 독특한 기념품을 찾고 있다면 가치가 있습니다."
148,148,43,646,"Gyeongbokgung was within walking distance of my BnB and a great place to walk around. You can complete a decent circuit on your own in about 30-45 minutes. Try to time things so that you can be at the Gwanghwamun gate on the hour between 10am and 4pm. The 10am, 1pm and 3pm times are the extended show while the other hours only show a shortened version. Since the whole reenactment is only about 15 mins long, I'm not sure there is much at all to see with a shortened version! You don't need an extra ticket to see the changing of the guard, you just need to be in the right place at the right time.",148,much,"경복궁은 내 BnB에서 도보 거리에 있었고 걷기에 좋은 곳이었습니다. 약 30-45분이면 스스로 괜찮은 서킷을 완성할 수 있습니다. 오전 10시에서 오후 4시 사이에 광화문에 도착할 수 있도록 시간을 맞추십시오. 오전 10시, 오후 1시, 오후 3시 시간은 확장된 쇼이고 다른 시간은 단축된 버전만 보여줍니다. 전체 재연이 15분 정도밖에 안되기 때문에 축약형이라 볼게 별로 없을 것 같아요! 경비원의 교대식을 보기 위해 추가 티켓이 필요하지 않습니다. 적절한 시간에 올바른 장소에 있으면 됩니다."
149,149,44,653,"We were there at around 11 in the morning in late autumn. Weather was good but the wind was quite strong.  We walked from the Bukchon Hanok Village, where we stayed for a night. Took us about 20 minutes or so.  If you are a foreigner travelling on own, best thing is to time your visit with the free guided tours. We thought we would go ahead without the tour and this is something we regretted, given the size of this place and lack of signboards to tell you any historical facts and your exact location as well. We found ourselves lost for an hour, ending up at some garden, smaller palaces and the National Folk Museum and had to go one big round to come out to the entrance.  If you are planning to visit more palaces, suggest you take the Combination ticket, which will cover Gyeongbokgung, Chandeukgung, Chanseukgung (if I'm not mistaken) Deoksugung, and Jongmyo shrine which costs KRW10k (I recall it would be cheaper by KRW2k if you bought the tickets separately).  Although we were in Seoul throughout the stay and decided we should visit most, we didn't and only managed to visit this, Chandeukgung and Jongmyo shrine so the Combination ticket was not worth it but could come in handy.  I would prefer Chandeukgung, which is about 20 minutes walk away as it is much more interesting.",149,much,"우리는 늦가을 아침 11시경에 거기에 있었습니다. 날씨는 좋았지만 바람이 꽤 강했습니다. 하룻밤 묵은 북촌 한옥마을에서 걸어 나왔다. 약 20분 정도 걸렸습니다. 혼자 여행하는 외국인이라면 가장 좋은 것은 무료 가이드 투어로 방문 시간을 정하는 것입니다. 우리는 우리가 여행없이 계속 갈 것이라고 생각했고 이것은 우리가 이곳의 크기와 역사적 사실과 당신의 정확한 위치를 알려주는 간판이 없다는 것을 감안할 때 우리가 후회하는 것입니다. 우리는 한 시간 동안 길을 잃은 우리 자신을 발견했고, 정원, 작은 궁전, 국립 민속 박물관에 도착했고 입구로 나오기 위해 한 바퀴 크게 돌아야 했습니다. 더 많은 궁궐을 방문할 계획이라면 경복궁, 찬득궁, 찬석궁(내가 틀리지 않았다면) 덕수궁, 종묘를 포함하는 복합 티켓을 10,000원(만약 2,000원 ??더 저렴할 것으로 기억합니다. 티켓을 별도로 구매했습니다). 우리는 체류하는 동안 서울에 있었고 가장 많이 방문해야한다고 결정했지만 찬득궁과 종묘를 방문하지 않았고 만 방문했기 때문에 조합 티켓은 가치가 없었지만 유용 할 수있었습니다. 도보로 20분 정도 거리에 있는 찬득궁이 훨씬 더 재미있기 때문에 더 선호합니다."
150,150,45,660,"Gyeongbokgung is the largest palace in Seoul, and I did appreciate all the structures and the grand scale of things. However, I think other palaces are much more interesting. Gyeongbokgung feels like a tourist trap and has too many visitors. The landscaping here isn't all that exciting compared to, say, Changdeokgung, which was built in harmony with nature. I would recommend visiting this palace to experience the grandeur and the guard changing ceremony, but also take a look at other palaces around Seoul.",150,much,경복궁은 서울에서 가장 큰 궁궐인데 모든 건축물과 웅장함을 감상했습니다. 그러나 나는 다른 궁전이 훨씬 더 재미있다고 생각합니다. 경복궁은 관광객의 덫 같은 느낌이 들고 방문객이 너무 많다. 자연과 조화를 이룬 창덕궁에 비하면 이곳의 조경은 그다지 흥미롭지 않다. 웅장함과 근위병 교대식을 경험하고 서울 주변의 다른 궁도 둘러보기 위해 이 궁을 방문하는 것을 추천합니다.
151,151,46,675,"We wanted to tour Changdeokgung Palace on our last day in Seoul, but we learned too late that the only one of the five palaces open on Monday is Gyeongbokgung (which is closed on Tuesdays). So we set out in a steady rain to see what we could see.  We walked from our hotel near N Seoul Tower, maybe a 45 minute stroll. The walk would have been shorter had we known precisely where we were going.  We arrived just as the changing of the guard ceremony was ending, which was pretty cool. Their bright uniforms are impressive, and they replicate the original Josean guards' reds and blues and greens. Their somber countenances are unwavering. They'll permit you to stand close enough to take a photo, but they won't acknowledge you.  Admission is only 3000 won (about $3 US). Though Ggyeongbokgung is older than the other palaces (originally built in 1395), there isn't much left to see because the Japanese intentionally destroyed most of the buildings during the occupation. Restoration only began again in the 1990s. The exterior wall stands, as does the inner courtyard structure and the main palace building, and some smaller outlying buildings.  When it started downpouring rain, we spent some time sitting in the gift shop waiting for it to ease up. They have some really lovely artistic high quality souvenirs for sale, including pottery and inlay jewelry chests and ceramics. They're pretty pricey, but they're not trinkets. You can also buy coffee, hot cocoa, snacks.  Gyeongbokgung is lovely, but it's pretty low key if you've seen palace sites in Bangkok or Beijing. A highlight of our visit was when one of the staff insisted we ""come here"" to see what he was pointing at. You can only see the golden dragon on the ceiling from one vantage point, and he wanted to make sure we saw it and got a good photo. We'd have missed it otherwise.  We were hoping that most of the tour would be inside due to the rain. It wasn't. Because the rain wouldn't let up and our feet were already wet from traipsing across the muddy grounds, we didn't go to the water or explore the rest of the property.  Hopefully Seoul will continue restoration of this site and eventually return it to its original splendor. I'll come back and revisit it.",151,much,"우리는 서울에서의 마지막 날 창덕궁을 둘러보고 싶었지만 월요일에 열리는 다섯 개의 궁 중 유일한 것이 경복궁(화요일 휴무)이라는 것을 너무 늦게 알게 되었습니다. 그래서 우리는 우리가 볼 수 있는 것을 보기 위해 꾸준한 비를 맞으며 출발했습니다. 우리는 N 서울 타워 근처의 호텔에서 걸어서 45분 정도 걸렸습니다. 우리가 어디로 가고 있는지 정확히 알았더라면 산보는 더 짧았을 것입니다. 근위병 교대식이 막바지에 다다랐을 때 도착했는데 꽤 멋있었다. 그들의 밝은 제복은 인상적이며, 원래 조선 근위병의 빨강, 파랑, 녹색을 복제합니다. 그들의 침울한 표정은 변함이 없다. 그들은 당신이 사진을 찍을 수 있을 만큼 가까이 서 있는 것을 허락할 것이지만 당신을 인정하지는 않을 것입니다. 입장료는 3000원(미화 약 3달러)입니다. 경복궁은 다른 궁궐(원래는 1395년 창건)보다 낡았지만 일제 강점기 때 의도적으로 대부분의 건물을 파괴했기 때문에 볼 것이 별로 없다. 복원은 1990년대에 다시 시작되었습니다. 외벽은 안뜰 구조와 주요 궁전 건물, 그리고 일부 작은 외부 건물과 마찬가지로 서 있습니다. 비가 내리기 시작했을 때 우리는 선물 가게에 앉아 비가 그치기를 기다렸습니다. 그들은 도자기와 상감 보석 상자 및 도자기를 포함하여 정말 사랑스러운 예술적 고품질 기념품을 판매합니다. 그들은 꽤 비싸지 만 장신구는 아닙니다. 당신은 또한 커피, 뜨거운 코코아, 간식을 구입할 수 있습니다. 경복궁은 아름답지만 방콕이나 베이징에서 궁궐 유적지를 본 적이 있다면 매우 낮습니다. 우리 방문의 하이라이트는 직원 중 한 명이 그가 가리키고 있는 것을 보기 위해 ""여기로 와라""고 주장했을 때였습니다. 천장에 있는 금룡은 한 지점에서만 볼 수 있는데 그는 우리가 그것을 보았는지 확인하고 좋은 사진을 찍기를 원했습니다. 그렇지 않으면 놓쳤을 것입니다. 우리는 대부분의 여행이 비 때문에 내부에 있기를 바랐습니다. 그렇지 않았다. 비가 그치지 않고 진흙 투성이의 땅을 가로질러 발이 이미 젖어 있었기 때문에 우리는 물에 가지도 않고 재산의 나머지 부분을 탐험하지도 않았습니다. 서울이 이 사이트를 계속해서 복원하여 궁극적으로 원래의 화려함을 되찾기를 바랍니다. 다시 돌아와서 리뷰하겠습니다."
